,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",1.1548,1.1552,1.1137,1.1305,2206535
1,"2021-06-08, 04:00:00",1.1298,1.1358,1.033,1.0394,3981049
2,"2021-06-08, 08:00:00",1.0393,1.062,0.9776,0.9909,4913583
3,"2021-06-08, 12:00:00",0.9912,1.0122,0.9643,1.0005,4397873
4,"2021-06-08, 16:00:00",1.0005,1.0232,0.9804,1.0004,3154222
5,"2021-06-08, 20:00:00",1.0002,1.0041,0.8745,0.9259,7923111
6,"2021-06-09, 00:00:00",0.9258,0.9898,0.917,0.9865,4334274
7,"2021-06-09, 04:00:00",0.9865,1.0267,0.9767,1.0044,2778098
8,"2021-06-09, 08:00:00",1.0041,1.0104,0.9501,0.9674,3669039
9,"2021-06-09, 12:00:00",0.9676,1.0445,0.9503,1.0292,4136239
10,"2021-06-09, 16:00:00",1.0295,1.0307,0.978,1.0264,4581830
11,"2021-06-09, 20:00:00",1.0266,1.0587,1.0049,1.0493,4823791
12,"2021-06-10, 00:00:00",1.049,1.0624,1.0107,1.0262,3110446
13,"2021-06-10, 04:00:00",1.0267,1.0471,1.0081,1.0444,2356871
14,"2021-06-10, 08:00:00",1.0447,1.0518,1.014,1.0158,2385016
15,"2021-06-10, 12:00:00",1.0156,1.0413,1.0072,1.0368,2747593
16,"2021-06-10, 16:00:00",1.0364,1.0484,0.9955,1.0398,4238636
17,"2021-06-10, 20:00:00",1.0398,1.0401,0.9911,1.0011,3228947
18,"2021-06-11, 00:00:00",1.0006,1.0174,0.9761,0.9772,3305214
19,"2021-06-11, 04:00:00",0.9778,0.9946,0.9559,0.9862,2740088
20,"2021-06-11, 08:00:00",0.9862,0.9988,0.9505,0.985,3604200
21,"2021-06-11, 12:00:00",0.9849,0.9923,0.9572,0.9745,2251700
22,"2021-06-11, 16:00:00",0.9746,0.9981,0.9647,0.9719,3045166
23,"2021-06-11, 20:00:00",0.9723,0.9844,0.9261,0.9314,3679331
24,"2021-06-12, 00:00:00",0.9318,0.9391,0.8964,0.9121,3356114
25,"2021-06-12, 04:00:00",0.9124,0.9235,0.8744,0.9045,3868267
26,"2021-06-12, 08:00:00",0.9046,0.9063,0.8451,0.8581,5382685
27,"2021-06-12, 12:00:00",0.8583,0.8805,0.8393,0.866,3457988
28,"2021-06-12, 16:00:00",0.8657,0.9082,0.847,0.882,5103778
29,"2021-06-12, 20:00:00",0.8828,0.9093,0.8781,0.8858,3576415
30,"2021-06-13, 00:00:00",0.8858,0.9106,0.8823,0.8919,2270425
31,"2021-06-13, 04:00:00",0.8924,0.9207,0.8844,0.8972,2805002
32,"2021-06-13, 08:00:00",0.8973,0.9072,0.8629,0.8649,2870026
33,"2021-06-13, 12:00:00",0.8647,0.8768,0.8534,0.8633,2822749
34,"2021-06-13, 16:00:00",0.8632,0.9083,0.8616,0.8946,2792957
35,"2021-06-13, 20:00:00",0.8945,0.903,0.8626,0.8741,2640842
36,"2021-06-14, 00:00:00",0.8739,0.926,0.8723,0.9159,3539349
37,"2021-06-14, 04:00:00",0.9158,0.9477,0.9138,0.9448,3788553
38,"2021-06-14, 08:00:00",0.9447,0.9606,0.9177,0.9314,2984034
39,"2021-06-14, 12:00:00",0.9314,0.9485,0.9226,0.9429,2101513
40,"2021-06-14, 16:00:00",0.9429,0.9616,0.9121,0.9514,3942615
41,"2021-06-14, 20:00:00",0.9514,0.9876,0.9419,0.9766,6150121
42,"2021-06-15, 00:00:00",0.9769,0.9854,0.9448,0.9686,3836873
43,"2021-06-15, 04:00:00",0.9693,0.9893,0.965,0.9846,2337136
44,"2021-06-15, 08:00:00",0.9849,1.0444,0.9716,1.0232,8513455
45,"2021-06-15, 12:00:00",1.0229,1.1031,1.0199,1.0994,11199797
46,"2021-06-15, 16:00:00",1.0997,1.1,1.0493,1.0641,10991110
47,"2021-06-15, 20:00:00",1.0647,1.1287,1.0617,1.1216,12360593
48,"2021-06-16, 00:00:00",1.1217,1.18,1.1088,1.1433,18465509
49,"2021-06-16, 04:00:00",1.1432,1.1432,1.104,1.1059,10142406
50,"2021-06-16, 08:00:00",1.1056,1.1069,1.0518,1.061,8129610
51,"2021-06-16, 12:00:00",1.061,1.1142,1.0607,1.0809,4580615
52,"2021-06-16, 16:00:00",1.081,1.0915,1.0126,1.0217,6460459
53,"2021-06-16, 20:00:00",1.0219,1.036,1.0007,1.0206,5132395
54,"2021-06-17, 00:00:00",1.0206,1.0339,1.0004,1.0222,4697801
55,"2021-06-17, 04:00:00",1.0219,1.0319,0.9918,1.0075,3278495
56,"2021-06-17, 08:00:00",1.0079,1.0378,1.0032,1.0302,2690655
57,"2021-06-17, 12:00:00",1.0304,1.1042,1.0247,1.1014,8213803
58,"2021-06-17, 16:00:00",1.1022,1.1348,1.0845,1.0916,6400181
59,"2021-06-17, 20:00:00",1.0916,1.1584,1.08,1.152,10907163
60,"2021-06-18, 00:00:00",1.1523,1.1534,1.0719,1.0751,11440186
61,"2021-06-18, 04:00:00",1.0748,1.0874,1.0531,1.0713,5115203
62,"2021-06-18, 08:00:00",1.0713,1.0717,1.0332,1.0641,4347525
63,"2021-06-18, 12:00:00",1.0642,1.1081,1.0339,1.0393,6379088
64,"2021-06-18, 16:00:00",1.0398,1.0506,1.005,1.0188,4520100
65,"2021-06-18, 20:00:00",1.0187,1.0236,0.9582,0.9645,6588252
66,"2021-06-19, 00:00:00",0.9644,0.9884,0.9372,0.9469,5838811
67,"2021-06-19, 04:00:00",0.9469,0.9879,0.9452,0.986,3727875
68,"2021-06-19, 08:00:00",0.9861,0.9957,0.9372,0.9427,3315065
69,"2021-06-19, 12:00:00",0.9427,1.0195,0.9407,1.0127,4369010
70,"2021-06-19, 16:00:00",1.0126,1.0346,0.9885,1.0253,5666512
71,"2021-06-19, 20:00:00",1.0254,1.0347,0.9949,1.0164,4228068
72,"2021-06-20, 00:00:00",1.0164,1.0192,0.9664,0.9893,3694999
73,"2021-06-20, 04:00:00",0.9892,0.9936,0.9528,0.954,2525268
74,"2021-06-20, 08:00:00",0.9537,0.9551,0.9256,0.947,3995926
75,"2021-06-20, 12:00:00",0.9463,0.9664,0.9406,0.9625,3397127
76,"2021-06-20, 16:00:00",0.9626,0.9638,0.8785,0.8814,6544016
77,"2021-06-20, 20:00:00",0.8814,0.9359,0.869,0.9281,6710066
78,"2021-06-21, 00:00:00",0.9284,0.9617,0.921,0.9582,3635778
79,"2021-06-21, 04:00:00",0.9587,0.9855,0.9536,0.9594,4384274
80,"2021-06-21, 08:00:00",0.9595,0.9642,0.92,0.9307,5011412
81,"2021-06-21, 12:00:00",0.9306,0.9315,0.8511,0.8605,8644704
82,"2021-06-21, 16:00:00",0.8607,0.8826,0.8051,0.8451,9679086
83,"2021-06-21, 20:00:00",0.8451,0.8574,0.8036,0.8255,6531978
84,"2021-06-22, 00:00:00",0.8254,0.8324,0.7869,0.8084,7893296
85,"2021-06-22, 04:00:00",0.8089,0.8189,0.7401,0.7435,7274577
86,"2021-06-22, 08:00:00",0.7433,0.861,0.7183,0.854,10146660
87,"2021-06-22, 12:00:00",0.8541,0.8599,0.7704,0.7811,11238624
88,"2021-06-22, 16:00:00",0.7814,0.7819,0.6989,0.6995,9645463
89,"2021-06-22, 20:00:00",0.6997,0.733,0.6305,0.7214,15525452
90,"2021-06-23, 00:00:00",0.7218,0.751,0.7058,0.7073,8833751
91,"2021-06-23, 04:00:00",0.7063,0.7357,0.6983,0.7085,8269138
92,"2021-06-23, 08:00:00",0.7085,0.7738,0.681,0.7501,10346826
93,"2021-06-23, 12:00:00",0.75,0.7898,0.7455,0.7816,7650696
94,"2021-06-23, 16:00:00",0.7817,0.8091,0.7635,0.7829,7420942
95,"2021-06-23, 20:00:00",0.783,0.8077,0.7564,0.7594,6520573
96,"2021-06-24, 00:00:00",0.7593,0.7941,0.7343,0.7386,6717112
97,"2021-06-24, 04:00:00",0.7386,0.7846,0.7352,0.7816,4500999
98,"2021-06-24, 08:00:00",0.7817,0.7882,0.7291,0.7491,5021868
99,"2021-06-24, 12:00:00",0.7486,0.7753,0.73,0.7517,5305823
100,"2021-06-24, 16:00:00",0.7513,0.7874,0.7502,0.7846,4246061
101,"2021-06-24, 20:00:00",0.7857,0.8033,0.7776,0.7851,4393225
102,"2021-06-25, 00:00:00",0.7854,0.8274,0.7795,0.8186,5615515
103,"2021-06-25, 04:00:00",0.8187,0.8194,0.7925,0.8116,3456762
104,"2021-06-25, 08:00:00",0.8114,0.8278,0.7882,0.8112,4551018
105,"2021-06-25, 12:00:00",0.8112,0.8138,0.7526,0.7632,4759660
106,"2021-06-25, 16:00:00",0.7629,0.7738,0.7373,0.7444,6714144
107,"2021-06-25, 20:00:00",0.7438,0.7661,0.732,0.7409,6731555
108,"2021-06-26, 00:00:00",0.7411,0.7523,0.7169,0.7419,6549736
109,"2021-06-26, 04:00:00",0.7415,0.7483,0.7111,0.722,4134012
110,"2021-06-26, 08:00:00",0.7221,0.7436,0.7061,0.7257,5208552
111,"2021-06-26, 12:00:00",0.7263,0.7491,0.6847,0.688,5918866
112,"2021-06-26, 16:00:00",0.6881,0.7159,0.6731,0.715,7571460
113,"2021-06-26, 20:00:00",0.715,0.7182,0.6816,0.7087,4844698
114,"2021-06-27, 00:00:00",0.7087,0.715,0.6875,0.6979,4339922
115,"2021-06-27, 04:00:00",0.6978,0.724,0.6856,0.7239,3002414
116,"2021-06-27, 08:00:00",0.7236,0.7462,0.7145,0.7334,3393010
117,"2021-06-27, 12:00:00",0.7334,0.7378,0.7127,0.7341,2671948
118,"2021-06-27, 16:00:00",0.7341,0.7342,0.7083,0.7163,2610447
119,"2021-06-27, 20:00:00",0.7164,0.7236,0.7015,0.7095,3572913
120,"2021-06-28, 00:00:00",0.7096,0.7134,0.6878,0.6974,3836308
121,"2021-06-28, 04:00:00",0.6972,0.74,0.6824,0.7373,5356241
122,"2021-06-28, 08:00:00",0.7373,0.7443,0.7176,0.7256,3119073
123,"2021-06-28, 12:00:00",0.7257,0.7535,0.7231,0.7532,2419230
124,"2021-06-28, 16:00:00",0.7525,0.7646,0.7258,0.7646,3746055
125,"2021-06-28, 20:00:00",0.7646,0.7673,0.722,0.7659,9735049
126,"2021-06-29, 00:00:00",0.7661,0.7723,0.7467,0.7609,3964000
127,"2021-06-29, 04:00:00",0.7608,0.7692,0.745,0.7609,2565085
128,"2021-06-29, 08:00:00",0.7614,0.812,0.7587,0.7914,4411646
129,"2021-06-29, 12:00:00",0.7919,0.809,0.7875,0.7894,2411773
130,"2021-06-29, 16:00:00",0.7894,0.8201,0.7833,0.8129,5131539
131,"2021-06-29, 20:00:00",0.8121,0.842,0.8047,0.8229,4659793
132,"2021-06-30, 00:00:00",0.8231,0.8459,0.812,0.8333,3792354
133,"2021-06-30, 04:00:00",0.8328,0.8381,0.8056,0.8166,3339700
134,"2021-06-30, 08:00:00",0.8166,0.8423,0.7953,0.7981,5259037
135,"2021-06-30, 12:00:00",0.7978,0.8066,0.776,0.8039,4828638
136,"2021-06-30, 16:00:00",0.804,0.8092,0.7789,0.7946,3972539
137,"2021-06-30, 20:00:00",0.7943,0.8203,0.7557,0.7612,6240212
138,"2021-07-01, 00:00:00",0.761,0.7969,0.7552,0.7965,3853895
139,"2021-07-01, 04:00:00",0.7959,0.8346,0.7878,0.8342,2999692
140,"2021-07-01, 08:00:00",0.8342,0.8445,0.8052,0.8074,4784020
141,"2021-07-01, 12:00:00",0.8071,0.8333,0.7813,0.7838,3429360
142,"2021-07-01, 16:00:00",0.7838,0.7983,0.772,0.7967,3590095
143,"2021-07-01, 20:00:00",0.7959,0.7987,0.7715,0.7916,3319353
144,"2021-07-02, 00:00:00",0.7914,0.8135,0.7778,0.783,6509514
