,symbol
0,BTCUSDT
1,ETHUSDT
2,BNBUSDT
3,NEOUSDT
4,LTCUSDT
5,QTUMUSDT
6,ADAUSDT
7,XRPUSDT
8,EOSUSDT
9,TUSDUSDT
10,IOTAUSDT
11,XLMUSDT
12,ONTUSDT
13,TRXUSDT
14,ETCUSDT
15,ICXUSDT
16,NULSUSDT
17,VETUSDT
18,USDCUSDT
19,LINKUSDT
20,WAVESUSDT
21,ONGUSDT
22,HOTUSDT
23,ZILUSDT
24,ZRXUSDT
25,FETUSDT
26,BATUSDT
27,XMRUSDT
28,ZECUSDT
29,IOSTUSDT
30,CELRUSDT
31,DASHUSDT
32,OMGUSDT
33,THETAUSDT
34,ENJUSDT
35,MITHUSDT
36,MATICUSDT
37,ATOMUSDT
38,TFUELUSDT
39,ONEUSDT
40,FTMUSDT
41,ALGOUSDT
42,GTOUSDT
43,DOGEUSDT
44,DUSKUSDT
45,ANKRUSDT
46,WINUSDT
47,COSUSDT
48,MTLUSDT
49,TOMOUSDT
50,PERLUSDT
51,DENTUSDT
52,MFTUSDT
53,KEYUSDT
54,DOCKUSDT
55,WANUSDT
56,FUNUSDT
57,CVCUSDT
58,CHZUSDT
59,BANDUSDT
60,BUSDUSDT
61,BEAMUSDT
62,XTZUSDT
63,RENUSDT
64,RVNUSDT
65,HBARUSDT
66,NKNUSDT
67,STXUSDT
68,KAVAUSDT
69,ARPAUSDT
70,IOTXUSDT
71,RLCUSDT
72,CTXCUSDT
73,BCHUSDT
74,TROYUSDT
75,VITEUSDT
76,FTTUSDT
77,EURUSDT
78,OGNUSDT
79,TCTUSDT
80,WRXUSDT
81,BTSUSDT
82,LSKUSDT
83,BNTUSDT
84,LTOUSDT
85,AIONUSDT
86,MBLUSDT
87,COTIUSDT
88,STPTUSDT
89,WTCUSDT
90,DATAUSDT
91,SOLUSDT
92,CTSIUSDT
93,HIVEUSDT
94,CHRUSDT
95,BTCUPUSDT
96,BTCDOWNUSDT
97,GXSUSDT
98,ARDRUSDT
99,MDTUSDT
100,STMXUSDT
101,KNCUSDT
102,REPUSDT
103,LRCUSDT
104,PNTUSDT
105,COMPUSDT
106,SCUSDT
107,ZENUSDT
108,SNXUSDT
109,ETHUPUSDT
110,ADAUPUSDT
111,LINKUPUSDT
112,VTHOUSDT
113,DGBUSDT
114,GBPUSDT
115,SXPUSDT
116,MKRUSDT
117,DCRUSDT
118,STORJUSDT
119,BNBUPUSDT
120,MANAUSDT
121,AUDUSDT
122,YFIUSDT
123,BALUSDT
124,BLZUSDT
125,IRISUSDT
126,KMDUSDT
127,JSTUSDT
128,SRMUSDT
129,ANTUSDT
130,CRVUSDT
131,SANDUSDT
132,DOTUSDT
