date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,WAVESUSDT_position,WAVESUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,1.0446,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.9459,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.9526,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.9458,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.8872,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.8949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.8853,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.851,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.8231,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.8244,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.8561,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.8447,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.86,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.8637,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.896,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.8809,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.9,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.8783,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.8889,200000,200000.0,0.0,1.0
2020-01-20,0,0.18631713817414164,0.0,0.0006756,0.0,0.8673,200000,200000.0,0.0,1.0
2020-01-21,0,-0.30124860326713787,0.0,0.0006651,0.0,0.8723,200000,200000.0,0.0,1.0
2020-01-22,0,-0.8601513128034628,0.0,0.0006688,0.0,0.8862,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.8774422926614749,0.0,0.0006333,0.0,0.8726,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.4873360354741414,0.0,0.0006346,0.0,0.8552,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.7645661604399263,0.0,0.000621,0.0,0.8512,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.5942091378109995,0.0,0.0006347,0.0,0.8718,200000,200000.0,0.0,1.0
2020-01-27,0,-0.8301068305877232,0.0,0.0006521,0.0,0.868,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.2803843649349278,0.0,0.000648,0.0,0.8856,200000,200000.0,0.0,1.0
