date,statusList,zscore,CELRUSDT_position,CELRUSDT_price,BNBUSDT_position,BNBUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00362,0.0,13.7184,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0034,0.0,13.0105,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00355,0.0,13.6474,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00355,0.0,13.8092,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00349,0.0,14.0532,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00356,0.0,14.9471,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00347,0.0,15.0226,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00339,0.0,14.5334,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00332,0.0,14.3978,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00327,0.0,15.07,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00333,0.0,14.9177,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00346,0.0,15.3366,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00352,0.0,15.1736,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00344,0.0,16.6371,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00359,0.0,17.6655,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00351,0.0,17.0333,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00366,0.0,18.0724,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00367,0.0,17.8088,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00337,0.0,17.388,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.5951639532286344,0.0,0.00328,0.0,17.3235,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.7278950295661604,0.0,0.00329,0.0,18.1166,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.4494505104551891,0.0,0.0033,0.0,17.8344,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.1506686299469895,30864197.530864198,0.00324,-5864.277169196125,17.0524,200000,200000.0,0.0,1.0
2020-01-24,-1,-1.1384041757824994,30864197.530864198,0.00323,-5864.277169196125,17.1148,200000,200057.2889200492,57.288920049206354,1.000286444600246
2020-01-25,-1,-0.5366167807208571,30864197.530864198,0.00338,-5864.277169196125,16.9555,200000,203752.7391966259,3752.7391966258874,1.0187636959831294
2020-01-26,-1,-0.8564492567158073,30864197.530864198,0.00336,-5864.277169196125,17.499,200000,206322.6898874667,6322.689887466695,1.0316134494373335
2020-01-27,-1,-1.0279242404217124,30864197.530864198,0.00331,-5864.277169196125,17.67,200000,205782.27140685602,5782.271406856016,1.02891135703428
2020-01-28,-1,-1.0853687641366065,30864197.530864198,0.00334,-5864.277169196125,18.0662,200000,209031.62394721745,9031.62394721745,1.0451581197360873
2020-01-29,-2,-1.3360932069608262,0.0,0.00321,0.0,17.9134,200000,205975.06856860378,5975.068568603776,1.029875342843019
2020-01-30,-2,-1.4004330000363034,0.0,0.00326,0.0,18.5555,200000,205975.06856860378,5975.068568603776,1.029875342843019
2020-01-31,-1,-1.0945852269979561,31494658.802538805,0.00327,-5638.703394817344,18.2644,200000,205975.06856860378,5975.068568603776,1.029875342843019
2020-02-01,-1,-0.8960877499439825,31494658.802538805,0.00331,-5638.703394817344,18.2752,200000,207295.75291736936,7295.752917369362,1.0364787645868467
2020-02-02,-1,-0.635489063192215,31494658.802538805,0.0034,-5638.703394817344,18.4333,200000,211021.75121631846,11021.751216318458,1.0551087560815924
2020-02-03,0,0.4583791439343375,0.0,0.00359,0.0,18.46,200000,196999.70813581767,-3000.2918641823344,0.9849985406790883
2020-02-04,2,1.5704243029774152,0.0,0.00373,0.0,18.1778,200000,196999.70813581767,-3000.2918641823344,0.9849985406790883
2020-02-05,0,-0.05346512231543459,0.0,0.00364,0.0,19.262,200000,196999.70813581767,-3000.2918641823344,0.9849985406790883
2020-02-06,1,1.1328876654518187,-23965901.233067844,0.00411,4765.929796439281,20.6675,200000,196999.70813581767,-3000.2918641823344,0.9849985406790883
2020-02-07,1,0.2029208211086812,-23965901.233067844,0.00419,4765.929796439281,22.0555,200000,205532.09079192084,5532.09079192084,1.0276604539596041
2020-02-08,1,0.3523252951586068,-23965901.233067844,0.00416,4765.929796439281,21.7888,200000,203542.04027821842,3542.0402782184246,1.0177102013910921
2020-02-09,0,-1.7254805842455487,0.0,0.00423,0.0,24.38,200000,182182.10191450498,-17817.89808549502,0.910910509572525
2020-02-10,0,-0.8030443615081352,0.0,0.00455,0.0,25.1465,200000,182182.10191450498,-17817.89808549502,0.910910509572525
2020-02-11,-1,-1.0611764445246465,19888875.754858624,0.00458,-3544.909226513252,25.6963,200000,182182.10191450498,-17817.89808549502,0.910910509572525
2020-02-12,-1,-0.8469722405634708,19888875.754858624,0.00474,-3544.909226513252,26.4243,200000,187945.015952184,-12054.98404781599,0.93972507976092
2020-02-13,0,0.9071424166292864,0.0,0.00496,0.0,25.4579,200000,173779.22276805795,-26220.777231942047,0.8688961138402898
2020-02-14,2,2.3446187290960414,0.0,0.00555,0.0,26.3547,200000,173779.22276805795,-26220.777231942047,0.8688961138402898
2020-02-15,0,0.9652590919557238,0.0,0.00479,0.0,24.2576,200000,173779.22276805795,-26220.777231942047,0.8688961138402898
2020-02-16,0,-0.3581508670615208,0.0,0.00429,0.0,23.3193,200000,173779.22276805795,-26220.777231942047,0.8688961138402898
2020-02-17,0,-0.8778356025553583,0.0,0.00418,0.0,23.4555,200000,173779.22276805795,-26220.777231942047,0.8688961138402898
2020-02-18,0,-0.07637201061384379,0.0,0.0045,0.0,24.0821,200000,173779.22276805795,-26220.777231942047,0.8688961138402898
2020-02-19,0,-0.6540182607222541,0.0,0.00406,0.0,22.3709,200000,173779.22276805795,-26220.777231942047,0.8688961138402898
2020-02-20,-2,-1.3337960605777783,0.0,0.00386,0.0,22.1626,200000,173779.22276805795,-26220.777231942047,0.8688961138402898
2020-02-21,-1,-1.0447105287555984,22165717.18980331,0.00392,-3915.922059058127,22.1888,200000,173779.22276805795,-26220.777231942047,0.8688961138402898
2020-02-22,-1,-0.8300921642920333,22165717.18980331,0.00392,-3915.922059058127,21.9689,200000,172918.11150727107,-27081.888492728933,0.8645905575363553
2020-02-23,-1,-0.30743379763509154,22165717.18980331,0.00419,-3915.922059058127,22.8452,200000,182334.37764887058,-17665.622351129423,0.9116718882443529
2020-02-24,-1,-0.8561569359459558,22165717.18980331,0.00391,-3915.922059058127,22.0965,200000,173196.12599010885,-26803.87400989115,0.8659806299505443
2020-02-25,-1,-0.9460523246258318,22165717.18980331,0.00356,-3915.922059058127,20.3193,200000,158478.74829031958,-41521.25170968042,0.7923937414515979
2020-02-26,-1,-1.1333103782975684,22165717.18980331,0.00323,-3915.922059058127,18.7441,200000,144995.7011902561,-55004.298809743894,0.7249785059512805
2020-02-27,-1,-0.9697656619789123,22165717.18980331,0.00332,-3915.922059058127,19.2,200000,148775.88460406303,-51224.11539593697,0.7438794230203152
2020-02-28,0,-0.01364995800956948,0.0,0.00345,0.0,18.9838,200000,171646.57964798418,-28353.42035201582,0.8582328982399209
2020-02-29,-1,-1.108528367027805,26086106.32948088,0.00329,-4462.989590431206,19.23,200000,171646.57964798418,-28353.42035201582,0.8582328982399209
2020-03-01,-1,-0.9000051211783262,26086106.32948088,0.00326,-4462.989590431206,18.902,200000,169400.13587243832,-30599.864127561683,0.8470006793621916
2020-03-02,-1,-0.6565901936574617,26086106.32948088,0.00348,-4462.989590431206,19.9289,200000,179722.12327533792,-20277.876724662085,0.8986106163766896
2020-03-03,-1,-0.2337056746242571,26086106.32948088,0.00352,-4462.989590431206,19.6882,200000,179691.32593410037,-20308.674065899628,0.8984566296705019
2020-03-04,0,-0.09482057946529009,0.0,0.00358,0.0,19.95,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-05,0,-0.5067884234562106,0.0,0.00364,0.0,20.7462,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-06,-2,-1.7864974065115802,0.0,0.0036,0.0,21.3389,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-07,-2,-1.2135743225330557,0.0,0.00346,0.0,20.25,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-08,0,-0.950543774938429,0.0,0.0029,0.0,16.894,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-09,0,0.24252046028755436,0.0,0.00293,0.0,16.5888,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-10,0,-0.9796768192521527,0.0,0.00289,0.0,16.8671,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-11,0,-0.911092705666516,0.0,0.00284,0.0,16.5705,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-12,-2,-3.8668330418747714,0.0,0.00126,0.0,9.2566,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-13,-2,-3.1938756878887595,0.0,0.00136,0.0,10.9204,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-14,-2,-2.348805110477224,0.0,0.0013,0.0,10.1487,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-15,-2,-1.774374312854425,0.0,0.00138,0.0,10.3898,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-16,-2,-2.1300627648966044,0.0,0.00111,0.0,9.4285,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-17,-2,-1.6065461566683457,0.0,0.00127,0.0,10.2576,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-18,-2,-1.5451473641392783,0.0,0.00125,0.0,10.3866,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-19,-1,-1.014428023273819,52279675.411732875,0.0016,-6822.963095244794,12.2597,200000,167294.9613175452,-32705.03868245479,0.8364748065877261
2020-03-20,-1,-1.1197958872749314,52279675.411732875,0.00149,-6822.963095244794,11.9147,200000,159190.27475439513,-40809.72524560487,0.7959513737719757
2020-03-21,-1,-1.0516084002888226,52279675.411732875,0.0015,-6822.963095244794,12.1,200000,160977.3665700613,-39022.633429938694,0.8048868328503065
2020-03-22,-1,-0.9981305975263806,52279675.411732875,0.00137,-6822.963095244794,11.167,200000,147815.18419867265,-52184.81580132735,0.7390759209933633
2020-03-23,-1,-0.8296843699782886,52279675.411732875,0.00152,-6822.963095244794,12.1887,200000,162628.15690484422,-37371.84309515578,0.8131407845242211
2020-03-24,-1,-0.9373137256530574,52279675.411732875,0.00149,-6822.963095244794,12.426,200000,162678.8557849938,-37321.14421500621,0.813394278924969
2020-03-25,-1,-0.8453197539489237,52279675.411732875,0.00148,-6822.963095244794,12.3251,200000,161467.62205456628,-38532.37794543372,0.8073381102728314
2020-03-26,-1,-0.2180432061414107,52279675.411732875,0.00175,-6822.963095244794,13.199,200000,181545.72186466857,-18454.278135331435,0.9077286093233429
2020-03-27,-1,-0.390942778297306,52279675.411732875,0.00157,-6822.963095244794,12.3354,200000,166243.06936150324,-33756.930638496764,0.8312153468075162
2020-03-28,-1,-0.48623275908326585,52279675.411732875,0.00151,-6822.963095244794,12.1888,200000,162106.0424470364,-37893.957552963606,0.810530212235182
2020-03-29,0,-0.13136714748727263,0.0,0.00145,0.0,11.3008,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-03-30,0,-0.10182423936051736,0.0,0.00154,0.0,12.1365,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-03-31,0,-0.12144063196800597,0.0,0.00157,0.0,12.5451,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-04-01,0,-0.22532282835054418,0.0,0.00158,0.0,12.72,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-04-02,0,-0.8660494754210504,0.0,0.00158,0.0,13.0166,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-04-03,0,-0.8148258818047268,0.0,0.00162,0.0,13.3615,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-04-04,-2,-1.5550687218297308,0.0,0.00162,0.0,13.7606,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-04-05,-2,-1.5784823835138118,0.0,0.00161,0.0,13.6888,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-04-06,-2,-1.9894106796756972,0.0,0.00174,0.0,15.1989,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-04-07,-2,-1.2490186959482055,0.0,0.00173,0.0,14.7266,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-04-08,-2,-1.4329330681901848,0.0,0.00175,0.0,15.0888,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-04-09,0,-0.5148216391455862,0.0,0.0018,0.0,15.0096,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-04-10,-1,-1.1213694954001445,52685741.66164841,0.0016,-6144.109814769493,13.72,200000,168594.3733172749,-31405.626682725095,0.8429718665863746
2020-04-11,-1,-1.0284668907182413,52685741.66164841,0.00161,-6144.109814769493,13.807,200000,169655.76828777633,-30344.23171222367,0.8482788414388817
2020-04-12,-2,-1.4832296967820175,0.0,0.00162,0.0,14.2808,200000,170986.27526816467,-29013.724731835333,0.8549313763408233
2020-04-13,-2,-2.8932709077764738,0.0,0.0015,0.0,15.0277,200000,170986.27526816467,-29013.724731835333,0.8549313763408233
