date,statusList,zscore,MITHUSDT_position,MITHUSDT_price,THETAUSDT_position,THETAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00757,0.0,0.08656,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.00699,0.0,0.08443,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00739,0.0,0.08771,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00728,0.0,0.09394,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00734,0.0,0.09421,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00741,0.0,0.09987,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00705,0.0,0.09608,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00678,0.0,0.09873,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00664,0.0,0.09294,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00655,0.0,0.09509,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00669,0.0,0.09437,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00671,0.0,0.09589,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00669,0.0,0.09703,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00679,0.0,0.10598,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00715,0.0,0.10438,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00716,0.0,0.10368,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00723,0.0,0.11193,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00732,0.0,0.10876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00704,0.0,0.1126,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.253883185744167,0.0,0.00692,0.0,0.10998,200000,200000.0,0.0,1.0
2020-01-21,0,-0.8748265967427895,0.0,0.00727,0.0,0.11136,200000,200000.0,0.0,1.0
2020-01-22,0,-0.9478376780318823,0.0,0.00767,0.0,0.119,200000,200000.0,0.0,1.0
2020-01-23,0,-0.2955588581104282,0.0,0.00734,0.0,0.10858,200000,200000.0,0.0,1.0
2020-01-24,0,0.22241823383074183,0.0,0.00728,0.0,0.10494,200000,200000.0,0.0,1.0
2020-01-25,2,1.3386217116724672,0.0,0.00742,0.0,0.10189,200000,200000.0,0.0,1.0
2020-01-26,2,2.716050512163931,0.0,0.00813,0.0,0.10222,200000,200000.0,0.0,1.0
2020-01-27,2,1.4691655526297553,0.0,0.00781,0.0,0.10459,200000,200000.0,0.0,1.0
2020-01-28,0,0.5420763990858195,0.0,0.00776,0.0,0.10936,200000,200000.0,0.0,1.0
2020-01-29,1,1.0420756513473144,-13089005.235602094,0.00764,958405.2137243627,0.10434,200000,200000.0,0.0,1.0
2020-01-30,1,0.5219368338337756,-13089005.235602094,0.00742,958405.2137243627,0.10431,200000,197091.66669175582,-2908.3333082441823,0.9854583334587791
2020-01-31,2,1.2446889941010557,0.0,0.00794,0.0,0.10638,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-01,2,1.2614008968627348,0.0,0.00792,0.0,0.10527,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-02,2,1.2459391122211287,0.0,0.00799,0.0,0.10545,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-03,0,0.6307966832132234,0.0,0.00792,0.0,0.10829,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-04,0,-0.3229821663455822,0.0,0.00837,0.0,0.122,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-05,0,-0.2852369818306942,0.0,0.00839,0.0,0.122,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-06,2,1.4040783352675696,0.0,0.00964,0.0,0.12425,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-07,2,1.553519593537828,0.0,0.00988,0.0,0.1245,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-08,2,1.4501594000252942,0.0,0.00925,0.0,0.1164,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-09,2,1.3078611557656088,0.0,0.00973,0.0,0.12284,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-10,0,0.09114269897886207,0.0,0.00965,0.0,0.13064,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-11,0,0.12621236471030065,0.0,0.00954,0.0,0.12814,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-12,1,1.0419957944476832,-9333251.152249672,0.01082,730352.0464839911,0.13827,200000,201971.5549346829,1971.5549346829066,1.0098577746734145
2020-02-13,0,-1.890570608616982,0.0,0.01156,0.0,0.17192,200000,184301.81442316138,-15698.185576838616,0.9215090721158069
