date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.8557214235405395,0.0,0.0006756,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.5390264503904387,0.0,0.0006651,0.0,0.002514,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.4280470557080627,0.0,0.0006688,0.0,0.002515,200000,200000.0,0.0,1.0
2020-01-23,-2,-2.4259101247566686,0.0,0.0006333,0.0,0.002492,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.6034854972961932,0.0,0.0006346,0.0,0.002449,200000,200000.0,0.0,1.0
2020-01-25,-2,-2.1718242570982973,0.0,0.000621,0.0,0.002489,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.5619360696084192,0.0,0.0006347,0.0,0.0025,200000,200000.0,0.0,1.0
2020-01-27,-2,-1.4577856874321993,0.0,0.0006521,0.0,0.002574,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.622747980866807,0.0,0.000648,0.0,0.0026,200000,200000.0,0.0,1.0
2020-01-29,0,-0.3514775720369735,0.0,0.0006531,0.0,0.002481,200000,200000.0,0.0,1.0
2020-01-30,0,-0.9631276794708065,0.0,0.000638,0.0,0.002498,200000,200000.0,0.0,1.0
2020-01-31,0,-0.9081410476594667,0.0,0.0006329,0.0,0.002482,200000,200000.0,0.0,1.0
2020-02-01,0,-0.515945173291593,0.0,0.0006448,0.0,0.002496,200000,200000.0,0.0,1.0
2020-02-02,0,0.2769941713817594,0.0,0.0006719,0.0,0.002528,200000,200000.0,0.0,1.0
2020-02-03,0,-0.32655397869876646,0.0,0.0006619,0.0,0.002553,200000,200000.0,0.0,1.0
2020-02-04,0,-0.9747285150928965,0.0,0.000695,0.0,0.002754,200000,200000.0,0.0,1.0
2020-02-05,-2,-1.8722579360887581,0.0,0.0006959,0.0,0.002882,200000,200000.0,0.0,1.0
2020-02-06,-2,-1.4817181893277276,0.0,0.00074,0.0,0.003024,200000,200000.0,0.0,1.0
2020-02-07,-2,-1.6677341525394045,0.0,0.0007744,0.0,0.0032,200000,200000.0,0.0,1.0
2020-02-08,2,1.3899414797733856,0.0,0.000808,0.0,0.003031,200000,200000.0,0.0,1.0
2020-02-09,-2,-1.7439141669716907,0.0,0.0008003,0.0,0.003333,200000,200000.0,0.0,1.0
2020-02-10,-2,-2.964026377605007,0.0,0.0007595,0.0,0.003465,200000,200000.0,0.0,1.0
2020-02-11,-2,-2.515162597780103,0.0,0.000771,0.0,0.003563,200000,200000.0,0.0,1.0
2020-02-12,-2,-1.43112981114364,0.0,0.0008498,0.0,0.00372,200000,200000.0,0.0,1.0
2020-02-13,-2,-1.6219118025801014,0.0,0.0008714,0.0,0.003918,200000,200000.0,0.0,1.0
2020-02-14,0,-0.8825251558460965,0.0,0.0008915,0.0,0.003836,200000,200000.0,0.0,1.0
2020-02-15,0,-0.002686695797035987,0.0,0.000849,0.0,0.003458,200000,200000.0,0.0,1.0
2020-02-16,0,0.44139936690435233,0.0,0.0008258,0.0,0.003274,200000,200000.0,0.0,1.0
2020-02-17,0,-0.6544940044999503,0.0,0.0007907,0.0,0.003369,200000,200000.0,0.0,1.0
2020-02-18,0,-0.5979436607493253,0.0,0.0007956,0.0,0.003394,200000,200000.0,0.0,1.0
2020-02-19,0,-0.4398975457841013,0.0,0.0007284,0.0,0.003088,200000,200000.0,0.0,1.0
2020-02-20,0,-0.6807095189467574,0.0,0.0007235,0.0,0.003129,200000,200000.0,0.0,1.0
2020-02-21,0,-0.4252088093136648,0.0,0.0007332,0.0,0.003134,200000,200000.0,0.0,1.0
2020-02-22,0,-0.5260976213535694,0.0,0.0007301,0.0,0.003154,200000,200000.0,0.0,1.0
2020-02-23,0,-0.48181893683005006,0.0,0.0007501,0.0,0.003246,200000,200000.0,0.0,1.0
2020-02-24,-2,-1.2116302438044282,0.0,0.0006961,0.0,0.003151,200000,200000.0,0.0,1.0
2020-02-25,-1,-1.095945288037904,152625152.62515262,0.0006552,-33715441.67228591,0.002966,200000,200000.0,0.0,1.0
2020-02-26,0,0.6434709334485137,0.0,0.0006203,0.0,0.002565,200000,191806.7257160312,-8193.274283968814,0.959033628580156
2020-02-27,0,0.38447753675907526,0.0,0.000643,0.0,0.002696,200000,191806.7257160312,-8193.274283968814,0.959033628580156
2020-02-28,0,-0.3388632302072419,0.0,0.0006341,0.0,0.00277,200000,191806.7257160312,-8193.274283968814,0.959033628580156
2020-02-29,0,-0.3313104395845277,0.0,0.0006189,0.0,0.002709,200000,191806.7257160312,-8193.274283968814,0.959033628580156
2020-03-01,0,-0.7656948135808715,0.0,0.0006107,0.0,0.002713,200000,191806.7257160312,-8193.274283968814,0.959033628580156
2020-03-02,0,0.18014497528175707,0.0,0.0006394,0.0,0.002732,200000,191806.7257160312,-8193.274283968814,0.959033628580156
2020-03-03,-1,-1.093422099596673,151986311.97783768,0.000631,-33972144.12257017,0.002823,200000,191806.72571603116,-8193.274283968844,0.9590336285801557
2020-03-04,-2,-1.4999117396404182,0.0,0.0006388,0.0,0.002906,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-05,-2,-1.6601466160390241,0.0,0.0006517,0.0,0.00301,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-06,-2,-1.4577998643336538,0.0,0.0006483,0.0,0.002987,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-07,-2,-1.2702354596359637,0.0,0.0006335,0.0,0.002896,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-08,-2,-1.4891827194642069,0.0,0.0005399,0.0,0.002504,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-09,-2,-1.859982389376094,0.0,0.0005328,0.0,0.002535,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-10,0,-0.802593523860569,0.0,0.0005435,0.0,0.002487,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-11,0,-0.7062346184675944,0.0,0.0005245,0.0,0.002398,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-12,2,2.607157011935577,0.0,0.0002819,0.0,0.001116,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-13,0,0.7058716374139231,0.0,0.0003223,0.0,0.001383,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-14,-2,-1.487112330998378,0.0,0.0003081,0.0,0.00148,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-15,-2,-2.3718845384457783,0.0,0.0003117,0.0,0.001626,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-16,-2,-2.217689502017952,0.0,0.0002807,0.0,0.001501,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-17,-2,-1.6565150791136103,0.0,0.0002965,0.0,0.001541,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-18,0,-0.8875298231400163,0.0,0.0003,0.0,0.001476,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-19,-2,-1.4073240293608211,0.0,0.0003304,0.0,0.001718,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-20,-2,-1.799506710081705,0.0,0.0003259,0.0,0.0018,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-21,-2,-1.3823896711508137,0.0,0.0003237,0.0,0.001746,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-22,0,-0.9340357796805783,0.0,0.0003046,0.0,0.001587,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-23,0,-0.7578397862553478,0.0,0.0003273,0.0,0.00169,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-24,0,-0.25805337601191,0.0,0.0003345,0.0,0.001657,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-25,0,-0.6488748626666448,0.0,0.0003198,0.0,0.001651,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-26,0,-0.8535577056044362,0.0,0.0003251,0.0,0.001725,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
2020-03-27,-1,-1.0198336071834584,310798394.030812,0.0003112,-57028573.244332954,0.001696,200000,193440.92044477738,-6559.079555222619,0.9672046022238869
