date,statusList,zscore,FETUSDT_position,FETUSDT_price,BNBUSDT_position,BNBUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03832,0.0,13.7184,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03642,0.0,13.0105,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03906,0.0,13.6474,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.04027,0.0,13.8092,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.03847,0.0,14.0532,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03949,0.0,14.9471,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0372,0.0,15.0226,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03686,0.0,14.5334,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0374,0.0,14.3978,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03619,0.0,15.07,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03779,0.0,14.9177,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03987,0.0,15.3366,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.04063,0.0,15.1736,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.03899,0.0,16.6371,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04001,0.0,17.6655,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.03962,0.0,17.0333,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0422,0.0,18.0724,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04109,0.0,17.8088,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.03771,0.0,17.388,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.595645418434056,0.0,0.03734,0.0,17.3235,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.6253896337050509,0.0,0.03802,0.0,18.1166,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.0338593786893981,2530364.3724696357,0.03952,-5607.141255102499,17.8344,200000,200000.0,0.0,1.0
2020-01-23,-1,-0.9631123863539653,2530364.3724696357,0.03775,-5607.141255102499,17.0524,200000,191136.4705992386,-8863.529400761414,0.955682352996193
2020-01-24,-1,-0.6292930012613296,2530364.3724696357,0.03893,-5607.141255102499,17.1148,200000,194472.18617307115,-5527.8138269288465,0.9723609308653558
2020-01-25,0,-0.13448354167706383,0.0,0.03989,0.0,16.9555,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-01-26,0,-0.8020646976301766,0.0,0.03889,0.0,17.499,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-01-27,0,-0.8352546874061485,0.0,0.03892,0.0,17.67,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-01-28,-2,-1.383748615646428,0.0,0.03767,0.0,18.0662,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-01-29,-2,-1.3838217638919525,0.0,0.03698,0.0,17.9134,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-01-30,-2,-1.242334477770528,0.0,0.0383,0.0,18.5555,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-01-31,0,-0.775724231863045,0.0,0.0389,0.0,18.2644,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-01,0,-0.825534721161953,0.0,0.03862,0.0,18.2752,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-02,0,-0.6823142044304358,0.0,0.0394,0.0,18.4333,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-03,0,0.3162882722887058,0.0,0.04111,0.0,18.46,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-04,0,0.7290473822099425,0.0,0.04117,0.0,18.1778,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-05,0,-0.70549043233819,0.0,0.04095,0.0,19.262,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-06,0,0.9855756579848681,0.0,0.04684,0.0,20.6675,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-07,0,-0.734599319770025,0.0,0.04669,0.0,22.0555,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-08,-2,-1.3438876637648554,0.0,0.04483,0.0,21.7888,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-09,-2,-1.5091124130210463,0.0,0.04946,0.0,24.38,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-10,-2,-2.1936867443394297,0.0,0.04853,0.0,25.1465,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-11,-2,-1.3924034087512311,0.0,0.05124,0.0,25.6963,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-12,-1,-1.1528362260357912,1831122.8893895175,0.05301,-3673.4303034153536,26.4243,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-13,0,0.06858520769605674,0.0,0.05431,0.0,25.4579,200000,188205.1859316497,-11794.8140683503,0.9410259296582485
2020-02-14,0,-0.5792315211225433,0.0,0.05425,0.0,26.3547,200000,188205.1859316497,-11794.8140683503,0.9410259296582485
