date,statusList,zscore,ICXUSDT_position,ICXUSDT_price,LINKUSDT_position,LINKUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1146,0.0,1.8111,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1096,0.0,1.7366,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1142,0.0,1.804,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1139,0.0,1.8242,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1135,0.0,1.7957,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1248,0.0,1.9374,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1201,0.0,2.1033,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1171,0.0,2.1892,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.1167,0.0,2.1886,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.1188,0.0,2.2257,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1202,0.0,2.2734,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.1215,0.0,2.2383,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1229,0.0,2.1901,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1394,0.0,2.3751,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.143,0.0,2.3953,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1455,0.0,2.4925,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1527,0.0,2.7006,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1532,0.0,2.7709,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1462,0.0,2.6212,200000,200000.0,0.0,1.0
2020-01-20,0,-0.4616955786371558,0.0,0.1511,0.0,2.688,200000,200000.0,0.0,1.0
2020-01-21,0,0.2505094137614887,0.0,0.157,0.0,2.6716,200000,200000.0,0.0,1.0
2020-01-22,0,0.435185375487241,0.0,0.1564,0.0,2.6426,200000,200000.0,0.0,1.0
2020-01-23,0,0.8948266673980665,0.0,0.1495,0.0,2.4698,200000,200000.0,0.0,1.0
2020-01-24,0,0.8715149179867302,0.0,0.1507,0.0,2.5024,200000,200000.0,0.0,1.0
2020-01-25,2,1.8182744065699163,0.0,0.155,0.0,2.4468,200000,200000.0,0.0,1.0
2020-01-26,2,2.702787265578255,0.0,0.1738,0.0,2.5764,200000,200000.0,0.0,1.0
2020-01-27,2,2.2998466522848133,0.0,0.1775,0.0,2.6055,200000,200000.0,0.0,1.0
2020-01-28,2,2.2361134126426485,0.0,0.186,0.0,2.6558,200000,200000.0,0.0,1.0
