date,statusList,zscore,WAVESUSDT_position,WAVESUSDT_price,TRXUSDT_position,TRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.0446,0.0,0.01322,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.9459,0.0,0.01284,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.9526,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.9458,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.8872,0.0,0.01353,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.8949,0.0,0.01472,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.8853,0.0,0.01434,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.851,0.0,0.01402,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.8231,0.0,0.01398,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.8244,0.0,0.01469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.8561,0.0,0.0146,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.8447,0.0,0.01503,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.86,0.0,0.01464,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.8637,0.0,0.01677,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.896,0.0,0.01729,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.8809,0.0,0.01734,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.9,0.0,0.01758,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.8783,0.0,0.01766,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.8889,0.0,0.01665,200000,200000.0,0.0,1.0
2020-01-20,0,-0.875414991904949,0.0,0.8673,0.0,0.01661,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.0655804179926422,114639.45890175398,0.8723,-5773672.055427252,0.01732,200000,200000.0,0.0,1.0
2020-01-22,-1,-0.949123790053177,114639.45890175398,0.8862,-5773672.055427252,0.01743,200000,202228.59240483138,2228.5924048313755,1.0111429620241568
2020-01-23,-1,-0.45174853410678506,114639.45890175398,0.8726,-5773672.055427252,0.01628,200000,194029.77290002618,-5970.227099973825,0.9701488645001308
2020-01-24,-1,-0.6630255085688188,114639.45890175398,0.8552,-5773672.055427252,0.01639,200000,192670.15024123265,-7329.849758767348,0.9633507512061632
2020-01-25,-1,-0.46335116879377547,114639.45890175398,0.8512,-5773672.055427252,0.01613,200000,190710.43767121457,-9289.562328785425,0.9535521883560729
2020-01-26,-1,-0.6396185528162055,114639.45890175398,0.8718,-5773672.055427252,0.01684,200000,197171.31768394407,-2828.682316055929,0.9858565884197203
2020-01-27,-1,-0.8746576299673282,114639.45890175398,0.868,-5773672.055427252,0.01713,200000,198410.05263619128,-1589.947363808722,0.9920502631809563
2020-01-28,-2,-1.683881270856841,0.0,0.8856,0.0,0.0186,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-01-29,-2,-1.8161236629416364,0.0,0.8699,0.0,0.01866,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-01-30,-2,-2.071202383210568,0.0,0.8696,0.0,0.0195,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-01-31,-2,-1.2299846734299043,0.0,0.8824,0.0,0.01867,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-01,0,-0.9812855484004646,0.0,0.9111,0.0,0.01907,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-02,0,-0.038249102072703677,0.0,0.9594,0.0,0.01909,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-03,0,0.3167051145945732,0.0,0.9809,0.0,0.0192,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-04,0,-0.062396827154248255,0.0,0.9643,0.0,0.01925,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-05,0,-0.9854624148933092,0.0,0.9899,0.0,0.02076,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-06,-2,-1.5949571224656154,0.0,1.0364,0.0,0.02271,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-07,0,-0.09641089216434098,0.0,1.092,0.0,0.02204,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-08,0,-0.4030524285657079,0.0,1.058,0.0,0.02179,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-09,0,0.35410799413185123,0.0,1.11,0.0,0.02206,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-10,2,3.486918732823473,0.0,1.4376,0.0,0.02216,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-11,2,2.281397384616525,0.0,1.4117,0.0,0.02272,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-12,2,1.640534732892696,0.0,1.4324,0.0,0.02393,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-13,2,1.3016355817747023,0.0,1.4038,0.0,0.02391,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-14,2,1.2197113624521396,0.0,1.5529,0.0,0.02639,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-15,2,1.5710258274604343,0.0,1.4686,0.0,0.02364,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-16,2,1.3993028703142236,0.0,1.3809,0.0,0.02223,200000,205865.59542755355,5865.595427553548,1.0293279771377677
2020-02-17,1,1.1546519471059293,-77010.92152758999,1.3366,4723854.874427571,0.02179,200000,205865.59542755358,5865.595427553577,1.029327977137768
2020-02-18,2,1.4941056220234228,0.0,1.4693,0.0,0.02262,200000,212164.14516848986,12164.145168489864,1.0608207258424494
2020-02-19,2,1.6940912258986254,0.0,1.3717,0.0,0.0202,200000,212164.14516848986,12164.145168489864,1.0608207258424494
2020-02-20,2,2.201087697966489,0.0,1.4854,0.0,0.0198,200000,212164.14516848986,12164.145168489864,1.0608207258424494
2020-02-21,2,1.589387874116437,0.0,1.4459,0.0,0.02016,200000,212164.14516848986,12164.145168489864,1.0608207258424494
2020-02-22,2,1.336698692301143,0.0,1.4198,0.0,0.02002,200000,212164.14516848986,12164.145168489864,1.0608207258424494
2020-02-23,0,0.8771145186976446,0.0,1.4439,0.0,0.02133,200000,212164.14516848986,12164.145168489864,1.0608207258424494
2020-02-24,0,0.9388986063379109,0.0,1.3735,0.0,0.01988,200000,212164.14516848986,12164.145168489864,1.0608207258424494
2020-02-25,0,0.9433054603473245,0.0,1.3215,0.0,0.01891,200000,212164.14516848986,12164.145168489864,1.0608207258424494
2020-02-26,0,0.9763487710500259,0.0,1.1562,0.0,0.01636,200000,212164.14516848986,12164.145168489864,1.0608207258424494
2020-02-27,1,1.0011178925504065,-87324.72224583876,1.2148,6236453.414711636,0.01701,200000,212164.14516848986,12164.145168489864,1.0608207258424494
2020-02-28,1,0.34825024459403714,-87324.72224583876,1.1529,6236453.414711636,0.0171,200000,207320.0256687965,7320.025668796501,1.0366001283439825
2020-02-29,1,0.49952662151981425,-87324.72224583876,1.1317,6236453.414711636,0.01648,200000,201602.1404400635,1602.1404400634929,1.0080107022003175
2020-03-01,1,0.33156777587768477,-87324.72224583876,1.1176,6236453.414711636,0.01643,200000,200059.03918566156,59.03918566156062,1.0002951959283077
2020-03-02,0,0.14786540611185692,0.0,1.1853,0.0,0.01759,200000,205970.92288170484,5970.922881704842,1.029854614408524
2020-03-03,0,0.10785918510511985,0.0,1.1639,0.0,0.01723,200000,205970.92288170484,5970.922881704842,1.029854614408524
2020-03-04,0,0.028528914522407016,0.0,1.1998,0.0,0.01774,200000,205970.92288170484,5970.922881704842,1.029854614408524
2020-03-05,2,1.754425074836387,0.0,1.3394,0.0,0.01789,200000,205970.92288170484,5970.922881704842,1.029854614408524
