date,statusList,zscore,MITHUSDT_position,MITHUSDT_price,VETUSDT_position,VETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00757,0.0,0.005358,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.00699,0.0,0.005094,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00739,0.0,0.005327,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00728,0.0,0.00562,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00734,0.0,0.005465,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00741,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00705,0.0,0.005578,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00678,0.0,0.005492,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00664,0.0,0.005319,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00655,0.0,0.005454,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00669,0.0,0.005526,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00671,0.0,0.005523,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00669,0.0,0.005407,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00679,0.0,0.005994,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00715,0.0,0.006003,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00716,0.0,0.005885,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00723,0.0,0.006392,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00732,0.0,0.006239,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00704,0.0,0.005862,200000,200000.0,0.0,1.0
2020-01-20,0,-0.7125489894601071,0.0,0.00692,0.0,0.005814,200000,200000.0,0.0,1.0
2020-01-21,0,-0.26742132598468893,0.0,0.00727,0.0,0.005964,200000,200000.0,0.0,1.0
2020-01-22,1,1.1255229663054636,-13037809.64797914,0.00767,17056114.617090225,0.005863,200000,200000.0,0.0,1.0
2020-01-23,2,1.3594664050188079,0.0,0.00734,0.0,0.005607,200000,200063.88815814198,63.888158141984604,1.00031944079071
2020-01-24,2,1.2619862293464548,0.0,0.00728,0.0,0.00558,200000,200063.88815814198,63.888158141984604,1.00031944079071
2020-01-25,2,1.5983988530170723,0.0,0.00742,0.0,0.005623,200000,200063.88815814198,63.888158141984604,1.00031944079071
2020-01-26,2,2.644578182360037,0.0,0.00813,0.0,0.00573,200000,200063.88815814198,63.888158141984604,1.00031944079071
2020-01-27,2,1.588401327477996,0.0,0.00781,0.0,0.005748,200000,200063.88815814198,63.888158141984604,1.00031944079071
2020-01-28,1,1.1886816384365402,-12890714.443179252,0.00776,17246886.910184655,0.0058,200000,200063.88815814198,63.888158141984604,1.00031944079071
2020-01-29,1,1.0334585529903546,-12890714.443179252,0.00764,17246886.910184655,0.005733,200000,197361.4610019781,-2638.5389980218897,0.9868073050098906
2020-01-30,1,0.6175229855912752,-12890714.443179252,0.00742,17246886.910184655,0.005687,200000,193732.1470266102,-6267.8529733897885,0.9686607351330511
2020-01-31,2,1.3593786255773457,0.0,0.00794,0.0,0.005766,200000,202970.6109128605,2970.6109128604876,1.0148530545643024
2020-02-01,0,0.6176343004537233,0.0,0.00792,0.0,0.005997,200000,202970.6109128605,2970.6109128604876,1.0148530545643024
2020-02-02,0,0.13516556328743717,0.0,0.00799,0.0,0.006229,200000,202970.6109128605,2970.6109128604876,1.0148530545643024
2020-02-03,0,-0.27891119455263536,0.0,0.00792,0.0,0.006304,200000,202970.6109128605,2970.6109128604876,1.0148530545643024
2020-02-04,0,-0.010885350833084572,0.0,0.00837,0.0,0.006532,200000,202970.6109128605,2970.6109128604876,1.0148530545643024
2020-02-05,0,0.14122601721644382,0.0,0.00839,0.0,0.006472,200000,202970.6109128605,2970.6109128604876,1.0148530545643024
2020-02-06,2,1.7223154219992713,0.0,0.00964,0.0,0.0068,200000,202970.6109128605,2970.6109128604876,1.0148530545643024
2020-02-07,2,1.961189016796719,0.0,0.00988,0.0,0.006817,200000,202970.6109128605,2970.6109128604876,1.0148530545643024
2020-02-08,0,0.9726096479476732,0.0,0.00925,0.0,0.006669,200000,202970.6109128605,2970.6109128604876,1.0148530545643024
2020-02-09,2,1.4806833224552751,0.0,0.00973,0.0,0.006825,200000,202970.6109128605,2970.6109128604876,1.0148530545643024
2020-02-10,2,2.1267463987115267,0.0,0.00965,0.0,0.00651,200000,202970.6109128605,2970.6109128604876,1.0148530545643024
2020-02-11,-1,-1.1215115586725581,-10637872.689353276,0.00954,13558491.042943252,0.007485,200000,202970.6109128605,2970.6109128604876,1.0148530545643024
2020-02-12,0,1.3992008454530838,0.0,0.01082,0.0,0.00747,200000,189150.75650484418,-10849.243495155824,0.9457537825242208
2020-02-13,1,1.075843750549693,-8181261.09450018,0.01156,11735373.899047287,0.008059,200000,189150.75650484418,-10849.243495155824,0.9457537825242208
2020-02-14,1,0.2515892461140356,-8181261.09450018,0.01146,11735373.899047287,0.008301,200000,191172.5908789636,-8827.409121036413,0.9558629543948179
2020-02-15,0,-0.06167090932245846,0.0,0.01013,0.0,0.00747,200000,184363.68836624775,-15636.311633752252,0.9218184418312387
2020-02-16,0,-0.3831192582249383,0.0,0.00944,0.0,0.007081,200000,184363.68836624775,-15636.311633752252,0.9218184418312387
2020-02-17,0,-0.23215623429915264,0.0,0.00906,0.0,0.006743,200000,184363.68836624775,-15636.311633752252,0.9218184418312387
