date,statusList,zscore,ONEUSDT_position,ONEUSDT_price,BNBUSDT_position,BNBUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00466,0.0,13.7184,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0047,0.0,13.0105,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00478,0.0,13.6474,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00475,0.0,13.8092,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00466,0.0,14.0532,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00476,0.0,14.9471,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00455,0.0,15.0226,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0046,0.0,14.5334,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00458,0.0,14.3978,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00463,0.0,15.07,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00462,0.0,14.9177,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00464,0.0,15.3366,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00477,0.0,15.1736,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0049,0.0,16.6371,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00504,0.0,17.6655,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00493,0.0,17.0333,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00518,0.0,18.0724,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00506,0.0,17.8088,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0048,0.0,17.388,200000,200000.0,0.0,1.0
2020-01-20,0,-0.9697479941012637,0.0,0.00498,0.0,17.3235,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.4336619425446975,0.0,0.00493,0.0,18.1166,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.299746805294912,0.0,0.00489,0.0,17.8344,200000,200000.0,0.0,1.0
2020-01-23,0,0.25906084544943825,0.0,0.00522,0.0,17.0524,200000,200000.0,0.0,1.0
2020-01-24,0,0.2856037045649855,0.0,0.0052,0.0,17.1148,200000,200000.0,0.0,1.0
