date,statusList,zscore,XMRUSDT_position,XMRUSDT_price,ONGUSDT_position,ONGUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,45.82,0.0,0.0956,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,45.5,0.0,0.095,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,50.93,0.0,0.0995,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,50.37,0.0,0.0981,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,53.69,0.0,0.0998,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,58.91,0.0,0.1024,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,58.36,0.0,0.0997,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,59.44,0.0,0.1016,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,58.68,0.0,0.0991,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,58.42,0.0,0.0996,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,58.25,0.0,0.1039,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,59.19,0.0,0.105,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,57.72,0.0,0.1027,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,62.55,0.0,0.1132,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,68.47,0.0,0.1149,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,65.63,0.0,0.1116,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,68.95,0.0,0.1156,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,67.0,0.0,0.1128,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,65.17,0.0,0.1069,200000,200000.0,0.0,1.0
2020-01-20,2,1.4208137263628449,0.0,64.96,0.0,0.1043,200000,200000.0,0.0,1.0
2020-01-21,2,1.2956430513668247,0.0,65.87,0.0,0.1062,200000,200000.0,0.0,1.0
2020-01-22,0,0.9398319252166024,0.0,65.0,0.0,0.107,200000,200000.0,0.0,1.0
2020-01-23,0,-0.21342387149347256,0.0,62.55,0.0,0.1087,200000,200000.0,0.0,1.0
2020-01-24,0,0.351711295625034,0.0,61.67,0.0,0.104,200000,200000.0,0.0,1.0
2020-01-25,0,0.19448643218274994,0.0,61.35,0.0,0.1037,200000,200000.0,0.0,1.0
2020-01-26,0,0.90366393730595,0.0,63.97,0.0,0.1054,200000,200000.0,0.0,1.0
2020-01-27,2,1.3470342496779417,0.0,65.44,0.0,0.1058,200000,200000.0,0.0,1.0
2020-01-28,2,1.4815978941968881,0.0,67.71,0.0,0.1083,200000,200000.0,0.0,1.0
