date,statusList,zscore,TFUELUSDT_position,TFUELUSDT_price,IOSTUSDT_position,IOSTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.002383,0.0,0.004817,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.002297,0.0,0.004605,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.002403,0.0,0.004819,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.002429,0.0,0.004869,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.002412,0.0,0.004916,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.002461,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.002382,0.0,0.00496,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.002511,0.0,0.004716,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.002395,0.0,0.004766,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.002402,0.0,0.005095,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.002403,0.0,0.004983,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.002452,0.0,0.005361,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.002456,0.0,0.005108,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.002572,0.0,0.005758,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.002567,0.0,0.005815,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.002584,0.0,0.005884,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.002598,0.0,0.006125,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.002591,0.0,0.005849,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00246,0.0,0.005483,200000,200000.0,0.0,1.0
2020-01-20,0,0.22583479057305236,0.0,0.002579,0.0,0.005363,200000,200000.0,0.0,1.0
2020-01-21,0,-0.3085712472096145,0.0,0.002514,0.0,0.005409,200000,200000.0,0.0,1.0
2020-01-22,0,-0.4054437595910439,0.0,0.002515,0.0,0.005462,200000,200000.0,0.0,1.0
2020-01-23,0,0.15170288386344458,0.0,0.002492,0.0,0.005258,200000,200000.0,0.0,1.0
2020-01-24,0,0.10737907227553425,0.0,0.002449,0.0,0.005196,200000,200000.0,0.0,1.0
2020-01-25,0,0.4392102423277717,0.0,0.002489,0.0,0.005198,200000,200000.0,0.0,1.0
2020-01-26,0,-0.11883824544550702,0.0,0.0025,0.0,0.005384,200000,200000.0,0.0,1.0
2020-01-27,0,0.2998781260380057,0.0,0.002574,0.0,0.005428,200000,200000.0,0.0,1.0
2020-01-28,0,-0.294700986108309,0.0,0.0026,0.0,0.005681,200000,200000.0,0.0,1.0
2020-01-29,-1,-1.0512540530219239,40306328.09351068,0.002481,-17834849.295523454,0.005607,200000,200000.0,0.0,1.0
2020-01-30,-1,-0.7557524421195029,40306328.09351068,0.002498,-17834849.295523454,0.005599,200000,200542.52878322548,542.5287832254835,1.0027126439161274
2020-01-31,-1,-1.1583399006097583,40306328.09351068,0.002482,-17834849.295523454,0.005674,200000,201235.2412308936,1235.241230893589,1.006176206154468
2020-02-01,-2,-1.8170908077965209,0.0,0.002496,0.0,0.005922,200000,205013.38260668726,5013.382606687257,1.0250669130334362
2020-02-02,-2,-1.8855553292310754,0.0,0.002528,0.0,0.00609,200000,205013.38260668726,5013.382606687257,1.0250669130334362
2020-02-03,-2,-1.6048226420243554,0.0,0.002553,0.0,0.006128,200000,205013.38260668726,5013.382606687257,1.0250669130334362
2020-02-04,-2,-1.5647985022546178,0.0,0.002754,0.0,0.006656,200000,205013.38260668726,5013.382606687257,1.0250669130334362
2020-02-05,0,-0.7509929491670309,0.0,0.002882,0.0,0.006681,200000,205013.38260668726,5013.382606687257,1.0250669130334362
2020-02-06,-1,-1.0317219937323958,33897715.37808982,0.003024,-14411175.49604156,0.007113,200000,205013.38260668726,5013.382606687257,1.0250669130334362
2020-02-07,-1,-0.4306319158860871,33897715.37808982,0.0032,-14411175.49604156,0.007299,200000,213659.85915549478,13659.859155494778,1.068299295777474
2020-02-08,-1,-0.8179228366798622,33897715.37808982,0.003031,-14411175.49604156,0.007077,200000,204731.86429647636,4731.864296476357,1.0236593214823817
2020-02-09,-1,-0.29314626087727863,33897715.37808982,0.003333,-14411175.49604156,0.007598,200000,222477.19677409716,22477.19677409716,1.1123859838704857
2020-02-10,0,0.8673370107295288,0.0,0.003465,0.0,0.007472,200000,195238.10212802855,-4761.8978719714505,0.9761905106401427
2020-02-11,1,1.0787389821110114,-27397993.562732045,0.003563,12854760.477220736,0.007594,200000,195238.10212802855,-4761.8978719714505,0.9761905106401427
2020-02-12,1,1.0626204074796646,-27397993.562732045,0.00372,12854760.477220736,0.007946,200000,204064.46280535916,4064.4628053591587,1.0203223140267959
2020-02-13,2,2.303520151620786,0.0,0.003918,0.0,0.007778,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-14,0,0.5885705472834811,0.0,0.003836,0.0,0.008343,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-15,0,0.9363035766534552,0.0,0.003458,0.0,0.007382,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-16,2,1.7155107192593262,0.0,0.003274,0.0,0.006682,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-17,2,2.2413207088980673,0.0,0.003369,0.0,0.006532,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-18,2,1.5126934540049306,0.0,0.003394,0.0,0.006785,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-19,2,1.2877168004705035,0.0,0.003088,0.0,0.006205,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-20,2,1.3600774222435226,0.0,0.003129,0.0,0.006189,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-21,0,0.9223255608919553,0.0,0.003134,0.0,0.006347,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-22,1,1.1886613915888564,-32117804.996035162,0.003154,16280867.399147365,0.006222,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-23,1,1.0271373219936486,-32117804.996035162,0.003246,16280867.399147365,0.006432,200000,208972.93412844598,8972.93412844598,1.04486467064223
2020-02-24,1,1.138478533505421,-32117804.996035162,0.003151,16280867.399147365,0.006165,200000,201574.75105825032,1574.7510582503164,1.0078737552912516
2020-02-25,2,1.5757431814989151,0.0,0.002966,0.0,0.005595,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-02-26,0,0.7923790502544262,0.0,0.002565,0.0,0.00505,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-02-27,0,0.9704392111434023,0.0,0.002696,0.0,0.00523,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-02-28,2,1.364924017761872,0.0,0.00277,0.0,0.005251,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-02-29,2,1.4064611265526263,0.0,0.002709,0.0,0.005115,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-01,2,1.5858359025096562,0.0,0.002713,0.0,0.005049,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-02,0,0.5993818577685756,0.0,0.002732,0.0,0.005283,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-03,2,1.7173476752579717,0.0,0.002823,0.0,0.005186,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-04,0,0.9956638453389456,0.0,0.002906,0.0,0.005471,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-05,2,1.795435283274468,0.0,0.00301,0.0,0.005473,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-06,0,0.36604218317949283,0.0,0.002987,0.0,0.00571,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-07,1,1.1363849414031788,-35699079.84029706,0.002896,19195049.242016394,0.005386,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-08,2,1.2936429454256588,0.0,0.002504,0.0,0.004615,200000,207574.4141031988,7574.4141031987965,1.037872070515994
2020-03-09,2,2.122165304160162,0.0,0.002535,0.0,0.004498,200000,207574.4141031988,7574.4141031987965,1.037872070515994
2020-03-10,1,1.0380360461897948,-41731888.641575955,0.002487,22750374.189302806,0.004562,200000,207574.4141031988,7574.4141031987965,1.037872070515994
2020-03-11,1,0.6561519271885596,-41731888.641575955,0.002398,22750374.189302806,0.004444,200000,201175.73185976082,1175.7318597608246,1.005878659298804
2020-03-12,0,-2.20471373026409,0.0,0.001116,0.0,0.002293,200000,201980.59381112622,1980.5938111262221,1.0099029690556312
2020-03-13,0,0.5856237031290629,0.0,0.001383,0.0,0.002562,200000,201980.59381112622,1980.5938111262221,1.0099029690556312
2020-03-14,2,1.9256234517210749,0.0,0.00148,0.0,0.002599,200000,201980.59381112622,1980.5938111262221,1.0099029690556312
2020-03-15,2,2.358571173940853,0.0,0.001626,0.0,0.002761,200000,201980.59381112622,1980.5938111262221,1.0099029690556312
2020-03-16,2,2.7479173187999657,0.0,0.001501,0.0,0.002417,200000,201980.59381112622,1980.5938111262221,1.0099029690556312
2020-03-17,2,2.0692341656391244,0.0,0.001541,0.0,0.002515,200000,201980.59381112622,1980.5938111262221,1.0099029690556312
