date,statusList,zscore,QTUMUSDT_position,QTUMUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.603,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,1.533,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,1.629,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,1.642,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,1.631,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,1.747,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,1.735,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,1.683,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,1.634,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,1.734,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,1.74,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,1.754,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,1.701,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,1.915,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,1.974,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,1.932,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,2.092,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,2.035,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,1.931,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,2,1.5909977416046972,0.0,1.923,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,2,1.3734476564712799,0.0,1.95,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,1,1.0350179226716658,-50150.451354062185,1.994,2530364.3724696357,0.03952,200000,200000.0,0.0,1.0
2020-01-23,1,0.8406421314166954,-50150.451354062185,1.89,2530364.3724696357,0.03775,200000,190305.60811990628,-9694.391880093724,0.9515280405995313
2020-01-24,1,0.31287346915654946,-50150.451354062185,1.89,2530364.3724696357,0.03893,200000,193291.43807942042,-6708.561920579581,0.9664571903971021
2020-01-25,0,-0.3578642776323059,0.0,1.867,0.0,0.03989,200000,192694.65786022032,-7305.342139779677,0.9634732893011017
