date,statusList,zscore,TRXUSDT_position,TRXUSDT_price,THETAUSDT_position,THETAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01322,0.0,0.08656,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01284,0.0,0.08443,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01344,0.0,0.08771,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01344,0.0,0.09394,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01353,0.0,0.09421,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01472,0.0,0.09987,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01434,0.0,0.09608,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01402,0.0,0.09873,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01398,0.0,0.09294,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01469,0.0,0.09509,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0146,0.0,0.09437,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01503,0.0,0.09589,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01464,0.0,0.09703,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01677,0.0,0.10598,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01729,0.0,0.10438,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01734,0.0,0.10368,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.01758,0.0,0.11193,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01766,0.0,0.10876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01665,0.0,0.1126,200000,200000.0,0.0,1.0
2020-01-20,0,-0.28563655368880086,0.0,0.01661,0.0,0.10998,200000,200000.0,0.0,1.0
2020-01-21,0,0.34406822338339876,0.0,0.01732,0.0,0.11136,200000,200000.0,0.0,1.0
2020-01-22,0,-0.9007510473081756,0.0,0.01743,0.0,0.119,200000,200000.0,0.0,1.0
2020-01-23,0,-0.38770831826469093,0.0,0.01628,0.0,0.10858,200000,200000.0,0.0,1.0
2020-01-24,0,0.41689274716195174,0.0,0.01639,0.0,0.10494,200000,200000.0,0.0,1.0
2020-01-25,0,0.6524076760568489,0.0,0.01613,0.0,0.10189,200000,200000.0,0.0,1.0
2020-01-26,2,1.4646641500135376,0.0,0.01684,0.0,0.10222,200000,200000.0,0.0,1.0
2020-01-27,1,1.188078624076037,-5837711.617046118,0.01713,956114.3512764126,0.10459,200000,200000.0,0.0,1.0
2020-01-28,2,1.9271239133441784,0.0,0.0186,0.0,0.10936,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-01-29,2,2.5044611773512675,0.0,0.01866,0.0,0.10434,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-01-30,2,2.618721725001602,0.0,0.0195,0.0,0.10431,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-01-31,2,1.338958047668482,0.0,0.01867,0.0,0.10638,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-02-01,2,1.6269108762232638,0.0,0.01907,0.0,0.10527,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-02-02,2,1.438325603709936,0.0,0.01909,0.0,0.10545,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-02-03,1,1.0208411926851548,-5313040.901600763,0.0192,942011.1303974019,0.10829,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-02-04,0,-0.5426425565387107,0.0,0.01925,0.0,0.122,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-05,0,0.45024541485138053,0.0,0.02076,0.0,0.122,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-06,2,1.3142020283001625,0.0,0.02271,0.0,0.12425,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-07,0,0.7970694445343717,0.0,0.02204,0.0,0.1245,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-08,2,1.4268308398944705,0.0,0.02179,0.0,0.1164,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-09,0,0.7607909026085339,0.0,0.02206,0.0,0.12284,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-10,0,-0.09050764129664401,0.0,0.02216,0.0,0.13064,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-11,0,0.4694534302303288,0.0,0.02272,0.0,0.12814,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-12,0,-0.037709527676606645,0.0,0.02393,0.0,0.13827,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-13,-2,-2.8992487611418385,0.0,0.02391,0.0,0.17192,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-14,0,-0.5602038381331723,0.0,0.02639,0.0,0.15827,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-15,-1,-1.051134987132391,4047619.502301204,0.02364,-651189.091019467,0.14694,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-16,-1,-0.6772135677696074,4047619.502301204,0.02223,-651189.091019467,0.13454,200000,177589.56184191484,-22410.438158085162,0.8879478092095742
2020-02-17,-1,-1.1493762825541463,4047619.502301204,0.02179,-651189.091019467,0.13716,200000,177514.72467937332,-22485.27532062668,0.8875736233968666
2020-02-18,-1,-0.9522134458038931,4047619.502301204,0.02262,-651189.091019467,0.14134,200000,183596.21926674468,-16403.78073325532,0.9179810963337234
2020-02-19,-1,-0.9054799136720073,4047619.502301204,0.0202,-651189.091019467,0.12664,200000,164228.50043318962,-35771.49956681038,0.8211425021659481
2020-02-20,-2,-1.5546260797202107,0.0,0.0198,0.0,0.13247,200000,197491.60281058587,-2508.3971894141287,0.9874580140529293
2020-02-21,0,-0.795486649432724,0.0,0.02016,0.0,0.12776,200000,197491.60281058587,-2508.3971894141287,0.9874580140529293
2020-02-22,0,-0.863854297917423,0.0,0.02002,0.0,0.12846,200000,197491.60281058587,-2508.3971894141287,0.9874580140529293
2020-02-23,-1,-1.158734620330262,4629432.789746504,0.02133,-697899.5081298532,0.14149,200000,197491.60281058587,-2508.3971894141287,0.9874580140529293
2020-02-24,-2,-2.124690950610559,0.0,0.01988,0.0,0.14836,200000,208998.8499765704,8998.849976570404,1.044994249882852
2020-02-25,-2,-1.480192623723492,0.0,0.01891,0.0,0.13481,200000,208998.8499765704,8998.849976570404,1.044994249882852
2020-02-26,-2,-1.4602445869051601,0.0,0.01636,0.0,0.11839,200000,208998.8499765704,8998.849976570404,1.044994249882852
2020-02-27,-2,-1.2370123711323375,0.0,0.01701,0.0,0.12192,200000,208998.8499765704,8998.849976570404,1.044994249882852
2020-02-28,-1,-1.035803316737914,6111077.484695041,0.0171,-864918.2667462771,0.12082,200000,208998.8499765704,8998.849976570404,1.044994249882852
2020-02-29,-1,-1.0133645819908188,6111077.484695041,0.01648,-864918.2667462771,0.11712,200000,202009.78434909828,2009.7843490982777,1.0100489217454913
2020-03-01,-1,-0.9447177763063801,6111077.484695041,0.01643,-864918.2667462771,0.11707,200000,201660.98456152616,1660.9845615261584,1.0083049228076308
2020-03-02,-1,-1.1356215215205359,6111077.484695041,0.01759,-864918.2667462771,0.1284,200000,218549.35840600776,18549.358406007756,1.0927467920300389
2020-03-03,-2,-1.5419495771071725,0.0,0.01723,0.0,0.1317,200000,217614.72064575955,17614.720645759546,1.0880736032287976
2020-03-04,-1,-1.1675702965117416,6133447.594299875,0.01774,-825423.7621216794,0.13182,200000,217614.72064575955,17614.720645759546,1.0880736032287976
2020-03-05,-2,-1.6665968254122263,0.0,0.01789,0.0,0.14123,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-06,0,-0.7816576914478597,0.0,0.01833,0.0,0.13477,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-07,-2,-1.59904528161959,0.0,0.01699,0.0,0.13575,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-08,0,-0.821145418924809,0.0,0.01465,0.0,0.11028,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-09,0,-0.19127031928847274,0.0,0.01504,0.0,0.10849,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-10,0,-0.2940682986730209,0.0,0.01508,0.0,0.11022,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-11,2,1.2796731909604249,0.0,0.01489,0.0,0.09894,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-12,2,2.492071185758549,0.0,0.00841,0.0,0.05167,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-13,2,2.5567157626684125,0.0,0.01029,0.0,0.06151,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-14,2,1.6817397160465757,0.0,0.00973,0.0,0.061,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-15,2,1.880609893401237,0.0,0.01026,0.0,0.06199,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-16,2,2.4373878804231537,0.0,0.00961,0.0,0.05307,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-17,2,1.8360773280243374,0.0,0.01002,0.0,0.05667,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-18,2,1.760184479910559,0.0,0.01022,0.0,0.05667,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-19,2,1.4181623326909836,0.0,0.01163,0.0,0.06557,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-20,0,0.2713114836470249,0.0,0.01127,0.0,0.07224,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-21,0,0.14180299058159346,0.0,0.01123,0.0,0.07283,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-22,0,0.5111609175582122,0.0,0.0103,0.0,0.06342,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-23,0,0.47055927149033133,0.0,0.01137,0.0,0.06977,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-24,0,0.3324848471765002,0.0,0.01151,0.0,0.07122,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-25,0,0.37599018448833477,0.0,0.01139,0.0,0.06956,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-26,0,0.4054849994834093,0.0,0.01196,0.0,0.07231,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-27,0,-0.3304363950185863,0.0,0.01121,0.0,0.0718,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-28,0,0.05275947890042228,0.0,0.01139,0.0,0.07,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-29,0,-0.022910718246594977,0.0,0.01066,0.0,0.06537,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-30,0,-0.7878231180952554,0.0,0.01145,0.0,0.07265,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-03-31,-1,-1.0652845116545555,9700170.315824527,0.01157,-1512342.9531611614,0.07421,200000,224461.94110817957,24461.94110817957,1.122309705540898
2020-04-01,-1,-0.9501710839814843,9700170.315824527,0.01158,-1512342.9531611614,0.07407,200000,224347.21479789523,24347.214797895227,1.1217360739894762
2020-04-02,-2,-1.2031021266517465,0.0,0.01196,0.0,0.07811,200000,226577.01220233654,26577.01220233654,1.1328850610116827
