date,statusList,zscore,ICXUSDT_position,ICXUSDT_price,IOTAUSDT_position,IOTAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1146,0.0,0.1606,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1096,0.0,0.1584,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1142,0.0,0.1664,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1139,0.0,0.1734,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1135,0.0,0.1718,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1248,0.0,0.1826,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1201,0.0,0.1857,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1171,0.0,0.1811,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.1167,0.0,0.177,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.1188,0.0,0.1902,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1202,0.0,0.1918,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.1215,0.0,0.1913,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1229,0.0,0.1884,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1394,0.0,0.2105,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.143,0.0,0.2335,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1455,0.0,0.2279,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1527,0.0,0.2383,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1532,0.0,0.2461,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1462,0.0,0.2462,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.5796261279248995,0.0,0.1511,0.0,0.2523,200000,200000.0,0.0,1.0
2020-01-21,0,-0.5971248446909715,0.0,0.157,0.0,0.2503,200000,200000.0,0.0,1.0
2020-01-22,0,-0.4899608005900067,0.0,0.1564,0.0,0.249,200000,200000.0,0.0,1.0
2020-01-23,0,-0.2862878353938501,0.0,0.1495,0.0,0.2369,200000,200000.0,0.0,1.0
2020-01-24,0,-0.02229721519461071,0.0,0.1507,0.0,0.237,200000,200000.0,0.0,1.0
2020-01-25,1,1.1486555391800948,-645161.2903225806,0.155,426621.1604095563,0.2344,200000,200000.0,0.0,1.0
2020-01-26,2,2.8111465677992804,0.0,0.1738,0.0,0.2457,200000,207308.21314543652,7308.213145436515,1.0365410657271825
2020-01-27,2,2.194287151242471,0.0,0.1775,0.0,0.2522,200000,207308.21314543652,7308.213145436515,1.0365410657271825
2020-01-28,0,0.3141969017083861,0.0,0.186,0.0,0.2863,200000,207308.21314543652,7308.213145436515,1.0365410657271825
2020-01-29,2,1.676722995089691,0.0,0.2112,0.0,0.3041,200000,207308.21314543652,7308.213145436515,1.0365410657271825
2020-01-30,2,3.2701348223601614,0.0,0.238,0.0,0.294,200000,207308.21314543652,7308.213145436515,1.0365410657271825
2020-01-31,2,3.0894389003410985,0.0,0.2589,0.0,0.2942,200000,207308.21314543652,7308.213145436515,1.0365410657271825
2020-02-01,2,2.552014950052444,0.0,0.2751,0.0,0.3059,200000,207308.21314543652,7308.213145436515,1.0365410657271825
2020-02-02,2,2.8523995454336593,0.0,0.3176,0.0,0.3083,200000,207308.21314543652,7308.213145436515,1.0365410657271825
2020-02-03,2,2.5980688748690652,0.0,0.3705,0.0,0.3363,200000,207308.21314543652,7308.213145436515,1.0365410657271825
2020-02-04,2,3.3127001768671986,0.0,0.5091,0.0,0.3319,200000,207308.21314543652,7308.213145436515,1.0365410657271825
2020-02-05,2,2.046355480155608,0.0,0.4369,0.0,0.3267,200000,207308.21314543652,7308.213145436515,1.0365410657271825
2020-02-06,2,1.880892707566054,0.0,0.4574,0.0,0.3309,200000,207308.21314543652,7308.213145436515,1.0365410657271825
