date,statusList,zscore,THETAUSDT_position,THETAUSDT_price,WAVESUSDT_position,WAVESUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.08656,0.0,1.0446,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.08443,0.0,0.9459,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.08771,0.0,0.9526,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.09394,0.0,0.9458,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.09421,0.0,0.8872,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.09987,0.0,0.8949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.09608,0.0,0.8853,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.09873,0.0,0.851,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.09294,0.0,0.8231,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.09509,0.0,0.8244,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.09437,0.0,0.8561,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.09589,0.0,0.8447,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.09703,0.0,0.86,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.10598,0.0,0.8637,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.10438,0.0,0.896,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.10368,0.0,0.8809,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.11193,0.0,0.9,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.10876,0.0,0.8783,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1126,0.0,0.8889,200000,200000.0,0.0,1.0
2020-01-20,2,1.2434952272922297,0.0,0.10998,0.0,0.8673,200000,200000.0,0.0,1.0
2020-01-21,2,1.2864498193820488,0.0,0.11136,0.0,0.8723,200000,200000.0,0.0,1.0
2020-01-22,2,1.8036183319905634,0.0,0.119,0.0,0.8862,200000,200000.0,0.0,1.0
2020-01-23,0,0.7960990486441607,0.0,0.10858,0.0,0.8726,200000,200000.0,0.0,1.0
2020-01-24,0,0.526854237100251,0.0,0.10494,0.0,0.8552,200000,200000.0,0.0,1.0
2020-01-25,0,0.041079908098656324,0.0,0.10189,0.0,0.8512,200000,200000.0,0.0,1.0
2020-01-26,0,-0.36531784331232303,0.0,0.10222,0.0,0.8718,200000,200000.0,0.0,1.0
2020-01-27,0,0.03200815461687209,0.0,0.10459,0.0,0.868,200000,200000.0,0.0,1.0
2020-01-28,0,0.4602403222969915,0.0,0.10936,0.0,0.8856,200000,200000.0,0.0,1.0
