date,statusList,zscore,XRPUSDT_position,XRPUSDT_price,ADAUSDT_position,ADAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.19305,0.0,0.03348,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1875,0.0,0.03269,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.19338,0.0,0.03417,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.19305,0.0,0.03434,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.19453,0.0,0.0346,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2231,0.0,0.03732,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.21335,0.0,0.037,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2075,0.0,0.03631,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.20373,0.0,0.03616,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.21284,0.0,0.03693,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.21121,0.0,0.03678,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.21539,0.0,0.03792,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.21134,0.0,0.03682,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.23464,0.0,0.04161,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.23367,0.0,0.04275,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.229,0.0,0.04168,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.23921,0.0,0.0449,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.24357,0.0,0.04489,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.23558,0.0,0.042,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.924822892555845,0.0,0.23314,0.0,0.04378,200000,200000.0,0.0,1.0
2020-01-21,-2,-2.3611210969821186,0.0,0.23726,0.0,0.04602,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.8656212009148918,0.0,0.23733,0.0,0.04575,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.467297838971533,0.0,0.22586,0.0,0.04318,200000,200000.0,0.0,1.0
2020-01-24,-2,-2.2264933453460025,0.0,0.22222,0.0,0.04495,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.479267243431927,0.0,0.21946,0.0,0.04314,200000,200000.0,0.0,1.0
