date,statusList,zscore,WAVESUSDT_position,WAVESUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.0446,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.9459,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.9526,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.9458,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.8872,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.8949,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.8853,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.851,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.8231,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.8244,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.8561,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.8447,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.86,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.8637,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.896,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.8809,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.9,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.8783,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.8889,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,0,-0.8935705025446348,0.0,0.8673,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,0,-0.4542680611003067,0.0,0.8723,0.0,0.002514,200000,200000.0,0.0,1.0
2020-01-22,0,-0.07822568995332256,0.0,0.8862,0.0,0.002515,200000,200000.0,0.0,1.0
2020-01-23,0,-0.08935630105411194,0.0,0.8726,0.0,0.002492,200000,200000.0,0.0,1.0
2020-01-24,0,-0.01594581800801965,0.0,0.8552,0.0,0.002449,200000,200000.0,0.0,1.0
2020-01-25,0,-0.6486366951553638,0.0,0.8512,0.0,0.002489,200000,200000.0,0.0,1.0
2020-01-26,0,0.16072938161233902,0.0,0.8718,0.0,0.0025,200000,200000.0,0.0,1.0
2020-01-27,-2,-1.237500511266837,0.0,0.868,0.0,0.002574,200000,200000.0,0.0,1.0
2020-01-28,0,-0.7577342329667858,0.0,0.8856,0.0,0.0026,200000,200000.0,0.0,1.0
2020-01-29,0,0.6772059805539354,0.0,0.8699,0.0,0.002481,200000,200000.0,0.0,1.0
2020-01-30,0,0.27154855194706345,0.0,0.8696,0.0,0.002498,200000,200000.0,0.0,1.0
2020-01-31,2,1.3848393759464555,0.0,0.8824,0.0,0.002482,200000,200000.0,0.0,1.0
2020-02-01,2,2.252221241744413,0.0,0.9111,0.0,0.002496,200000,200000.0,0.0,1.0
2020-02-02,2,2.880490859814064,0.0,0.9594,0.0,0.002528,200000,200000.0,0.0,1.0
2020-02-03,2,2.5704115378099024,0.0,0.9809,0.0,0.002553,200000,200000.0,0.0,1.0
2020-02-04,0,-0.08340797007878088,0.0,0.9643,0.0,0.002754,200000,200000.0,0.0,1.0
2020-02-05,0,-0.616905622475501,0.0,0.9899,0.0,0.002882,200000,200000.0,0.0,1.0
2020-02-06,0,-0.6561462153348983,0.0,1.0364,0.0,0.003024,200000,200000.0,0.0,1.0
2020-02-07,0,-0.7860123054137107,0.0,1.092,0.0,0.0032,200000,200000.0,0.0,1.0
2020-02-08,0,-0.12766915027052209,0.0,1.058,0.0,0.003031,200000,200000.0,0.0,1.0
2020-02-09,-2,-1.3694002031828432,0.0,1.11,0.0,0.003333,200000,200000.0,0.0,1.0
2020-02-10,2,3.179369683913114,0.0,1.4376,0.0,0.003465,200000,200000.0,0.0,1.0
2020-02-11,2,1.8766616798415425,0.0,1.4117,0.0,0.003563,200000,200000.0,0.0,1.0
2020-02-12,2,1.2220370336636865,0.0,1.4324,0.0,0.00372,200000,200000.0,0.0,1.0
2020-02-13,0,0.0004728964892361179,0.0,1.4038,0.0,0.003918,200000,200000.0,0.0,1.0
2020-02-14,2,1.7991832130305363,0.0,1.5529,0.0,0.003836,200000,200000.0,0.0,1.0
2020-02-15,2,2.144897175160284,0.0,1.4686,0.0,0.003458,200000,200000.0,0.0,1.0
2020-02-16,2,1.7668708419211754,0.0,1.3809,0.0,0.003274,200000,200000.0,0.0,1.0
2020-02-17,0,0.8326257239606896,0.0,1.3366,0.0,0.003369,200000,200000.0,0.0,1.0
2020-02-18,2,1.7743725099854117,0.0,1.4693,0.0,0.003394,200000,200000.0,0.0,1.0
2020-02-19,2,1.8261672537233022,0.0,1.3717,0.0,0.003088,200000,200000.0,0.0,1.0
2020-02-20,2,2.20365064957117,0.0,1.4854,0.0,0.003129,200000,200000.0,0.0,1.0
2020-02-21,2,1.6271454635868638,0.0,1.4459,0.0,0.003134,200000,200000.0,0.0,1.0
2020-02-22,2,1.229768942557646,0.0,1.4198,0.0,0.003154,200000,200000.0,0.0,1.0
2020-02-23,1,1.0133597950810993,-69256.87374471917,1.4439,30807147.25816389,0.003246,200000,200000.0,0.0,1.0
2020-02-24,1,0.7363571750343927,-69256.87374471917,1.3735,30807147.25816389,0.003151,200000,192197.6370988462,-7802.3629011538,0.960988185494231
2020-02-25,1,0.8629366659281288,-69256.87374471917,1.3215,30807147.25816389,0.002966,200000,182896.95742136048,-17103.04257863952,0.9144847871068024
2020-02-26,1,0.8965111812662448,-69256.87374471917,1.1562,30807147.25816389,0.002565,200000,159095.13014083466,-40904.86985916534,0.7954756507041734
2020-02-27,1,0.817846582596906,-69256.87374471917,1.2148,30807147.25816389,0.002696,200000,167189.3192330947,-32810.68076690531,0.8359465961654735
2020-02-28,0,-0.16786736818052886,0.0,1.1529,0.0,0.00277,200000,194510.45183517275,-5489.548164827254,0.9725522591758637
2020-02-29,0,-0.3026587282549968,0.0,1.1317,0.0,0.002709,200000,194510.45183517275,-5489.548164827254,0.9725522591758637
2020-03-01,0,-0.5004585771631493,0.0,1.1176,0.0,0.002713,200000,194510.45183517275,-5489.548164827254,0.9725522591758637
2020-03-02,0,0.20779592239745473,0.0,1.1853,0.0,0.002732,200000,194510.45183517275,-5489.548164827254,0.9725522591758637
2020-03-03,0,-0.6587197341385216,0.0,1.1639,0.0,0.002823,200000,194510.45183517275,-5489.548164827254,0.9725522591758637
2020-03-04,0,-0.9431042505141357,0.0,1.1998,0.0,0.002906,200000,194510.45183517275,-5489.548164827254,0.9725522591758637
2020-03-05,0,0.5494267856566332,0.0,1.3394,0.0,0.00301,200000,194510.45183517275,-5489.548164827254,0.9725522591758637
2020-03-06,1,1.1982345267607708,-70731.07339460828,1.375,32559499.8050172,0.002987,200000,194510.45183517277,-5489.548164827225,0.9725522591758639
2020-03-07,1,0.34296854628056045,-70731.07339460828,1.2858,32559499.8050172,0.002896,200000,185238.32560611714,-14761.674393882859,0.9261916280305857
