date,statusList,zscore,ETHUSDT_position,ETHUSDT_price,ATOMUSDT_position,ATOMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,130.77,0.0,4.38,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,127.19,0.0,4.096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,134.35,0.0,4.237,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,134.2,0.0,4.25,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,135.37,0.0,4.2,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,144.15,0.0,4.111,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,142.8,0.0,4.075,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,140.72,0.0,3.995,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,137.74,0.0,4.245,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,144.84,0.0,4.27,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,142.38,0.0,4.264,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,146.54,0.0,4.253,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,143.58,0.0,4.245,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,165.64,0.0,4.53,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,166.4,0.0,4.573,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,164.21,0.0,5.097,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,169.85,0.0,5.015,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,174.14,0.0,4.625,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,166.79,0.0,4.516,200000,200000.0,0.0,1.0
2020-01-20,2,1.3604563892067891,0.0,166.87,0.0,4.505,200000,200000.0,0.0,1.0
2020-01-21,1,1.0569439200534967,-590.0053100477904,169.49,21551.724137931036,4.64,200000,200000.0,0.0,1.0
2020-01-22,1,0.7662325167503613,-590.0053100477904,168.07,21551.724137931036,4.657,200000,199528.571770077,-471.4282299230108,0.997642858850385
2020-01-23,1,0.8830699455168112,-590.0053100477904,162.81,21551.724137931036,4.463,200000,192244.10935646697,-7755.890643533028,0.9612205467823348
2020-01-24,1,0.6681780990779846,-590.0053100477904,162.54,21551.724137931036,4.488,200000,192623.60102620235,-7376.398973797652,0.9631180051310118
2020-01-25,1,0.7743086068119971,-590.0053100477904,160.35,21551.724137931036,4.39,200000,189219.42043168045,-10780.579568319547,0.9460971021584023
2020-01-26,2,1.2445736319979737,0.0,167.86,0.0,4.478,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-01-27,2,1.224082931172097,0.0,170.08,0.0,4.515,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-01-28,2,1.4484815183151742,0.0,175.64,0.0,4.577,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-01-29,2,1.8375516284647129,0.0,173.72,0.0,4.401,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-01-30,2,2.467032664579637,0.0,184.69,0.0,4.41,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-01-31,2,1.7908898781356362,0.0,179.99,0.0,4.397,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-02-01,2,1.8741948060431337,0.0,183.6,0.0,4.388,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-02-02,2,1.950341790650057,0.0,188.44,0.0,4.403,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-02-03,2,2.1255960816434296,0.0,189.69,0.0,4.263,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-02-04,2,1.877839289413033,0.0,188.91,0.0,4.22,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-02-05,2,2.2203854573159707,0.0,203.78,0.0,4.33,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-02-06,2,1.8108323675337719,0.0,213.19,0.0,4.589,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-02-07,2,1.5482519099974925,0.0,223.33,0.0,4.825,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-02-08,2,1.758585296906916,0.0,223.05,0.0,4.629,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-02-09,2,1.520252413429709,0.0,228.49,0.0,4.757,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-02-10,1,1.099805401100987,-454.3265078176835,222.89,21216.181715374707,4.773,200000,202529.67065496693,2529.6706549669325,1.0126483532748347
2020-02-11,1,0.9305009244823839,-454.3265078176835,236.69,21216.181715374707,5.105,200000,215843.14879235538,15843.14879235538,1.0792157439617769
2020-02-12,2,1.950508250842666,0.0,265.74,0.0,5.109,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-13,2,2.1594704824147533,0.0,268.32,0.0,4.906,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-14,2,2.054966078849763,0.0,285.15,0.0,5.111,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-15,2,2.041318104817336,0.0,264.88,0.0,4.608,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-16,2,2.0097425149844583,0.0,258.85,0.0,4.382,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-17,2,2.2058749465452263,0.0,267.85,0.0,4.27,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-18,2,2.009194849281322,0.0,282.61,0.0,4.441,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-19,2,1.6074433380444075,0.0,258.45,0.0,4.146,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-20,0,0.8709090826306959,0.0,256.96,0.0,4.461,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-21,0,0.23051458649300094,0.0,265.27,0.0,4.953,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-22,0,-0.04287117684757441,0.0,261.57,0.0,5.011,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-23,0,0.6703577636178962,0.0,274.48,0.0,4.794,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-24,1,1.0802420302018791,-404.6190954703766,265.52,24455.830236579648,4.393,200000,214868.92445858876,14868.924458588765,1.0743446222929438
2020-02-25,1,1.0458043599983826,-404.6190954703766,246.67,24455.830236579648,4.051,200000,198877.96056806194,-1122.0394319380575,0.9943898028403098
2020-02-26,1,1.0450215154997666,-404.6190954703766,223.93,24455.830236579648,3.641,200000,179650.03194006794,-20349.968059932056,0.8982501597003397
2020-02-27,1,0.9883323675239096,-404.6190954703766,227.79,24455.830236579648,3.692,200000,182459.10899064917,-17540.89100935083,0.9122955449532458
2020-02-28,2,1.2555691906052813,0.0,226.76,0.0,3.548,200000,219851.06486806678,19851.06486806678,1.099255324340334
2020-02-29,1,1.0185528237349217,-506.07951951582976,217.21,31927.25310311745,3.443,200000,219851.06486806678,19851.06486806678,1.099255324340334
2020-03-01,2,1.322556746888565,0.0,217.81,0.0,3.347,200000,223219.72887767554,23219.728877675545,1.1160986443883778
2020-03-02,0,0.7788737723033868,0.0,231.97,0.0,3.709,200000,223219.72887767554,23219.728877675545,1.1160986443883778
2020-03-03,0,0.5226870135513726,0.0,223.91,0.0,3.623,200000,223219.72887767554,23219.728877675545,1.1160986443883778
2020-03-04,0,-0.060540645773344004,0.0,224.26,0.0,3.743,200000,223219.72887767554,23219.728877675545,1.1160986443883778
2020-03-05,0,0.12745474053666137,0.0,228.38,0.0,3.756,200000,223219.72887767554,23219.728877675545,1.1160986443883778
2020-03-06,0,0.8539274746261786,0.0,244.88,0.0,3.854,200000,223219.72887767554,23219.728877675545,1.1160986443883778
2020-03-07,2,1.3056197269228103,0.0,237.23,0.0,3.618,200000,223219.72887767554,23219.728877675545,1.1160986443883778
2020-03-08,1,1.0135434458191348,-559.6443084733379,199.43,36225.2075426283,3.081,200000,223219.72887767557,23219.728877675574,1.1160986443883778
2020-03-09,2,1.5221671582897796,0.0,202.81,0.0,3.026,200000,227103.71305516,27103.713055160013,1.1355185652758
2020-03-10,1,1.0566748283975016,-565.7790559421027,200.7,37084.21179868714,3.062,200000,227103.71305516,27103.713055160013,1.1355185652758
2020-03-11,1,0.828216572678234,-565.7790559421027,194.61,37084.21179868714,2.994,200000,221136.3922021619,21136.392202161893,1.1056819610108095
2020-03-12,2,1.2331651545187998,0.0,107.82,0.0,1.615,200000,228215.00881195778,28215.008811957785,1.141075044059789
2020-03-13,2,3.01477686287758,0.0,134.06,0.0,1.804,200000,228215.00881195778,28215.008811957785,1.141075044059789
2020-03-14,0,0.8075434724229216,0.0,122.54,0.0,1.837,200000,228215.00881195778,28215.008811957785,1.141075044059789
2020-03-15,0,0.060407047724020495,0.0,123.78,0.0,1.921,200000,228215.00881195778,28215.008811957785,1.141075044059789
2020-03-16,0,0.614800974794101,0.0,111.02,0.0,1.671,200000,228215.00881195778,28215.008811957785,1.141075044059789
2020-03-17,0,0.29024532723820806,0.0,115.67,0.0,1.763,200000,228215.00881195778,28215.008811957785,1.141075044059789
2020-03-18,0,0.10687988493741661,0.0,118.11,0.0,1.811,200000,228215.00881195778,28215.008811957785,1.141075044059789
2020-03-19,0,0.3166750894937337,0.0,136.3,0.0,2.067,200000,228215.00881195778,28215.008811957785,1.141075044059789
2020-03-20,-1,-1.0824441918376255,854.8659305212684,133.48,-52705.54476026739,2.165,200000,228215.00881195778,28215.008811957785,1.141075044059789
2020-03-21,-1,-1.1292948072185727,854.8659305212684,132.66,-52705.54476026739,2.168,200000,227672.13538321116,27672.135383211164,1.138360676916056
2020-03-22,-1,-0.31932907840669933,854.8659305212684,122.32,-52705.54476026739,1.917,200000,205603.72992679413,5603.729926794127,1.0280186496339707
2020-03-23,0,-0.1792348237340085,0.0,135.92,0.0,2.111,200000,223283.03652443143,23283.03652443143,1.116415182622157
2020-03-24,0,-0.2046865239081866,0.0,138.42,0.0,2.143,200000,223283.03652443143,23283.03652443143,1.116415182622157
2020-03-25,0,0.026182073026850144,0.0,136.1,0.0,2.079,200000,223283.03652443143,23283.03652443143,1.116415182622157
2020-03-26,0,-0.6610944146586788,0.0,138.4,0.0,2.173,200000,223283.03652443143,23283.03652443143,1.116415182622157
2020-03-27,0,0.19547551067400332,0.0,131.33,0.0,1.992,200000,223283.03652443143,23283.03652443143,1.116415182622157
2020-03-28,0,0.36397459326860104,0.0,130.98,0.0,1.971,200000,223283.03652443143,23283.03652443143,1.116415182622157
2020-03-29,0,0.6810409817660912,0.0,124.5,0.0,1.85,200000,223283.03652443143,23283.03652443143,1.116415182622157
2020-03-30,0,0.704435651898501,0.0,132.06,0.0,1.957,200000,223283.03652443143,23283.03652443143,1.116415182622157
2020-03-31,0,0.8499612956702378,0.0,132.72,0.0,1.95,200000,223283.03652443143,23283.03652443143,1.116415182622157
2020-04-01,1,1.0923557886583666,-822.7689458487414,135.69,56699.602977255316,1.969,200000,223283.03652443143,23283.03652443143,1.116415182622157
2020-04-02,2,2.371860637358109,0.0,141.28,0.0,1.982,200000,227145.2200930216,27145.220093021606,1.135726100465108
2020-04-03,2,2.056525665812986,0.0,141.31,0.0,1.978,200000,227145.2200930216,27145.220093021606,1.135726100465108
2020-04-04,2,1.7191149168766924,0.0,144.1,0.0,2.022,200000,227145.2200930216,27145.220093021606,1.135726100465108
2020-04-05,0,0.9099209516378132,0.0,142.68,0.0,2.064,200000,227145.2200930216,27145.220093021606,1.135726100465108
2020-04-06,2,1.4247488002984525,0.0,171.32,0.0,2.407,200000,227145.2200930216,27145.220093021606,1.135726100465108
2020-04-07,1,1.0029883863730855,-689.8658206068809,164.63,48411.17222783921,2.346,200000,227145.22009302158,27145.220093021577,1.1357261004651078
2020-04-08,1,0.7100534222163446,-689.8658206068809,173.11,48411.17222783921,2.493,200000,240111.72456926032,40111.72456926032,1.2005586228463017
2020-04-09,0,-0.4917922030167324,0.0,169.52,0.0,2.573,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-10,0,0.26433439970064687,0.0,157.81,0.0,2.307,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-11,0,0.28682576698468587,0.0,158.33,0.0,2.306,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-12,0,0.34419958668674605,0.0,158.59,0.0,2.299,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-13,0,0.35630615354764433,0.0,156.29,0.0,2.259,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-14,0,-0.6692365575364747,0.0,158.45,0.0,2.361,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-15,0,-0.7900628852167919,0.0,152.73,0.0,2.27,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-16,2,1.2753331779736787,0.0,172.29,0.0,2.422,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-17,2,1.6448321372267052,0.0,170.69,0.0,2.367,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-18,2,2.4520917899318584,0.0,187.4,0.0,2.509,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-19,2,2.317057693002048,0.0,180.03,0.0,2.382,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-20,2,1.7692604974967194,0.0,170.2,0.0,2.271,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-21,2,1.6219277157357264,0.0,170.74,0.0,2.271,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-22,2,1.813628967953122,0.0,182.7,0.0,2.388,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-23,2,1.58697196220598,0.0,185.51,0.0,2.427,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-24,0,-0.8125231358641315,0.0,187.59,0.0,2.748,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-25,0,-0.956720374699858,0.0,194.21,0.0,2.871,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-26,0,-0.17518626243647506,0.0,197.38,0.0,2.808,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-27,0,0.006640140588948804,0.0,196.34,0.0,2.767,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-28,0,-0.20847898361099396,0.0,196.24,0.0,2.793,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-29,0,0.6669003277931804,0.0,215.36,0.0,2.929,200000,219529.32786006975,19529.327860069752,1.0976466393003488
2020-04-30,1,1.1148109135517472,-532.6313273002469,206.08,40148.011678871575,2.734,200000,219529.32786006978,19529.32786006978,1.097646639300349
2020-05-01,1,0.8972554778017426,-532.6313273002469,212.02,40148.011678871575,2.828,200000,226467.07104204717,26467.071042047173,1.1323353552102358
2020-05-02,1,0.663753923226817,-532.6313273002469,213.9,40148.011678871575,2.873,200000,229275.07846292085,29275.07846292085,1.1463753923146043
