date,statusList,zscore,LINKUSDT_position,LINKUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.8111,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,1.7366,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,1.804,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,1.8242,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,1.7957,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,1.9374,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,2.1033,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,2.1892,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,2.1886,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,2.2257,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,2.2734,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,2.2383,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,2.1901,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,2.3751,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,2.3953,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,2.4925,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,2.7006,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,2.7709,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,2.6212,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,2,1.3307778610653664,0.0,2.688,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,2,1.3662515912862125,0.0,2.6716,0.0,0.002514,200000,200000.0,0.0,1.0
2020-01-22,1,1.147871975262294,-37841.51971543177,2.6426,39761431.411530815,0.002515,200000,200000.0,0.0,1.0
2020-01-23,1,0.5215464511090545,-37841.51971543177,2.4698,39761431.411530815,0.002492,200000,192546.4724707082,-7453.527529291809,0.962732362353541
2020-01-24,1,0.7575332686102179,-37841.51971543177,2.5024,39761431.411530815,0.002449,200000,192070.36446273542,-7929.635537264578,0.9603518223136771
2020-01-25,1,0.243580503610291,-37841.51971543177,2.4468,39761431.411530815,0.002489,200000,191556.83322301865,-8443.16677698135,0.9577841661150932
2020-01-26,1,0.8075545303226498,-37841.51971543177,2.5764,39761431.411530815,0.0025,200000,196898.46992366546,-3101.530076334544,0.9844923496183273
2020-01-27,1,0.4620651373429349,-37841.51971543177,2.6055,39761431.411530815,0.002574,200000,200942.00407183781,942.004071837815,1.004710020359189
