date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,THETAUSDT_position,THETAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,0.08656,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,0.08443,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,0.08771,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,0.09394,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,0.09421,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,0.09987,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,0.09608,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,0.09873,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,0.09294,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,0.09509,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,0.09437,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,0.09589,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,0.09703,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,0.10598,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,0.10438,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,0.10368,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,0.11193,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,0.10876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,0.1126,200000,200000.0,0.0,1.0
2020-01-20,1,1.0643100578771563,-909.835319807115,109.91,909256.2284051647,0.10998,200000,200000.0,0.0,1.0
2020-01-21,1,0.9376870460344663,-909.835319807115,110.5,909256.2284051647,0.11136,200000,201791.57643388532,1791.5764338853187,1.0089578821694265
2020-01-22,1,0.5244485110621392,-909.835319807115,107.8,909256.2284051647,0.119,200000,206281.7386554216,6281.738655421592,1.031408693277108
2020-01-23,1,0.6129570284544326,-909.835319807115,102.72,909256.2284051647,0.10858,200000,192185.32533081964,-7814.674669180356,0.9609266266540982
2020-01-24,1,0.5713620325767895,-909.835319807115,100.11,909256.2284051647,0.10494,200000,186500.96247472827,-13499.037525271735,0.9325048123736414
2020-01-25,1,0.6684144801229068,-909.835319807115,101.31,909256.2284051647,0.10189,200000,184819.53336186105,-15180.466638138954,0.9240976668093053
2020-01-26,1,0.9799590356642959,-909.835319807115,111.01,909256.2284051647,0.10222,200000,193944.99051936378,-6055.009480636218,0.9697249525968189
2020-01-27,1,0.8581137851093085,-909.835319807115,112.78,909256.2284051647,0.10459,200000,197710.3362967426,-2289.6637032573926,0.9885516814837131
2020-01-28,1,0.6977300232490512,-909.835319807115,115.91,909256.2284051647,0.10936,200000,204895.2730572315,4895.273057231505,1.0244763652861575
2020-01-29,1,1.180370784705897,-909.835319807115,121.97,909256.2284051647,0.10434,200000,205844.4088286687,5844.408828668704,1.0292220441433435
2020-01-30,1,1.1111208191413076,-909.835319807115,121.9,909256.2284051647,0.10431,200000,205753.44266943005,5753.442669430049,1.0287672133471502
2020-01-31,1,0.5626606808871409,-909.835319807115,115.85,909256.2284051647,0.10638,200000,202131.09937739567,2131.0993773956725,1.0106554968869783
2020-02-01,1,0.6265376108445391,-909.835319807115,116.7,909256.2284051647,0.10527,200000,201895.184985702,1895.1849857020134,1.0094759249285101
2020-02-02,1,0.361462754945497,-909.835319807115,114.29,909256.2284051647,0.10545,200000,199866.1479860798,-133.852013920201,0.999330739930399
2020-02-03,0,0.10736197111819092,0.0,115.34,0.0,0.10829,200000,206477.04881255736,6477.048812557361,1.0323852440627868
2020-02-04,-2,-1.3623920176208153,0.0,110.87,0.0,0.122,200000,206477.04881255736,6477.048812557361,1.0323852440627868
2020-02-05,0,-0.2020961560550756,0.0,122.98,0.0,0.122,200000,206477.04881255736,6477.048812557361,1.0323852440627868
2020-02-06,0,-0.6577559599576042,0.0,120.32,0.0,0.12425,200000,206477.04881255736,6477.048812557361,1.0323852440627868
2020-02-07,0,-0.8689972849650346,0.0,118.68,0.0,0.1245,200000,206477.04881255736,6477.048812557361,1.0323852440627868
2020-02-08,0,0.6813394666616138,0.0,126.29,0.0,0.1164,200000,206477.04881255736,6477.048812557361,1.0323852440627868
2020-02-09,0,0.160727565729217,0.0,128.51,0.0,0.12284,200000,206477.04881255736,6477.048812557361,1.0323852440627868
2020-02-10,0,-0.7094334856057463,0.0,127.58,0.0,0.13064,200000,206477.04881255736,6477.048812557361,1.0323852440627868
2020-02-11,0,-0.40168746915790765,0.0,129.2,0.0,0.12814,200000,206477.04881255736,6477.048812557361,1.0323852440627868
2020-02-12,-1,-1.0089515258304906,773.1485389521357,133.53,-746644.4232753213,0.13827,200000,206477.04881255736,6477.048812557361,1.0323852440627868
2020-02-13,-2,-2.8415184253198844,0.0,131.18,0.0,0.17192,200000,233418.53272230944,33418.532722309435,1.1670926636115473
2020-02-14,-2,-1.749620942154134,0.0,133.34,0.0,0.15827,200000,233418.53272230944,33418.532722309435,1.1670926636115473
2020-02-15,-2,-1.6918749437736382,0.0,120.73,0.0,0.14694,200000,233418.53272230944,33418.532722309435,1.1670926636115473
2020-02-16,-2,-1.4819315141333094,0.0,110.73,0.0,0.13454,200000,233418.53272230944,33418.532722309435,1.1670926636115473
2020-02-17,-2,-1.2306066051074878,0.0,114.66,0.0,0.13716,200000,233418.53272230944,33418.532722309435,1.1670926636115473
2020-02-18,-2,-1.26563099405981,0.0,115.56,0.0,0.14134,200000,233418.53272230944,33418.532722309435,1.1670926636115473
2020-02-19,-1,-1.0899542646021314,1112.8946921059855,104.87,-921582.9624222578,0.12664,200000,233418.5327223094,33418.53272230941,1.167092663611547
2020-02-20,-2,-1.2824470970503214,0.0,104.82,0.0,0.13247,200000,238847.00612783653,38847.00612783653,1.1942350306391827
2020-02-21,0,-0.7639704892722557,0.0,107.39,0.0,0.12776,200000,238847.00612783653,38847.00612783653,1.1942350306391827
2020-02-22,0,-0.9814727367464168,0.0,103.79,0.0,0.12846,200000,238847.00612783653,38847.00612783653,1.1942350306391827
2020-02-23,-2,-1.294461220111895,0.0,108.09,0.0,0.14149,200000,238847.00612783653,38847.00612783653,1.1942350306391827
2020-02-24,-2,-1.7052160430567629,0.0,103.41,0.0,0.14836,200000,238847.00612783653,38847.00612783653,1.1942350306391827
2020-02-25,-2,-1.4300886748690078,0.0,95.52,0.0,0.13481,200000,238847.00612783653,38847.00612783653,1.1942350306391827
