date,statusList,zscore,NEOUSDT_position,NEOUSDT_price,ZILUSDT_position,ZILUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,8.85,0.0,0.00454,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,8.462,0.0,0.00438,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,8.888,0.0,0.00454,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,9.077,0.0,0.00461,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,9.02,0.0,0.00463,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,9.757,0.0,0.00489,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,9.801,0.0,0.00481,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,9.448,0.0,0.00469,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,9.387,0.0,0.00459,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,9.862,0.0,0.00469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,9.696,0.0,0.00465,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,10.271,0.0,0.00478,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,10.0,0.0,0.00467,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,11.204,0.0,0.00507,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,11.412,0.0,0.00523,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,11.271,0.0,0.00514,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,11.848,0.0,0.00544,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,11.876,0.0,0.00528,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,11.245,0.0,0.00511,200000,200000.0,0.0,1.0
2020-01-20,0,0.8893949015683014,0.0,11.114,0.0,0.0051,200000,200000.0,0.0,1.0
2020-01-21,0,0.9237342931256401,0.0,11.226,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-22,0,0.5992142597037589,0.0,11.247,0.0,0.00519,200000,200000.0,0.0,1.0
2020-01-23,0,0.25164862469242466,0.0,10.621,0.0,0.00496,200000,200000.0,0.0,1.0
2020-01-24,0,0.009584730721231964,0.0,10.511,0.0,0.00494,200000,200000.0,0.0,1.0
2020-01-25,0,-0.5577121309373,0.0,10.35,0.0,0.00494,200000,200000.0,0.0,1.0
2020-01-26,0,-0.49852779719146234,0.0,10.797,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-27,0,0.3822511347188159,0.0,11.082,0.0,0.00511,200000,200000.0,0.0,1.0
2020-01-28,0,-0.27351970627585376,0.0,11.36,0.0,0.00531,200000,200000.0,0.0,1.0
2020-01-29,-2,-2.4094086931233165,0.0,11.201,0.0,0.00552,200000,200000.0,0.0,1.0
2020-01-30,0,-0.6862683431759635,0.0,11.735,0.0,0.00554,200000,200000.0,0.0,1.0
2020-01-31,-2,-3.0822385527539393,0.0,11.453,0.0,0.00593,200000,200000.0,0.0,1.0
2020-02-01,-2,-2.629953633256271,0.0,11.422,0.0,0.00601,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.8752245036115203,0.0,12.016,0.0,0.0062,200000,200000.0,0.0,1.0
2020-02-03,-2,-1.8928847747483202,0.0,11.88,0.0,0.00624,200000,200000.0,0.0,1.0
2020-02-04,-2,-2.3794432876409695,0.0,12.177,0.0,0.00683,200000,200000.0,0.0,1.0
2020-02-05,-2,-1.59161179495182,0.0,12.762,0.0,0.00688,200000,200000.0,0.0,1.0
2020-02-06,-2,-2.0678511070633077,0.0,12.914,0.0,0.00745,200000,200000.0,0.0,1.0
2020-02-07,-2,-2.555424227008128,0.0,12.792,0.0,0.00825,200000,200000.0,0.0,1.0
2020-02-08,-2,-1.5767356707681628,0.0,12.688,0.0,0.00751,200000,200000.0,0.0,1.0
2020-02-09,0,-0.9311872075452778,0.0,14.201,0.0,0.00792,200000,200000.0,0.0,1.0
2020-02-10,0,-0.8454264637731977,0.0,13.551,0.0,0.00756,200000,200000.0,0.0,1.0
2020-02-11,-2,-1.2930247862782218,0.0,13.791,0.0,0.00819,200000,200000.0,0.0,1.0
2020-02-12,0,-0.6555937260695591,0.0,14.822,0.0,0.00829,200000,200000.0,0.0,1.0
2020-02-13,0,-0.14021673642500118,0.0,15.141,0.0,0.0081,200000,200000.0,0.0,1.0
2020-02-14,0,-0.14772730902787837,0.0,16.676,0.0,0.00898,200000,200000.0,0.0,1.0
2020-02-15,0,-0.012984135595307922,0.0,15.127,0.0,0.0081,200000,200000.0,0.0,1.0
2020-02-16,0,0.23953074938539765,0.0,14.625,0.0,0.00774,200000,200000.0,0.0,1.0
2020-02-17,2,1.2976272701225495,0.0,15.027,0.0,0.00744,200000,200000.0,0.0,1.0
2020-02-18,1,1.0524225965509995,-6451.612903225807,15.5,12787723.78516624,0.00782,200000,200000.0,0.0,1.0
2020-02-19,2,1.5814286494840963,0.0,14.043,0.0,0.00691,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-02-20,0,0.767606609088496,0.0,14.03,0.0,0.00725,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-02-21,0,0.44891819015027123,0.0,14.017,0.0,0.00739,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-02-22,0,0.17015410705889292,0.0,13.72,0.0,0.00738,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-02-23,0,0.01334498850772348,0.0,14.294,0.0,0.00778,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-02-24,0,0.14065678102041398,0.0,13.361,0.0,0.0072,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-02-25,0,0.7165777421562183,0.0,12.393,0.0,0.00643,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-02-26,0,0.6718774334963782,0.0,11.007,0.0,0.0057,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-02-27,0,0.5076143451683666,0.0,11.51,0.0,0.006,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-02-28,0,0.15944841717141686,0.0,11.311,0.0,0.00597,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-02-29,0,-0.013171418852154858,0.0,11.103,0.0,0.00589,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-01,0,0.5208064524141965,0.0,11.31,0.0,0.00585,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-02,0,0.6694079799684666,0.0,12.088,0.0,0.00621,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-03,0,0.06958277536864967,0.0,11.556,0.0,0.00603,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-04,0,0.21861735866325782,0.0,11.755,0.0,0.0061,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-05,0,0.3018134944834365,0.0,12.073,0.0,0.00624,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-06,-2,-2.4649327889490813,0.0,12.377,0.0,0.00701,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-07,-2,-2.7884263224552694,0.0,11.589,0.0,0.00689,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-08,-2,-1.649233364455737,0.0,10.05,0.0,0.00572,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-09,-2,-2.189981849204104,0.0,9.902,0.0,0.00591,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-10,-2,-2.048165966605539,0.0,9.87,0.0,0.00594,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-11,-2,-1.9862917220977219,0.0,9.43,0.0,0.00578,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-12,0,-0.19628805631335514,0.0,5.706,0.0,0.00314,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-13,0,-0.7625013066566899,0.0,6.216,0.0,0.00355,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-14,-2,-1.422556788602873,0.0,5.752,0.0,0.00346,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-15,-2,-1.5436507050850192,0.0,5.979,0.0,0.00368,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-16,-2,-1.442937313638269,0.0,5.394,0.0,0.00334,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-17,-2,-1.4366099648511104,0.0,5.626,0.0,0.00353,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-18,-1,-1.0695370786730571,17659.520489390612,5.726,-28726822.250639386,0.00352,200000,202236.82864450128,2236.828644501278,1.0111841432225064
2020-03-19,-1,-1.1907006946668757,17659.520489390612,6.472,-28726822.250639386,0.00406,200000,230923.31494493198,30923.314944931975,1.15461657472466
2020-03-20,-1,-1.0346590233240862,17659.520489390612,6.273,-28726822.250639386,0.00392,200000,223387.3152524537,23387.3152524537,1.1169365762622685
2020-03-21,-1,-1.0137565978109742,17659.520489390612,6.236,-28726822.250639386,0.00392,200000,222733.91299434623,22733.912994346232,1.1136695649717312
2020-03-22,-1,-0.4153366795398701,17659.520489390612,5.947,-28726822.250639386,0.00359,200000,208150.46023020137,8150.460230201366,1.040752301151007
2020-03-23,0,0.2698503726213585,0.0,6.683,0.0,0.00388,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
2020-03-24,0,0.7732837205992957,0.0,6.897,0.0,0.00393,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
2020-03-25,2,1.4942016192218,0.0,6.93,0.0,0.00388,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
2020-03-26,2,1.4302706897712305,0.0,7.03,0.0,0.00394,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
2020-03-27,0,0.9869385944753435,0.0,6.503,0.0,0.0037,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
2020-03-28,0,0.936757983223567,0.0,6.628,0.0,0.00378,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
2020-03-29,0,0.8307256824599377,0.0,6.179,0.0,0.00353,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
2020-03-30,0,0.5535566104695564,0.0,6.568,0.0,0.00379,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
2020-03-31,0,0.968100055833937,0.0,6.772,0.0,0.00382,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
2020-04-01,0,0.8848823412992578,0.0,6.812,0.0,0.00387,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
2020-04-02,0,0.8911605083981694,0.0,6.976,0.0,0.00396,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
2020-04-03,0,0.9997289415355486,0.0,7.02,0.0,0.00395,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
2020-04-04,0,0.7177686811479427,0.0,7.188,0.0,0.00408,200000,195678.3235463847,-4321.676453615306,0.9783916177319235
