date,statusList,zscore,MATICUSDT_position,MATICUSDT_price,ONEUSDT_position,ONEUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01496,0.0,0.00466,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01467,0.0,0.0047,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01512,0.0,0.00478,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01484,0.0,0.00475,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01483,0.0,0.00466,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01554,0.0,0.00476,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01509,0.0,0.00455,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01499,0.0,0.0046,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01459,0.0,0.00458,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01486,0.0,0.00463,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.01479,0.0,0.00462,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01496,0.0,0.00464,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01548,0.0,0.00477,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01564,0.0,0.0049,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01639,0.0,0.00504,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01614,0.0,0.00493,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0187,0.0,0.00518,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01748,0.0,0.00506,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01643,0.0,0.0048,200000,200000.0,0.0,1.0
2020-01-20,0,0.980951189329122,0.0,0.01685,0.0,0.00498,200000,200000.0,0.0,1.0
2020-01-21,2,1.5247815827551694,0.0,0.01713,0.0,0.00493,200000,200000.0,0.0,1.0
2020-01-22,2,1.4876469314757785,0.0,0.01708,0.0,0.00489,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.5759517214058487,0.0,0.01605,0.0,0.00522,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.2485776332327982,0.0,0.01622,0.0,0.0052,200000,200000.0,0.0,1.0
2020-01-25,-1,-1.059587990623246,6242197.253433209,0.01602,-19607843.1372549,0.0051,200000,200000.0,0.0,1.0
2020-01-26,-1,-0.3577787928600011,6242197.253433209,0.01645,-19607843.1372549,0.00508,200000,202291.9879562312,2291.987956231198,1.011459939781156
2020-01-27,0,0.2679669297289589,0.0,0.0169,0.0,0.00508,200000,194114.7095542337,-5885.290445766295,0.9705735477711686
2020-01-28,0,0.5146557101184688,0.0,0.01714,0.0,0.00509,200000,194114.7095542337,-5885.290445766295,0.9705735477711686
2020-01-29,0,0.679701886330558,0.0,0.01704,0.0,0.00501,200000,194114.7095542337,-5885.290445766295,0.9705735477711686
