date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,LINKUSDT_position,LINKUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,1.8111,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,1.7366,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,1.804,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,1.8242,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,1.7957,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,1.9374,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,2.1033,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,2.1892,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,2.1886,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,2.2257,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,2.2734,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,2.2383,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,2.1901,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,2.3751,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,2.3953,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,2.4925,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,2.7006,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,2.7709,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,2.6212,200000,200000.0,0.0,1.0
2020-01-20,0,0.9000447180973761,0.0,109.91,0.0,2.688,200000,200000.0,0.0,1.0
2020-01-21,0,0.8583637242418167,0.0,110.5,0.0,2.6716,200000,200000.0,0.0,1.0
2020-01-22,0,0.7185099670343177,0.0,107.8,0.0,2.6426,200000,200000.0,0.0,1.0
2020-01-23,0,0.722968896142003,0.0,102.72,0.0,2.4698,200000,200000.0,0.0,1.0
2020-01-24,0,0.48344397280084145,0.0,100.11,0.0,2.5024,200000,200000.0,0.0,1.0
2020-01-25,0,0.5720168831105168,0.0,101.31,0.0,2.4468,200000,200000.0,0.0,1.0
2020-01-26,0,0.6856970370475529,0.0,111.01,0.0,2.5764,200000,200000.0,0.0,1.0
2020-01-27,0,0.6312846448198194,0.0,112.78,0.0,2.6055,200000,200000.0,0.0,1.0
2020-01-28,0,0.5979243846331227,0.0,115.91,0.0,2.6558,200000,200000.0,0.0,1.0
