date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,ZECUSDT_position,ZECUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,28.07,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,27.02,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,28.41,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,29.91,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,30.81,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,32.86,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,32.24,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,30.88,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,30.83,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,33.69,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,34.88,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,35.52,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,38.32,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,43.83,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,54.97,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,50.8,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,61.54,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,51.16,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,51.56,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.5599147679814924,0.0,0.1043,0.0,53.68,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.3176545722441606,0.0,0.1062,0.0,53.26,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.1117104238787971,934579.4392523365,0.107,-1915.3418885271021,52.21,200000,200000.0,0.0,1.0
2020-01-23,-1,-0.7753799768004203,934579.4392523365,0.1087,-1915.3418885271021,49.6,200000,196589.74271767325,-3410.2572823267546,0.9829487135883662
2020-01-24,-1,-0.8063023929087169,934579.4392523365,0.104,-1915.3418885271021,48.82,200000,190703.25268013612,-9296.747319863876,0.9535162634006806
2020-01-25,-1,-0.7292709577613026,934579.4392523365,0.1037,-1915.3418885271021,48.72,200000,190231.34465950768,-9768.655340492318,0.9511567232975384
2020-01-26,-1,-0.9652908201742915,934579.4392523365,0.1054,-1915.3418885271021,53.65,200000,201262.7652166753,1262.765216675296,1.0063138260833764
2020-01-27,-1,-0.9687010323379909,934579.4392523365,0.1058,-1915.3418885271021,55.18,200000,204567.0700818227,4567.070081822691,1.0228353504091134
2020-01-28,-1,-0.9240886179675785,934579.4392523365,0.1083,-1915.3418885271021,56.74,200000,209891.4520260558,9891.452026055806,1.049457260130279
2020-01-29,-1,-0.9572032178927108,934579.4392523365,0.1157,-1915.3418885271021,61.74,200000,226384.04931915863,26384.04931915863,1.1319202465957932
2020-01-30,-1,-0.8848838976154298,934579.4392523365,0.1244,-1915.3418885271021,66.3,200000,243248.84945233754,43248.84945233754,1.2162442472616877
2020-01-31,0,0.031578037916062146,0.0,0.1429,0.0,66.51,200000,193837.9871367787,-6162.012863221287,0.9691899356838936
2020-02-01,0,0.13171569585331927,0.0,0.1404,0.0,66.03,200000,193837.9871367787,-6162.012863221287,0.9691899356838936
2020-02-02,0,0.40446535424109853,0.0,0.1419,0.0,66.36,200000,193837.9871367787,-6162.012863221287,0.9691899356838936
2020-02-03,2,1.2140314101982796,0.0,0.144,0.0,65.52,200000,193837.9871367787,-6162.012863221287,0.9691899356838936
2020-02-04,2,2.209028668009297,0.0,0.1529,0.0,64.34,200000,193837.9871367787,-6162.012863221287,0.9691899356838936
2020-02-05,1,1.1099125264513254,-611862.3331337711,0.1584,1361.4130294759004,71.19,200000,193837.98713677868,-6162.012863221316,0.9691899356838934
2020-02-06,2,1.4358360472023886,0.0,0.1609,0.0,70.14,200000,196797.12665056277,-3202.873349437228,0.9839856332528139
2020-02-07,2,1.7186174902722737,0.0,0.1614,0.0,68.38,200000,196797.12665056277,-3202.873349437228,0.9839856332528139
2020-02-08,0,0.8358383857825157,0.0,0.1565,0.0,70.02,200000,196797.12665056277,-3202.873349437228,0.9839856332528139
2020-02-09,0,0.9726754747858322,0.0,0.1621,0.0,71.33,200000,196797.12665056277,-3202.873349437228,0.9839856332528139
2020-02-10,0,0.6394488396535158,0.0,0.1557,0.0,69.77,200000,196797.12665056277,-3202.873349437228,0.9839856332528139
2020-02-11,0,0.4559890583733021,0.0,0.1607,0.0,72.68,200000,196797.12665056277,-3202.873349437228,0.9839856332528139
2020-02-12,2,1.8535392082370126,0.0,0.1808,0.0,73.12,200000,196797.12665056277,-3202.873349437228,0.9839856332528139
2020-02-13,2,2.473560267818047,0.0,0.1948,0.0,72.01,200000,196797.12665056277,-3202.873349437228,0.9839856332528139
2020-02-14,2,2.607351887603347,0.0,0.2128,0.0,72.92,200000,196797.12665056277,-3202.873349437228,0.9839856332528139
2020-02-15,2,2.902372657021952,0.0,0.2142,0.0,64.46,200000,196797.12665056277,-3202.873349437228,0.9839856332528139
2020-02-16,2,2.069472672306215,0.0,0.1902,0.0,60.0,200000,196797.12665056277,-3202.873349437228,0.9839856332528139
2020-02-17,1,1.0800591731679066,-542738.9041659206,0.1813,1532.6879022629498,64.2,200000,196797.12665056277,-3202.873349437228,0.9839856332528139
2020-02-18,1,0.8516664646583714,-542738.9041659206,0.182,1532.6879022629498,65.74,200000,199537.38325296383,-462.6167470361688,0.9976869162648192
2020-02-19,1,0.5725165917637285,-542738.9041659206,0.1671,1532.6879022629498,62.1,200000,185871.5896166545,-14128.410383345501,0.9293579480832725
2020-02-20,1,0.4723164997681967,-542738.9041659206,0.1628,1532.6879022629498,60.79,200000,181529.9911767766,-18470.008823223412,0.907649955883883
2020-02-21,1,0.5757144875240637,-542738.9041659206,0.1687,1532.6879022629498,61.56,200000,185912.320396098,-14087.679603902012,0.92956160198049
2020-02-22,1,0.2050541519172979,-542738.9041659206,0.16,1532.6879022629498,60.73,200000,179918.36097097624,-20081.63902902376,0.8995918048548812
2020-02-23,0,0.19913864774918416,0.0,0.168,0.0,63.32,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-02-24,0,-0.10094403937773558,0.0,0.1558,0.0,60.7,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-02-25,0,-0.4134584590363179,0.0,0.1418,0.0,57.06,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-02-26,0,-0.8556079197806075,0.0,0.1209,0.0,51.33,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-02-27,0,-0.5968280699058592,0.0,0.1292,0.0,52.96,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-02-28,0,-0.30850367675701357,0.0,0.1294,0.0,50.83,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-02-29,0,-0.3181419075346783,0.0,0.1254,0.0,48.96,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-01,0,-0.22805992555616214,0.0,0.1281,0.0,49.1,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-02,0,-0.4521826170814107,0.0,0.135,0.0,52.33,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-03,0,-0.41104668423399776,0.0,0.1319,0.0,50.78,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-04,0,-0.34680421994740596,0.0,0.1308,0.0,50.17,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-05,0,-0.29941895036571686,0.0,0.135,0.0,51.84,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-06,0,-0.542289913401707,0.0,0.1355,0.0,53.3,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-07,0,-0.6412593402527222,0.0,0.128,0.0,50.59,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-08,0,0.04984965335765298,0.0,0.1111,0.0,42.83,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-09,2,1.392770781774919,0.0,0.1145,0.0,42.18,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-10,2,1.8707723167411898,0.0,0.1149,0.0,41.4,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-11,2,1.4958079196914893,0.0,0.1106,0.0,40.24,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-12,-2,-2.9133042404154645,0.0,0.0554,0.0,25.45,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-13,-2,-1.964588250362654,0.0,0.0616,0.0,27.34,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-14,0,0.07561085079370895,0.0,0.0637,0.0,24.95,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-15,2,2.7481664104647034,0.0,0.0796,0.0,25.68,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-16,0,0.1996872868606377,0.0,0.0645,0.0,24.68,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-17,0,0.42326952571949855,0.0,0.0669,0.0,25.06,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
2020-03-18,-2,-1.7190848779948928,0.0,0.0665,0.0,29.73,200000,190927.46457914746,-9072.535420852539,0.9546373228957373
