date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,ONGUSDT_position,ONGUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,0.0956,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.095,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.0995,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.0981,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.0998,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.1024,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.0997,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.1016,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.0991,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.0996,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.1039,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.105,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.1027,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.1132,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.1149,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.1116,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.1156,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.1128,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.1069,200000,200000.0,0.0,1.0
2020-01-20,0,-0.29270988058856834,0.0,0.0006756,0.0,0.1043,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.0724241113592006,150353330.32626674,0.0006651,-941619.5856873823,0.1062,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.0799662859566226,150353330.32626674,0.0006688,-941619.5856873823,0.107,200000,201309.6029907571,1309.602990757092,1.0065480149537855
2020-01-23,-2,-2.2368591786063154,0.0,0.0006333,0.0,0.1087,200000,207135.28486859374,7135.284868593735,1.0356764243429686
2020-01-24,-1,-1.1849851697323,163201453.56806943,0.0006346,-995842.715714393,0.104,200000,207135.28486859374,7135.284868593735,1.0356764243429686
2020-01-25,-2,-1.4131973072234705,0.0,0.000621,0.0,0.1037,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-01-26,-1,-1.194634035631059,164688885.948011,0.0006347,-991727.0959317134,0.1054,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-01-27,-1,-0.6180713577964303,164688885.948011,0.0006521,-991727.0959317134,0.1058,200000,212318.34927627325,12318.34927627325,1.0615917463813662
2020-01-28,-1,-1.1802102798001728,164688885.948011,0.000648,-991727.0959317134,0.1083,200000,214122.4425837157,14122.442583715689,1.0706122129185784
2020-01-29,-2,-2.1504976756018617,0.0,0.0006531,0.0,0.1157,200000,216240.58540905843,16240.585409058433,1.081202927045292
2020-01-30,-2,-3.079402271422087,0.0,0.000638,0.0,0.1244,200000,216240.58540905843,16240.585409058433,1.081202927045292
2020-01-31,-2,-3.2376898972561166,0.0,0.0006329,0.0,0.1429,200000,216240.58540905843,16240.585409058433,1.081202927045292
2020-02-01,-2,-2.327046017614782,0.0,0.0006448,0.0,0.1404,200000,216240.58540905843,16240.585409058433,1.081202927045292
2020-02-02,-2,-1.8005705900725952,0.0,0.0006719,0.0,0.1419,200000,216240.58540905843,16240.585409058433,1.081202927045292
2020-02-03,-2,-1.7419142532405916,0.0,0.0006619,0.0,0.144,200000,216240.58540905843,16240.585409058433,1.081202927045292
