date,statusList,zscore,ATOMUSDT_position,ATOMUSDT_price,CELRUSDT_position,CELRUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.38,0.0,0.00362,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.096,0.0,0.0034,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.237,0.0,0.00355,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.25,0.0,0.00355,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.2,0.0,0.00349,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,4.111,0.0,0.00356,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.075,0.0,0.00347,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,3.995,0.0,0.00339,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,4.245,0.0,0.00332,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,4.27,0.0,0.00327,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,4.264,0.0,0.00333,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,4.253,0.0,0.00346,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,4.245,0.0,0.00352,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,4.53,0.0,0.00344,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,4.573,0.0,0.00359,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,5.097,0.0,0.00351,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,5.015,0.0,0.00366,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,4.625,0.0,0.00367,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,4.516,0.0,0.00337,200000,200000.0,0.0,1.0
2020-01-20,2,1.4217478638299839,0.0,4.505,0.0,0.00328,200000,200000.0,0.0,1.0
2020-01-21,2,1.64029006242899,0.0,4.64,0.0,0.00329,200000,200000.0,0.0,1.0
2020-01-22,2,1.4604507308403125,0.0,4.657,0.0,0.0033,200000,200000.0,0.0,1.0
2020-01-23,0,0.9801908216861169,0.0,4.463,0.0,0.00324,200000,200000.0,0.0,1.0
2020-01-24,1,1.0083899789259076,-22281.63992869875,4.488,30959752.321981426,0.00323,200000,200000.0,0.0,1.0
2020-01-25,0,-0.06091981357676223,0.0,4.39,0.0,0.00338,200000,193172.4364386903,-6827.563561309711,0.9658621821934514
2020-01-26,0,0.24941491965232168,0.0,4.478,0.0,0.00336,200000,193172.4364386903,-6827.563561309711,0.9658621821934514
2020-01-27,0,0.570957129627075,0.0,4.515,0.0,0.00331,200000,193172.4364386903,-6827.563561309711,0.9658621821934514
2020-01-28,0,0.5884222766358567,0.0,4.577,0.0,0.00334,200000,193172.4364386903,-6827.563561309711,0.9658621821934514
2020-01-29,0,0.5335847826401242,0.0,4.401,0.0,0.00321,200000,193172.4364386903,-6827.563561309711,0.9658621821934514
2020-01-30,0,0.21438783756671767,0.0,4.41,0.0,0.00326,200000,193172.4364386903,-6827.563561309711,0.9658621821934514
2020-01-31,0,0.038488281400424325,0.0,4.397,0.0,0.00327,200000,193172.4364386903,-6827.563561309711,0.9658621821934514
2020-02-01,0,-0.3764313755856691,0.0,4.388,0.0,0.00331,200000,193172.4364386903,-6827.563561309711,0.9658621821934514
2020-02-02,-1,-1.1780442365746522,21936.4565567443,4.403,-28407711.240983866,0.0034,200000,193172.4364386903,-6827.563561309711,0.9658621821934514
2020-02-03,-2,-2.622415677724,0.0,4.263,0.0,0.00359,200000,201641.0054924214,1641.005492421391,1.008205027462107
2020-02-04,-2,-2.737475279441196,0.0,4.22,0.0,0.00373,200000,201641.0054924214,1641.005492421391,1.008205027462107
2020-02-05,-2,-1.7482060310864478,0.0,4.33,0.0,0.00364,200000,201641.0054924214,1641.005492421391,1.008205027462107
2020-02-06,-2,-2.1880536496915535,0.0,4.589,0.0,0.00411,200000,201641.0054924214,1641.005492421391,1.008205027462107
2020-02-07,-2,-1.6197216035269888,0.0,4.825,0.0,0.00419,200000,201641.0054924214,1641.005492421391,1.008205027462107
2020-02-08,-2,-1.7441196611284258,0.0,4.629,0.0,0.00416,200000,201641.0054924214,1641.005492421391,1.008205027462107
2020-02-09,-2,-1.444479260495779,0.0,4.757,0.0,0.00423,200000,201641.0054924214,1641.005492421391,1.008205027462107
2020-02-10,-2,-1.8445100099939984,0.0,4.773,0.0,0.00455,200000,201641.0054924214,1641.005492421391,1.008205027462107
2020-02-11,-1,-1.1642477594084018,19749.363907191124,5.105,-22013210.20659622,0.00458,200000,201641.0054924214,1641.005492421391,1.008205027462107
2020-02-12,-2,-1.3289760472842307,0.0,5.109,0.0,0.00474,200000,205084.12166984804,5084.121669848042,1.0254206083492403
2020-02-13,-2,-1.8149869933946539,0.0,4.906,0.0,0.00496,200000,205084.12166984804,5084.121669848042,1.0254206083492403
2020-02-14,-2,-1.981200223029509,0.0,5.111,0.0,0.00555,200000,205084.12166984804,5084.121669848042,1.0254206083492403
2020-02-15,-2,-1.4933815338357992,0.0,4.608,0.0,0.00479,200000,205084.12166984804,5084.121669848042,1.0254206083492403
2020-02-16,0,-0.9832932418597754,0.0,4.382,0.0,0.00429,200000,205084.12166984804,5084.121669848042,1.0254206083492403
2020-02-17,0,-0.8965160575341148,0.0,4.27,0.0,0.00418,200000,205084.12166984804,5084.121669848042,1.0254206083492403
