date,statusList,zscore,MATICUSDT_position,MATICUSDT_price,BNBUSDT_position,BNBUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01496,0.0,13.7184,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01467,0.0,13.0105,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01512,0.0,13.6474,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01484,0.0,13.8092,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01483,0.0,14.0532,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01554,0.0,14.9471,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01509,0.0,15.0226,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01499,0.0,14.5334,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01459,0.0,14.3978,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01486,0.0,15.07,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.01479,0.0,14.9177,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01496,0.0,15.3366,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01548,0.0,15.1736,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01564,0.0,16.6371,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01639,0.0,17.6655,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01614,0.0,17.0333,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0187,0.0,18.0724,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01748,0.0,17.8088,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01643,0.0,17.388,200000,200000.0,0.0,1.0
2020-01-20,0,-0.7118804760307557,0.0,0.01685,0.0,17.3235,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.0807355614075584,5837711.617046118,0.01713,-5519.799520881402,18.1166,200000,200000.0,0.0,1.0
2020-01-22,-1,-0.8127688489414924,5837711.617046118,0.01708,-5519.799520881402,17.8344,200000,198150.426994355,-1849.573005645012,0.990752134971775
2020-01-23,-1,-1.112614468211795,5837711.617046118,0.01605,-5519.799520881402,17.0524,200000,187821.1008034682,-12178.899196531798,0.939105504017341
2020-01-24,-1,-0.8999794974777531,5837711.617046118,0.01622,-5519.799520881402,17.1148,200000,189157.94726846903,-10842.052731530974,0.9457897363423451
2020-01-25,-1,-0.9037082361569384,5837711.617046118,0.01602,-5519.799520881402,16.9555,200000,187111.1008813834,-12888.899118616595,0.935555504406917
2020-01-26,-1,-0.9574266285767061,5837711.617046118,0.01645,-5519.799520881402,17.499,200000,192621.32791631226,-7378.672083687736,0.9631066395815613
2020-01-27,-1,-0.41083809713331315,5837711.617046118,0.0169,-5519.799520881402,17.67,200000,196192.18386205376,-3807.81613794624,0.9809609193102689
2020-01-28,-1,-0.5706444499149498,5837711.617046118,0.01714,-5519.799520881402,18.0662,200000,199780.17922031804,-219.82077968196245,0.9989008961015902
2020-01-29,-1,-0.4115758389267203,5837711.617046118,0.01704,-5519.799520881402,17.9134,200000,198352.98269182275,-1647.0173081772518,0.9917649134591138
2020-01-30,0,1.321767060453633,0.0,0.01859,0.0,18.5555,200000,193899.5810488275,-6100.418951172498,0.9694979052441375
2020-01-31,0,0.6869991275259371,0.0,0.01795,0.0,18.2644,200000,193899.5810488275,-6100.418951172498,0.9694979052441375
2020-02-01,2,1.2253887902768377,0.0,0.01829,0.0,18.2752,200000,193899.5810488275,-6100.418951172498,0.9694979052441375
2020-02-02,2,2.172502000829971,0.0,0.01903,0.0,18.4333,200000,193899.5810488275,-6100.418951172498,0.9694979052441375
2020-02-03,2,3.634599632250575,0.0,0.02199,0.0,18.46,200000,193899.5810488275,-6100.418951172498,0.9694979052441375
2020-02-04,2,2.377643044616948,0.0,0.02098,0.0,18.1778,200000,193899.5810488275,-6100.418951172498,0.9694979052441375
2020-02-05,2,1.6282870998354841,0.0,0.02155,0.0,19.262,200000,193899.5810488275,-6100.418951172498,0.9694979052441375
2020-02-06,2,2.110965234777294,0.0,0.02449,0.0,20.6675,200000,193899.5810488275,-6100.418951172498,0.9694979052441375
2020-02-07,0,0.4069638540185329,0.0,0.023,0.0,22.0555,200000,193899.5810488275,-6100.418951172498,0.9694979052441375
2020-02-08,0,-0.4156969480478773,0.0,0.02123,0.0,21.7888,200000,193899.5810488275,-6100.418951172498,0.9694979052441375
2020-02-09,-1,-1.195227521110836,4412826.150405724,0.02197,-3976.6115883680786,24.38,200000,193899.5810488275,-6100.418951172498,0.9694979052441375
2020-02-10,-2,-1.5406474999756565,0.0,0.02159,0.0,25.1465,200000,198624.5277684658,-1375.4722315341933,0.993122638842329
2020-02-11,-1,-1.119702576077938,4336780.082280912,0.0229,-3864.846841149617,25.6963,200000,198624.5277684658,-1375.4722315341933,0.993122638842329
2020-02-12,-2,-1.3200472211729324,0.0,0.0228,0.0,26.4243,200000,201871.81427705078,1871.8142770507839,1.0093590713852538
2020-02-13,-1,-1.1083778630829615,4520192.885737814,0.02233,-3964.8167028123057,25.4579,200000,201871.81427705078,1871.8142770507839,1.0093590713852538
2020-02-14,-1,-1.0016821739158595,4520192.885737814,0.02326,-3964.8167028123057,26.3547,200000,209631.24127986902,9631.24127986902,1.048156206399345
2020-02-15,-1,-1.1289029193428044,4520192.885737814,0.0209,-3964.8167028123057,24.2576,200000,190648.9689620601,-9351.031037939887,0.9532448448103006
2020-02-16,-1,-1.0467747806626793,4520192.885737814,0.02011,-3964.8167028123057,23.3193,200000,183357.82907007844,-16642.170929921558,0.9167891453503922
2020-02-17,-1,-1.0286178501111987,4520192.885737814,0.02009,-3964.8167028123057,23.4555,200000,183807.4332472867,-16192.56675271329,0.9190371662364336
2020-02-18,-1,-0.675506514005696,4520192.885737814,0.02151,-3964.8167028123057,24.0821,200000,192710.4612910166,-7289.538708983397,0.963552306455083
2020-02-19,-1,-0.6307065433209462,4520192.885737814,0.01996,-3964.8167028123057,22.3709,200000,178919.56797627057,-21080.43202372943,0.8945978398813529
2020-02-20,-1,-0.2491488561734538,4520192.885737814,0.02071,-3964.8167028123057,22.1626,200000,181483.84132137813,-18516.15867862187,0.9074192066068907
2020-02-21,-1,-0.21915180770026751,4520192.885737814,0.02074,-3964.8167028123057,22.1888,200000,181723.32530556398,-18276.67469443602,0.9086166265278199
2020-02-22,0,-0.09509313955643195,0.0,0.02076,0.0,21.9689,200000,195135.27163154702,-4864.728368452983,0.9756763581577351
2020-02-23,0,0.29882338585368384,0.0,0.02229,0.0,22.8452,200000,195135.27163154702,-4864.728368452983,0.9756763581577351
2020-02-24,0,0.06594320855674801,0.0,0.02078,0.0,22.0965,200000,195135.27163154702,-4864.728368452983,0.9756763581577351
2020-02-25,0,0.16624243985015716,0.0,0.01907,0.0,20.3193,200000,195135.27163154702,-4864.728368452983,0.9756763581577351
