date,statusList,zscore,BNBUSDT_position,BNBUSDT_price,ETHUSDT_position,ETHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,13.7184,0.0,130.77,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,13.0105,0.0,127.19,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,13.6474,0.0,134.35,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,13.8092,0.0,134.2,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,14.0532,0.0,135.37,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,14.9471,0.0,144.15,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,15.0226,0.0,142.8,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,14.5334,0.0,140.72,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,14.3978,0.0,137.74,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,15.07,0.0,144.84,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,14.9177,0.0,142.38,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,15.3366,0.0,146.54,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,15.1736,0.0,143.58,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,16.6371,0.0,165.64,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,17.6655,0.0,166.4,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,17.0333,0.0,164.21,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,18.0724,0.0,169.85,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,17.8088,0.0,174.14,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,17.388,0.0,166.79,200000,200000.0,0.0,1.0
2020-01-20,0,-0.0706055446877122,0.0,17.3235,0.0,166.87,200000,200000.0,0.0,1.0
2020-01-21,2,1.753982045216514,0.0,18.1166,0.0,169.49,200000,200000.0,0.0,1.0
2020-01-22,1,1.1552448648448992,-5607.141255102499,17.8344,594.9901826619861,168.07,200000,200000.0,0.0,1.0
2020-01-23,1,0.2415862477308736,-5607.141255102499,17.0524,594.9901826619861,162.81,200000,192485.5671777078,-7514.432822292205,0.962427835888539
2020-01-24,1,0.5380112369505583,-5607.141255102499,17.1148,594.9901826619861,162.54,200000,192674.80544270744,-7325.1945572925615,0.9633740272135372
