date,statusList,zscore,XLMUSDT_position,XLMUSDT_price,ICXUSDT_position,ICXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.04529,0.0,0.1146,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.04361,0.0,0.1096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.04566,0.0,0.1142,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.04565,0.0,0.1139,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.04544,0.0,0.1135,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.05046,0.0,0.1248,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.04839,0.0,0.1201,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.04768,0.0,0.1171,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.04718,0.0,0.1167,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.04802,0.0,0.1188,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.04825,0.0,0.1202,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.04905,0.0,0.1215,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.04813,0.0,0.1229,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0528,0.0,0.1394,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0548,0.0,0.143,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.05367,0.0,0.1455,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.06072,0.0,0.1527,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.06149,0.0,0.1532,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.06004,0.0,0.1462,200000,200000.0,0.0,1.0
2020-01-20,2,1.543463441483965,0.0,0.06274,0.0,0.1511,200000,200000.0,0.0,1.0
2020-01-21,0,0.11323779113497366,0.0,0.06279,0.0,0.157,200000,200000.0,0.0,1.0
2020-01-22,0,-0.558945831967837,0.0,0.06136,0.0,0.1564,200000,200000.0,0.0,1.0
2020-01-23,0,-0.7030237045491998,0.0,0.05833,0.0,0.1495,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.499280535855052,0.0,0.05714,0.0,0.1507,200000,200000.0,0.0,1.0
2020-01-25,-2,-2.357406953656006,0.0,0.05604,0.0,0.155,200000,200000.0,0.0,1.0
2020-01-26,-2,-2.8983839758123655,0.0,0.05841,0.0,0.1738,200000,200000.0,0.0,1.0
2020-01-27,-2,-2.2996232902840243,0.0,0.05971,0.0,0.1775,200000,200000.0,0.0,1.0
2020-01-28,-2,-2.226245080802892,0.0,0.06072,0.0,0.186,200000,200000.0,0.0,1.0
2020-01-29,-2,-2.7216608086393217,0.0,0.06083,0.0,0.2112,200000,200000.0,0.0,1.0
2020-01-30,-2,-2.6032284205976666,0.0,0.0628,0.0,0.238,200000,200000.0,0.0,1.0
2020-01-31,-2,-2.540400453624053,0.0,0.0606,0.0,0.2589,200000,200000.0,0.0,1.0
2020-02-01,-2,-2.19644134956848,0.0,0.06224,0.0,0.2751,200000,200000.0,0.0,1.0
2020-02-02,-2,-2.1645477994086706,0.0,0.06345,0.0,0.3176,200000,200000.0,0.0,1.0
2020-02-03,-2,-2.1035229028191305,0.0,0.0643,0.0,0.3705,200000,200000.0,0.0,1.0
2020-02-04,-2,-2.17571696123961,0.0,0.06634,0.0,0.5091,200000,200000.0,0.0,1.0
2020-02-05,-2,-1.6210126304079495,0.0,0.06908,0.0,0.4369,200000,200000.0,0.0,1.0
2020-02-06,-2,-1.4619753242578937,0.0,0.07113,0.0,0.4574,200000,200000.0,0.0,1.0
2020-02-07,-1,-1.1466653258615056,1391207.5681691708,0.07188,-242541.8384671356,0.4123,200000,200000.0,0.0,1.0
2020-02-08,-1,-1.0372450539180404,1391207.5681691708,0.0709,-242541.8384671356,0.4056,200000,197011.58626546443,-2988.4137345355703,0.9850579313273221
2020-02-09,-1,-1.0179649514796372,1391207.5681691708,0.07327,-242541.8384671356,0.438,200000,208167.1037683605,8167.10376836051,1.0408355188418026
2020-02-10,-1,-0.8720178387044052,1391207.5681691708,0.07051,-242541.8384671356,0.4077,200000,196978.35317465942,-3021.6468253405765,0.9848917658732971
2020-02-11,-1,-0.7388483986288359,1391207.5681691708,0.07404,-242541.8384671356,0.4161,200000,203926.66733342054,3926.6673334205407,1.0196333366671027
2020-02-12,-1,-0.532817476991595,1391207.5681691708,0.08004,-242541.8384671356,0.423,200000,213947.4514278588,13947.451427858789,1.069737257139294
2020-02-13,0,-0.09209407436759996,0.0,0.08325,0.0,0.3843,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-14,0,-0.015530904449040268,0.0,0.08671,0.0,0.4036,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-15,0,0.1694902338754169,0.0,0.07892,0.0,0.3595,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-16,0,0.1818153476232854,0.0,0.07437,0.0,0.35,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-17,0,0.3266897317097894,0.0,0.07272,0.0,0.3455,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-18,0,0.1630603497197843,0.0,0.07603,0.0,0.3826,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-19,0,0.11207039077324303,0.0,0.07013,0.0,0.3633,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-20,0,-0.2632569761065772,0.0,0.0704,0.0,0.3896,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-21,0,-0.6853324018842819,0.0,0.07099,0.0,0.4222,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-22,0,-0.4330350959175602,0.0,0.0703,0.0,0.4067,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-23,0,-0.10474465955137616,0.0,0.07299,0.0,0.4033,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-24,0,0.14815161204348334,0.0,0.06911,0.0,0.365,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-25,0,0.41027341226837977,0.0,0.06402,0.0,0.3266,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-26,0,0.2210834051874413,0.0,0.05873,0.0,0.3027,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-27,0,0.22653476420985907,0.0,0.06045,0.0,0.3099,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-28,0,-0.07162844989667219,0.0,0.05841,0.0,0.306,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-02-29,0,0.03179198881336972,0.0,0.05694,0.0,0.2937,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-03-01,0,-0.019877960035059775,0.0,0.05582,0.0,0.2875,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-03-02,0,-0.47933022217393373,0.0,0.05968,0.0,0.3171,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-03-03,-2,-1.5267938148713138,0.0,0.05816,0.0,0.3399,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-03-04,0,-0.862716994780408,0.0,0.05857,0.0,0.3257,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
2020-03-05,-2,-2.378812596276503,0.0,0.05966,0.0,0.3958,200000,177390.79847283673,-22609.20152716327,0.8869539923641836
