date,statusList,zscore,ENJUSDT_position,ENJUSDT_price,ATOMUSDT_position,ATOMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.07963,0.0,4.38,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.07371,0.0,4.096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.078,0.0,4.237,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0772,0.0,4.25,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.07637,0.0,4.2,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.07578,0.0,4.111,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.073,0.0,4.075,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0754,0.0,3.995,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.07193,0.0,4.245,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.073,0.0,4.27,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0721,0.0,4.264,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.07214,0.0,4.253,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.07174,0.0,4.245,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.07253,0.0,4.53,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.076,0.0,4.573,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.08131,0.0,5.097,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.08039,0.0,5.015,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.07721,0.0,4.625,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.07361,0.0,4.516,200000,200000.0,0.0,1.0
2020-01-20,0,-0.4858797490479801,0.0,0.0758,0.0,4.505,200000,200000.0,0.0,1.0
2020-01-21,0,-0.7484035521622574,0.0,0.07661,0.0,4.64,200000,200000.0,0.0,1.0
2020-01-22,0,-0.3887717326314021,0.0,0.07815,0.0,4.657,200000,200000.0,0.0,1.0
2020-01-23,2,2.257397313447574,0.0,0.08656,0.0,4.463,200000,200000.0,0.0,1.0
2020-01-24,2,1.6879399525266294,0.0,0.08515,0.0,4.488,200000,200000.0,0.0,1.0
2020-01-25,2,2.300724193047489,0.0,0.0882,0.0,4.39,200000,200000.0,0.0,1.0
2020-01-26,2,1.6786134683102547,0.0,0.08741,0.0,4.478,200000,200000.0,0.0,1.0
2020-01-27,2,1.7908494349720963,0.0,0.09026,0.0,4.515,200000,200000.0,0.0,1.0
2020-01-28,2,1.2322766858717344,0.0,0.08811,0.0,4.577,200000,200000.0,0.0,1.0
2020-01-29,2,1.7516200342563957,0.0,0.08978,0.0,4.401,200000,200000.0,0.0,1.0
2020-01-30,2,2.516002466488829,0.0,0.1006,0.0,4.41,200000,200000.0,0.0,1.0
2020-01-31,2,1.672991296059417,0.0,0.09531,0.0,4.397,200000,200000.0,0.0,1.0
2020-02-01,2,2.208559022193224,0.0,0.10476,0.0,4.388,200000,200000.0,0.0,1.0
2020-02-02,2,2.3023835880493393,0.0,0.1123,0.0,4.403,200000,200000.0,0.0,1.0
2020-02-03,2,2.3409669083275326,0.0,0.11619,0.0,4.263,200000,200000.0,0.0,1.0
2020-02-04,2,3.0726119146502833,0.0,0.1469,0.0,4.22,200000,200000.0,0.0,1.0
2020-02-05,2,1.9197270722565627,0.0,0.13421,0.0,4.33,200000,200000.0,0.0,1.0
2020-02-06,2,1.5119977785798928,0.0,0.13726,0.0,4.589,200000,200000.0,0.0,1.0
2020-02-07,0,0.8999060932890816,0.0,0.13106,0.0,4.825,200000,200000.0,0.0,1.0
2020-02-08,0,0.9100698905418448,0.0,0.1283,0.0,4.629,200000,200000.0,0.0,1.0
2020-02-09,0,0.8890999856724799,0.0,0.13362,0.0,4.757,200000,200000.0,0.0,1.0
2020-02-10,1,1.0507730867206542,-711693.1179275496,0.14051,20951.183741881418,4.773,200000,200000.0,0.0,1.0
2020-02-11,1,0.5148970610883767,-711693.1179275496,0.13851,20951.183741881418,5.105,200000,205532.40676644957,5532.406766449567,1.0276620338322477
2020-02-12,1,0.5524601980938965,-711693.1179275496,0.14127,20951.183741881418,5.109,200000,207580.4845068971,7580.484506897104,1.0379024225344855
2020-02-13,1,0.4882756036858893,-711693.1179275496,0.13586,20951.183741881418,4.906,200000,199477.13443930712,-522.8655606928805,0.9973856721965356
2020-02-14,1,0.5250760225156671,-711693.1179275496,0.144,20951.183741881418,5.111,200000,209565.30908632308,9565.309086323075,1.0478265454316154
2020-02-15,1,0.6037611856061682,-711693.1179275496,0.13284,20951.183741881418,4.608,200000,191084.36846808525,-8915.631531914754,0.9554218423404263
2020-02-16,1,0.4091166698538545,-711693.1179275496,0.12425,20951.183741881418,4.382,200000,180235.9570594224,-19764.04294057761,0.901179785297112
2020-02-17,2,1.3398442383481148,0.0,0.13694,0.0,4.27,200000,207997.700991165,7997.700991165009,1.039988504955825
2020-02-18,1,1.1185775706635548,-743273.6599169705,0.13992,23417.890226431547,4.441,200000,207997.700991165,7997.700991165009,1.039988504955825
2020-02-19,2,1.3838216958294773,0.0,0.13558,0.0,4.146,200000,211680.17092392268,11680.170923922677,1.0584008546196133
2020-02-20,0,0.2693927354163233,0.0,0.1321,0.0,4.461,200000,211680.17092392268,11680.170923922677,1.0584008546196133
2020-02-21,-2,-1.3496278015928125,0.0,0.1278,0.0,4.953,200000,211680.17092392268,11680.170923922677,1.0584008546196133
2020-02-22,-2,-1.7123055223845465,0.0,0.12428,0.0,5.011,200000,211680.17092392268,11680.170923922677,1.0584008546196133
2020-02-23,0,-0.6654923450877913,0.0,0.1312,0.0,4.794,200000,211680.17092392268,11680.170923922677,1.0584008546196133
2020-02-24,0,-0.4075455258431332,0.0,0.12219,0.0,4.393,200000,211680.17092392268,11680.170923922677,1.0584008546196133
2020-02-25,0,-0.68961544295894,0.0,0.10971,0.0,4.051,200000,211680.17092392268,11680.170923922677,1.0584008546196133
2020-02-26,0,-0.8357392322024528,0.0,0.09693,0.0,3.641,200000,211680.17092392268,11680.170923922677,1.0584008546196133
2020-02-27,0,-0.44100149420436874,0.0,0.10124,0.0,3.692,200000,211680.17092392268,11680.170923922677,1.0584008546196133
2020-02-28,0,-0.022361588652371416,0.0,0.10033,0.0,3.548,200000,211680.17092392268,11680.170923922677,1.0584008546196133
