date,statusList,zscore,XRPUSDT_position,XRPUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.19305,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1875,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.19338,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.19305,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.19453,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2231,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.21335,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2075,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.20373,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.21284,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.21121,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.21539,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.21134,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.23464,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.23367,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.229,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.23921,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.24357,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.23558,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,0,0.6497951295618504,0.0,0.23314,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,2,1.3240103116978708,0.0,0.23726,0.0,0.002514,200000,200000.0,0.0,1.0
2020-01-22,1,1.199314558730979,-421354.2325032655,0.23733,39761431.411530815,0.002515,200000,200000.0,0.0,1.0
2020-01-23,1,0.35357941862109143,-421354.2325032655,0.22586,39761431.411530815,0.002492,200000,194252.55403072233,-5747.445969277673,0.9712627701536116
2020-01-24,1,0.29011980807735294,-421354.2325032655,0.22222,39761431.411530815,0.002449,200000,191009.08307371463,-8990.916926285368,0.9550454153685731
2020-01-25,0,-0.55039089537363,0.0,0.21946,0.0,0.002489,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-01-26,0,0.731096850332023,0.0,0.23131,0.0,0.0025,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-01-27,0,-0.12867915912981956,0.0,0.23077,0.0,0.002574,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-01-28,0,0.4874543888515359,0.0,0.23906,0.0,0.0026,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-01-29,2,1.4147393426433246,0.0,0.23539,0.0,0.002481,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-01-30,2,2.02161168416905,0.0,0.24376,0.0,0.002498,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-01-31,2,1.478018658414725,0.0,0.23946,0.0,0.002482,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-01,2,1.4023630093451869,0.0,0.24141,0.0,0.002496,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-02,2,2.0132139005457996,0.0,0.25093,0.0,0.002528,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-03,2,1.8367429158383857,0.0,0.25453,0.0,0.002553,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-04,0,0.9676970094786705,0.0,0.26737,0.0,0.002754,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-05,0,0.6830337842545264,0.0,0.27774,0.0,0.002882,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-06,0,-0.16943889079471117,0.0,0.28325,0.0,0.003024,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-07,-2,-1.8222548747457579,0.0,0.27953,0.0,0.0032,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-08,0,-0.6028777854748564,0.0,0.27735,0.0,0.003031,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-09,-2,-2.1247579350280024,0.0,0.28257,0.0,0.003333,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-10,-2,-2.650261603793748,0.0,0.27338,0.0,0.003465,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-11,-2,-2.1639603468733157,0.0,0.281,0.0,0.003563,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-12,-2,-1.5004983596757708,0.0,0.30427,0.0,0.00372,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-13,-1,-1.1369886095048642,295796.56529069436,0.32709,-24694256.90171854,0.003918,200000,193504.19708186644,-6495.802918133559,0.9675209854093322
2020-02-14,-1,-0.51529666734767,295796.56529069436,0.33594,-24694256.90171854,0.003836,200000,194097.06761874817,-5902.932381251827,0.9704853380937408
2020-02-15,-1,-0.2940434497031223,295796.56529069436,0.30729,-24694256.90171854,0.003458,200000,176288.06691432017,-23711.933085679833,0.8814403345716009
2020-02-16,-1,-0.23131199245794995,295796.56529069436,0.29224,-24694256.90171854,0.003274,200000,167292.585336779,-32707.41466322099,0.836462926683895
2020-02-17,-1,-0.7641726544255337,295796.56529069436,0.28736,-24694256.90171854,0.003369,200000,168195.05250382368,-31804.94749617632,0.8409752625191185
2020-02-18,-1,-0.33355513860028085,295796.56529069436,0.29827,-24694256.90171854,0.003394,200000,172039.54945368812,-27960.450546311884,0.8601977472684406
2020-02-19,0,-0.1148703511289068,0.0,0.27466,0.0,0.003088,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-02-20,0,-0.4145650439969173,0.0,0.2709,0.0,0.003129,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-02-21,0,-0.2055151601173456,0.0,0.27418,0.0,0.003134,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-02-22,0,-0.1866337777876046,0.0,0.27468,0.0,0.003154,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-02-23,0,-0.06620700766033974,0.0,0.28298,0.0,0.003246,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-02-24,0,-0.2620666797576204,0.0,0.2704,0.0,0.003151,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-02-25,0,-0.3742749604615458,0.0,0.25209,0.0,0.002966,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-02-26,0,0.9594008248163407,0.0,0.22915,0.0,0.002565,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-02-27,0,0.6739007008802295,0.0,0.2385,0.0,0.002696,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-02-28,0,-0.15226409610535316,0.0,0.23663,0.0,0.00277,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-02-29,0,-0.44313218094825074,0.0,0.22892,0.0,0.002709,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-01,0,-0.9089786064237264,0.0,0.22696,0.0,0.002713,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-02,0,0.5304122598346269,0.0,0.23958,0.0,0.002732,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-03,-2,-1.8193320966116562,0.0,0.23428,0.0,0.002823,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-04,-2,-2.511498485695497,0.0,0.23453,0.0,0.002906,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-05,-2,-2.3985333003573475,0.0,0.23909,0.0,0.00301,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-06,-2,-1.3355117877196816,0.0,0.24477,0.0,0.002987,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-07,-2,-1.3245168787757462,0.0,0.23622,0.0,0.002896,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-08,-2,-1.2534112675574636,0.0,0.20385,0.0,0.002504,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-09,0,-0.7561499879053174,0.0,0.20952,0.0,0.002535,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-10,0,0.17003157559546533,0.0,0.21185,0.0,0.002487,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-11,0,0.7370851987899538,0.0,0.20813,0.0,0.002398,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-12,2,4.031082546099328,0.0,0.13549,0.0,0.001116,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-13,2,2.5079855520267276,0.0,0.15872,0.0,0.001383,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-14,0,0.9260314659998932,0.0,0.14588,0.0,0.00148,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-15,0,0.48435904073775543,0.0,0.15308,0.0,0.001626,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-16,0,0.42558993318381433,0.0,0.14102,0.0,0.001501,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-17,0,0.5209852588678956,0.0,0.14694,0.0,0.001541,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-18,0,0.8666849149272884,0.0,0.1476,0.0,0.001476,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-19,0,0.45356677122361333,0.0,0.1646,0.0,0.001718,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-20,0,-0.31378276937946004,0.0,0.15695,0.0,0.0018,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-21,0,-0.055725063836451545,0.0,0.15797,0.0,0.001746,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-22,0,0.1545092299925618,0.0,0.14776,0.0,0.001587,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-23,0,0.17157900201783766,0.0,0.15854,0.0,0.00169,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-24,0,0.4760407366415894,0.0,0.16225,0.0,0.001657,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-25,0,0.407207132033875,0.0,0.16168,0.0,0.001651,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-26,0,0.7174414016562273,0.0,0.17593,0.0,0.001725,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-27,0,0.6244397961703803,0.0,0.17269,0.0,0.001696,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-28,0,0.7048558460065498,0.0,0.17543,0.0,0.001697,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-29,0,0.6053491265975341,0.0,0.16278,0.0,0.001578,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-30,0,0.26764390742236926,0.0,0.17112,0.0,0.001697,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-03-31,0,0.10134135081207181,0.0,0.17353,0.0,0.001734,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-04-01,0,0.3940199891498986,0.0,0.17494,0.0,0.00174,200000,188516.57777163116,-11483.422228368843,0.9425828888581558
2020-04-02,1,1.0517356143498955,-528709.2712913146,0.17828,54109235.870158195,0.001742,200000,188516.57777163113,-11483.422228368872,0.9425828888581557
2020-04-03,2,1.2930908917103372,0.0,0.17957,0.0,0.001727,200000,190010.2512696493,-9989.748730350693,0.9500512563482465
2020-04-04,2,1.2192326254404129,0.0,0.18114,0.0,0.001737,200000,190010.2512696493,-9989.748730350693,0.9500512563482465
2020-04-05,1,1.143064263651476,-530014.6478930246,0.17925,55396574.71418347,0.001715,200000,190010.2512696493,-9989.748730350693,0.9500512563482465
2020-04-06,2,1.4666604253852311,0.0,0.19803,0.0,0.00185,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-07,2,1.4090010305539513,0.0,0.19285,0.0,0.001793,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-08,2,1.5599017538600863,0.0,0.20192,0.0,0.001843,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-09,2,1.3443238466000045,0.0,0.19829,0.0,0.001828,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-10,2,1.9563723024380393,0.0,0.18758,0.0,0.00167,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-11,2,1.9287299235299975,0.0,0.1885,0.0,0.001666,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-12,2,1.3889336454141383,0.0,0.18939,0.0,0.001708,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-13,2,1.567420427271155,0.0,0.18763,0.0,0.001668,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-14,0,0.46223779894740846,0.0,0.18613,0.0,0.001727,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-15,2,1.3373000614539907,0.0,0.1805,0.0,0.001609,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-16,2,1.5764562581506212,0.0,0.19053,0.0,0.001669,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-17,2,1.5384091869059457,0.0,0.18863,0.0,0.001641,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-18,2,1.3976113889649415,0.0,0.19544,0.0,0.001698,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-19,2,1.3127056829993133,0.0,0.18901,0.0,0.001639,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-20,0,0.20658160808005716,0.0,0.18151,0.0,0.001646,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-21,0,0.6070787447953773,0.0,0.18341,0.0,0.001632,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-22,0,-0.029971478769516995,0.0,0.18804,0.0,0.001706,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-23,0,0.37739727676628604,0.0,0.1926,0.0,0.00172,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-24,0,-0.022964918043832477,0.0,0.19325,0.0,0.001741,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-25,-2,-1.6205084264239336,0.0,0.19418,0.0,0.001818,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-26,-2,-2.1090836746602792,0.0,0.19618,0.0,0.001869,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-27,-2,-1.4536092710536486,0.0,0.19747,0.0,0.00185,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-28,0,0.7574250184050785,0.0,0.21416,0.0,0.001887,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-29,2,1.6647333568353235,0.0,0.22648,0.0,0.001937,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-04-30,0,-0.7907207206045732,0.0,0.21135,0.0,0.00194,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-05-01,-2,-1.3967628098946796,0.0,0.21786,0.0,0.002047,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-05-02,-2,-1.4295759343019045,0.0,0.22369,0.0,0.002115,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-05-03,-1,-1.111085605472798,438743.13632992696,0.21936,-46719754.555986784,0.00206,200000,192485.38877066557,-7514.611229334434,0.9624269438533278
2020-05-04,-1,-0.9251453239619148,438743.13632992696,0.21776,-46719754.555986784,0.002033,200000,190521.966379526,-9478.033620473987,0.95260983189763
