date,statusList,zscore,THETAUSDT_position,THETAUSDT_price,DASHUSDT_position,DASHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.08656,0.0,41.84,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.08443,0.0,40.04,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.08771,0.0,43.92,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.09394,0.0,46.19,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.09421,0.0,51.17,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.09987,0.0,56.57,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.09608,0.0,54.62,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.09873,0.0,52.42,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.09294,0.0,50.54,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.09509,0.0,56.88,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.09437,0.0,63.46,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.09589,0.0,66.19,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.09703,0.0,69.43,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.10598,0.0,89.28,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.10438,0.0,133.6,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.10368,0.0,127.45,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.11193,0.0,113.04,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.10876,0.0,101.15,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1126,0.0,104.92,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.1506328782821063,909256.2284051647,0.10998,-909.835319807115,109.91,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.030775500847822,909256.2284051647,0.11136,-909.835319807115,110.5,200000,201791.57643388532,1791.5764338853187,1.0089578821694265
2020-01-22,-1,-0.7317900853609776,909256.2284051647,0.119,-909.835319807115,107.8,200000,206281.7386554216,6281.738655421592,1.031408693277108
2020-01-23,-1,-0.7633348628617237,909256.2284051647,0.10858,-909.835319807115,102.72,200000,192185.32533081964,-7814.674669180356,0.9609266266540982
2020-01-24,-1,-0.7110433214076536,909256.2284051647,0.10494,-909.835319807115,100.11,200000,186500.96247472827,-13499.037525271735,0.9325048123736414
2020-01-25,-1,-0.7455117518006178,909256.2284051647,0.10189,-909.835319807115,101.31,200000,184819.53336186105,-15180.466638138954,0.9240976668093053
2020-01-26,-1,-0.8965213368207018,909256.2284051647,0.10222,-909.835319807115,111.01,200000,193944.99051936378,-6055.009480636218,0.9697249525968189
2020-01-27,-1,-0.7975920902147314,909256.2284051647,0.10459,-909.835319807115,112.78,200000,197710.3362967426,-2289.6637032573926,0.9885516814837131
2020-01-28,-1,-0.6899267561422942,909256.2284051647,0.10936,-909.835319807115,115.91,200000,204895.2730572315,4895.273057231505,1.0244763652861575
2020-01-29,-1,-0.9886973991313301,909256.2284051647,0.10434,-909.835319807115,121.97,200000,205844.4088286687,5844.408828668704,1.0292220441433435
2020-01-30,-1,-0.9727452234094591,909256.2284051647,0.10431,-909.835319807115,121.9,200000,205753.44266943005,5753.442669430049,1.0287672133471502
2020-01-31,-1,-0.5962824453345095,909256.2284051647,0.10638,-909.835319807115,115.85,200000,202131.09937739567,2131.0993773956725,1.0106554968869783
2020-02-01,-1,-0.6489083830696203,909256.2284051647,0.10527,-909.835319807115,116.7,200000,201895.184985702,1895.1849857020134,1.0094759249285101
2020-02-02,-1,-0.4505134243781259,909256.2284051647,0.10545,-909.835319807115,114.29,200000,199866.1479860798,-133.852013920201,0.999330739930399
2020-02-03,-1,-0.20093255291375536,909256.2284051647,0.10829,-909.835319807115,115.34,200000,203403.76276054792,3403.762760547921,1.0170188138027396
2020-02-04,0,1.481919358389244,0.0,0.122,0.0,110.87,200000,189944.18204158475,-10055.817958415253,0.9497209102079237
2020-02-05,0,0.1303063060765024,0.0,0.122,0.0,122.98,200000,189944.18204158475,-10055.817958415253,0.9497209102079237
2020-02-06,0,0.621619223280051,0.0,0.12425,0.0,120.32,200000,189944.18204158475,-10055.817958415253,0.9497209102079237
2020-02-07,0,0.863378346884794,0.0,0.1245,0.0,118.68,200000,189944.18204158475,-10055.817958415253,0.9497209102079237
2020-02-08,0,-0.7151314486564246,0.0,0.1164,0.0,126.29,200000,189944.18204158475,-10055.817958415253,0.9497209102079237
2020-02-09,0,-0.22862732454187634,0.0,0.12284,0.0,128.51,200000,189944.18204158475,-10055.817958415253,0.9497209102079237
2020-02-10,0,0.6681124505361923,0.0,0.13064,0.0,127.58,200000,189944.18204158475,-10055.817958415253,0.9497209102079237
2020-02-11,0,0.34320863090555875,0.0,0.12814,0.0,129.2,200000,189944.18204158475,-10055.817958415253,0.9497209102079237
2020-02-12,1,1.012642262188598,-686859.7021826309,0.13827,711.2416012940341,133.53,200000,189944.18204158475,-10055.817958415253,0.9497209102079237
2020-02-13,2,3.263722408820888,0.0,0.17192,0.0,131.18,200000,214728.4287830713,14728.428783071286,1.0736421439153565
2020-02-14,2,1.7771898316306909,0.0,0.15827,0.0,133.34,200000,214728.4287830713,14728.428783071286,1.0736421439153565
2020-02-15,2,1.7611596039930286,0.0,0.14694,0.0,120.73,200000,214728.4287830713,14728.428783071286,1.0736421439153565
2020-02-16,2,1.5328565193423496,0.0,0.13454,0.0,110.73,200000,214728.4287830713,14728.428783071286,1.0736421439153565
2020-02-17,2,1.2432072947757924,0.0,0.13716,0.0,114.66,200000,214728.4287830713,14728.428783071286,1.0736421439153565
2020-02-18,2,1.308451136410485,0.0,0.14134,0.0,115.56,200000,214728.4287830713,14728.428783071286,1.0736421439153565
2020-02-19,1,1.0900236755591275,-847790.7011334148,0.12664,1023.7838694720667,104.87,200000,214728.4287830713,14728.428783071286,1.0736421439153565
2020-02-20,2,1.3691610412564903,0.0,0.13247,0.0,104.82,200000,219722.2377641527,19722.2377641527,1.0986111888207635
2020-02-21,0,0.7237502292376167,0.0,0.12776,0.0,107.39,200000,219722.2377641527,19722.2377641527,1.0986111888207635
2020-02-22,1,1.008816424200693,-855216.5567653461,0.12846,1058.4942564994349,103.79,200000,219722.2377641527,19722.2377641527,1.0986111888207635
2020-02-23,2,1.4407626127762818,0.0,0.14149,0.0,108.09,200000,226314.1841958576,26314.18419585761,1.1315709209792881
2020-02-24,2,2.047830613621978,0.0,0.14836,0.0,103.41,200000,226314.1841958576,26314.18419585761,1.1315709209792881
2020-02-25,2,1.6529861001286064,0.0,0.13481,0.0,95.52,200000,226314.1841958576,26314.18419585761,1.1315709209792881
2020-02-26,2,1.4286525048505037,0.0,0.11839,0.0,84.29,200000,226314.1841958576,26314.18419585761,1.1315709209792881
2020-02-27,1,1.0034538295251318,-928125.7553963977,0.12192,1258.9796628608012,89.88,200000,226314.1841958576,26314.18419585761,1.1315709209792881
