date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,ZRXUSDT_position,ZRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,0.1825,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,0.1752,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,0.1821,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,0.1864,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,0.1861,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,0.1958,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,0.1878,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,0.2133,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,0.2058,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,0.2026,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,0.2064,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,0.2182,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,0.2102,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,0.238,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,0.2459,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,0.2474,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,0.2547,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,0.2455,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,0.2312,200000,200000.0,0.0,1.0
2020-01-20,2,1.3579523352184306,0.0,109.91,0.0,0.2316,200000,200000.0,0.0,1.0
2020-01-21,1,1.076768954521985,-904.9773755656108,110.5,414078.67494824016,0.2415,200000,200000.0,0.0,1.0
2020-01-22,1,0.8586646755565475,-904.9773755656108,107.8,414078.67494824016,0.2425,200000,197970.63976092107,-2029.360239078931,0.9898531988046053
2020-01-23,1,0.8251854446047067,-904.9773755656108,102.72,414078.67494824016,0.2283,200000,187493.43750878278,-12506.56249121722,0.9374671875439139
2020-01-24,1,0.6466557816274016,-904.9773755656108,100.11,414078.67494824016,0.2275,200000,184800.18361859792,-15199.81638140208,0.9240009180929896
