date,statusList,zscore,MITHUSDT_position,MITHUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00757,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.00699,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00739,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00728,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00734,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00741,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00705,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00678,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00664,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00655,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00669,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00671,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00669,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00679,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00715,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00716,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00723,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00732,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00704,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.109216077099682,14450867.052023122,0.00692,-38774718.88328809,0.002579,200000,200000.0,0.0,1.0
2020-01-21,0,0.3767545054425922,0.0,0.00727,0.0,0.002514,200000,192421.83980437816,-7578.1601956218365,0.9621091990218908
2020-01-22,2,1.5328306575569974,0.0,0.00767,0.0,0.002515,200000,192421.83980437816,-7578.1601956218365,0.9621091990218908
2020-01-23,0,0.8719013197454307,0.0,0.00734,0.0,0.002492,200000,192421.83980437816,-7578.1601956218365,0.9621091990218908
2020-01-24,1,1.1089761448342896,-13215785.700850148,0.00728,39285798.245075166,0.002449,200000,192421.83980437816,-7578.1601956218365,0.9621091990218908
2020-01-25,2,1.2485810293553556,0.0,0.00742,0.0,0.002489,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-01-26,2,2.756422552592045,0.0,0.00813,0.0,0.0025,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-01-27,2,1.233021184520645,0.0,0.00781,0.0,0.002574,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-01-28,0,0.8206933158963758,0.0,0.00776,0.0,0.0026,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-01-29,2,1.2931118340159384,0.0,0.00764,0.0,0.002481,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-01-30,0,0.5333455156982709,0.0,0.00742,0.0,0.002498,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-01-31,2,1.7338122774690157,0.0,0.00794,0.0,0.002482,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-02-01,2,1.4084407524464964,0.0,0.00792,0.0,0.002496,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-02-02,2,1.2084210350780302,0.0,0.00799,0.0,0.002528,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-02-03,0,0.7990306001613063,0.0,0.00792,0.0,0.002553,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-02-04,0,0.3350579543680959,0.0,0.00837,0.0,0.002754,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-02-05,0,-0.5760153607451642,0.0,0.00839,0.0,0.002882,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-02-06,2,1.2105393567037164,0.0,0.00964,0.0,0.003024,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-02-07,0,0.4346444536883103,0.0,0.00988,0.0,0.0032,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-02-08,0,0.10701051398767839,0.0,0.00925,0.0,0.003031,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-02-09,-2,-1.2446509469205322,0.0,0.00973,0.0,0.003333,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-02-10,-2,-2.2473246513622565,0.0,0.00965,0.0,0.003465,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-02-11,-2,-2.460205480015977,0.0,0.00954,0.0,0.003563,200000,192700.6178726942,-7299.382127305813,0.963503089363471
