date,statusList,zscore,LTCUSDT_position,LTCUSDT_price,BTCUSDT_position,BTCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.62,0.0,7200.85,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,39.43,0.0,6965.71,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,42.23,0.0,7344.96,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,42.78,0.0,7354.11,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,43.3,0.0,7358.75,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,45.8,0.0,7758.0,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,46.3,0.0,8145.28,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,45.35,0.0,8055.98,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,44.74,0.0,7817.76,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,49.06,0.0,8197.02,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,49.3,0.0,8020.01,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,51.43,0.0,8184.98,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,49.6,0.0,8110.34,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,58.39,0.0,8810.01,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,58.16,0.0,8821.41,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,57.56,0.0,8720.01,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.02,0.0,8913.28,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,59.32,0.0,8915.96,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,57.6,0.0,8701.7,200000,200000.0,0.0,1.0
2020-01-20,1,1.1311790719539205,-1748.5574401119077,57.19,11.57092688909845,8642.35,200000,200000.0,0.0,1.0
2020-01-21,1,0.9636821545567956,-1748.5574401119077,57.57,11.57092688909845,8736.03,200000,201748.41625821326,1748.4162582132558,1.0087420812910664
2020-01-22,1,1.152420409382582,-1748.5574401119077,58.33,11.57092688909845,8682.36,200000,202456.3082665604,2456.3082665604015,1.012281541332802
2020-01-23,1,0.523843408376982,-1748.5574401119077,54.52,11.57092688909845,8404.52,200000,192579.4380928669,-7420.5619071330875,0.9628971904643345
2020-01-24,1,0.3505328569963124,-1748.5574401119077,54.38,11.57092688909845,8439.0,200000,192733.60561038734,-7266.394389612658,0.9636680280519367
2020-01-25,0,0.13782615079116156,0.0,53.25,0.0,8340.58,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-01-26,0,0.4510794378255512,0.0,56.24,0.0,8615.0,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-01-27,0,0.5000378523253988,0.0,58.55,0.0,8907.57,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-01-28,0,0.023309033288763097,0.0,60.52,0.0,9374.21,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-01-29,0,-0.2609450136332771,0.0,59.8,0.0,9301.53,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-01-30,2,2.63957006299812,0.0,67.98,0.0,9513.21,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-01-31,2,2.5659018540009866,0.0,68.0,0.0,9352.89,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-02-01,2,2.6939479487409455,0.0,70.72,0.0,9384.61,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-02-02,2,2.194245259915981,0.0,69.93,0.0,9331.51,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-02-03,2,1.8673921645937595,0.0,69.65,0.0,9292.24,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-02-04,2,1.4380850686824955,0.0,68.07,0.0,9197.02,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-02-05,2,1.581352755993568,0.0,72.59,0.0,9612.04,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-02-06,2,1.3776803518702352,0.0,73.6,0.0,9772.0,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-02-07,2,1.30734200922495,0.0,74.3,0.0,9813.73,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-02-08,2,1.4612330837618985,0.0,76.56,0.0,9895.05,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-02-09,1,1.0481611203478969,-1276.6392356706642,77.0,9.683179860284302,10151.75,200000,196602.4422932823,-3397.557706717693,0.9830122114664115
2020-02-10,1,0.8216657723672495,-1276.6392356706642,74.02,9.683179860284302,9851.83,200000,189893.87806728727,-10106.121932712733,0.9494693903364363
2020-02-11,1,0.6819679106567149,-1276.6392356706642,76.46,9.683179860284302,10223.08,200000,196603.7583254542,-3396.241674545803,0.983018791627271
2020-02-12,2,1.2905809147974368,0.0,81.17,0.0,10326.46,200000,200234.27955263873,234.27955263873446,1.0011713977631937
2020-02-13,2,1.2044783929818934,0.0,80.55,0.0,10229.63,200000,200234.27955263873,234.27955263873446,1.0011713977631937
2020-02-14,2,1.4156579270799952,0.0,83.14,0.0,10344.36,200000,200234.27955263873,234.27955263873446,1.0011713977631937
2020-02-15,0,0.7339541448916783,0.0,76.7,0.0,9904.72,200000,200234.27955263873,234.27955263873446,1.0011713977631937
2020-02-16,0,0.16662549887117814,0.0,74.67,0.0,9917.27,200000,200234.27955263873,234.27955263873446,1.0011713977631937
2020-02-17,0,0.14054390621487914,0.0,73.41,0.0,9706.0,200000,200234.27955263873,234.27955263873446,1.0011713977631937
2020-02-18,0,0.11758007954926498,0.0,77.25,0.0,10164.71,200000,200234.27955263873,234.27955263873446,1.0011713977631937
2020-02-19,-2,-1.2368370430684137,0.0,70.61,0.0,9593.79,200000,200234.27955263873,234.27955263873446,1.0011713977631937
2020-02-20,-2,-1.887274081512283,0.0,69.4,0.0,9596.42,200000,200234.27955263873,234.27955263873446,1.0011713977631937
2020-02-21,0,-0.09115040548893685,0.0,73.25,0.0,9677.05,200000,200234.27955263873,234.27955263873446,1.0011713977631937
2020-02-22,0,0.7963375381248298,0.0,74.79,0.0,9650.86,200000,200234.27955263873,234.27955263873446,1.0011713977631937
2020-02-23,2,1.8250324275820848,0.0,79.52,0.0,9936.4,200000,200234.27955263873,234.27955263873446,1.0011713977631937
