date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,ICXUSDT_position,ICXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,0.1146,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.1096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.1142,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.1139,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.1135,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.1248,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.1201,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.1171,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.1167,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.1188,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.1202,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.1215,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.1229,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.1394,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.143,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.1455,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.1527,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.1532,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.1462,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.8388224118004899,0.0,0.0006756,0.0,0.1511,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.9503245602056332,0.0,0.0006651,0.0,0.157,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.635614117385181,0.0,0.0006688,0.0,0.1564,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.5162006656818197,0.0,0.0006333,0.0,0.1495,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.4035744714385092,0.0,0.0006346,0.0,0.1507,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.5539533868528257,0.0,0.000621,0.0,0.155,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.8279224341322922,0.0,0.0006347,0.0,0.1738,200000,200000.0,0.0,1.0
2020-01-27,-2,-1.589736615388042,0.0,0.0006521,0.0,0.1775,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.6561061054415704,0.0,0.000648,0.0,0.186,200000,200000.0,0.0,1.0
2020-01-29,-2,-1.9260376390931673,0.0,0.0006531,0.0,0.2112,200000,200000.0,0.0,1.0
2020-01-30,-2,-2.1328765597054353,0.0,0.000638,0.0,0.238,200000,200000.0,0.0,1.0
2020-01-31,-2,-2.0810024905053326,0.0,0.0006329,0.0,0.2589,200000,200000.0,0.0,1.0
2020-02-01,-2,-1.9341629001914347,0.0,0.0006448,0.0,0.2751,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.9271322135478537,0.0,0.0006719,0.0,0.3176,200000,200000.0,0.0,1.0
2020-02-03,-2,-1.9590521920015254,0.0,0.0006619,0.0,0.3705,200000,200000.0,0.0,1.0
2020-02-04,-2,-2.026946596703599,0.0,0.000695,0.0,0.5091,200000,200000.0,0.0,1.0
2020-02-05,-2,-1.6036077710395815,0.0,0.0006959,0.0,0.4369,200000,200000.0,0.0,1.0
2020-02-06,-2,-1.4196679601818112,0.0,0.00074,0.0,0.4574,200000,200000.0,0.0,1.0
2020-02-07,-1,-1.0812780498768102,129132231.40495868,0.0007744,-242541.8384671356,0.4123,200000,200000.0,0.0,1.0
2020-02-08,-1,-0.8904375670881011,129132231.40495868,0.000808,-242541.8384671356,0.4056,200000,202713.8126574768,2713.8126574768103,1.013569063287384
2020-02-09,-1,-0.9500174889699338,129132231.40495868,0.0008003,-242541.8384671356,0.438,200000,209577.8500419938,9577.850041993806,1.047889250209969
2020-02-10,-1,-0.8301542473402439,129132231.40495868,0.0007595,-242541.8384671356,0.4077,200000,196960.2372951173,-3039.7627048827126,0.9848011864755865
2020-02-11,-1,-0.761129972715896,129132231.40495868,0.000771,-242541.8384671356,0.4161,200000,200482.60939939826,482.60939939826494,1.0024130469969914
2020-02-12,-1,-0.5242589960115283,129132231.40495868,0.0008498,-242541.8384671356,0.423,200000,212331.76791953223,12331.767919532227,1.0616588395976612
2020-02-13,0,-0.1391886942566782,0.0,0.0008714,0.0,0.3843,200000,180683.0020766392,-19316.99792336079,0.903415010383196
2020-02-14,0,-0.11389838683661939,0.0,0.0008915,0.0,0.4036,200000,180683.0020766392,-19316.99792336079,0.903415010383196
2020-02-15,0,0.22717402542608173,0.0,0.000849,0.0,0.3595,200000,180683.0020766392,-19316.99792336079,0.903415010383196
2020-02-16,0,0.39773365664927157,0.0,0.0008258,0.0,0.35,200000,180683.0020766392,-19316.99792336079,0.903415010383196
2020-02-17,0,0.4733019137035902,0.0,0.0007907,0.0,0.3455,200000,180683.0020766392,-19316.99792336079,0.903415010383196
2020-02-18,0,0.09938497532195716,0.0,0.0007956,0.0,0.3826,200000,180683.0020766392,-19316.99792336079,0.903415010383196
2020-02-19,0,-0.027247853442879656,0.0,0.0007284,0.0,0.3633,200000,180683.0020766392,-19316.99792336079,0.903415010383196
