date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,XRPUSDT_position,XRPUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,0.1875,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,0.19338,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,0.19453,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,0.2231,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,0.21335,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,0.2075,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,0.20373,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,0.21284,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,0.21121,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,0.21539,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,0.21134,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,0.23464,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,0.23367,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,0.229,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,0.23921,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,0.24357,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,0.23558,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.9086785064160705,0.0,0.1043,0.0,0.23314,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.6488992541975886,0.0,0.1062,0.0,0.23726,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.3430533662054276,0.0,0.107,0.0,0.23733,200000,200000.0,0.0,1.0
2020-01-23,0,0.20796522586353317,0.0,0.1087,0.0,0.22586,200000,200000.0,0.0,1.0
2020-01-24,0,-0.4073218649631945,0.0,0.104,0.0,0.22222,200000,200000.0,0.0,1.0
2020-01-25,0,-0.04678612485016606,0.0,0.1037,0.0,0.21946,200000,200000.0,0.0,1.0
2020-01-26,-1,-1.1127025071413528,948766.6034155599,0.1054,-432320.26285071985,0.23131,200000,200000.0,0.0,1.0
2020-01-27,-1,-0.8889041175012833,948766.6034155599,0.1058,-432320.26285071985,0.23077,200000,200146.05369942688,146.05369942687685,1.0007302684971344
2020-01-28,-1,-1.11200135263995,948766.6034155599,0.1083,-432320.26285071985,0.23906,200000,206101.9051869982,6101.905186998192,1.030509525934991
2020-01-29,0,1.2558559967836336,0.0,0.1157,0.0,0.23539,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-01-30,2,2.010901912099401,0.0,0.1244,0.0,0.24376,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-01-31,2,3.5716165713091295,0.0,0.1429,0.0,0.23946,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-02-01,2,2.438446208630035,0.0,0.1404,0.0,0.24141,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-02-02,2,1.7660554069268164,0.0,0.1419,0.0,0.25093,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-02-03,2,1.5610118503252457,0.0,0.144,0.0,0.25453,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-02-04,2,1.5016414501541797,0.0,0.1529,0.0,0.26737,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-02-05,2,1.3218231220499281,0.0,0.1584,0.0,0.27774,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-02-06,1,1.1579489622366492,-596617.6838323515,0.1609,338908.3330225078,0.28325,200000,191991.57065725065,-8008.429342749354,0.9599578532862533
2020-02-07,1,1.1918824975150963,-596617.6838323515,0.1614,338908.3330225078,0.27953,200000,191029.14050032312,-8970.85949967688,0.9551457025016156
2020-02-08,1,0.8698695676217968,-596617.6838323515,0.1565,338908.3330225078,0.27735,200000,187366.89368355554,-12633.106316444464,0.9368344684177776
2020-02-09,1,0.9388803354456656,-596617.6838323515,0.1621,338908.3330225078,0.28257,200000,192477.0542113942,-7522.945788605808,0.9623852710569709
