date,statusList,zscore,ENJUSDT_position,ENJUSDT_price,BNBUSDT_position,BNBUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.07963,0.0,13.7184,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.07371,0.0,13.0105,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.078,0.0,13.6474,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0772,0.0,13.8092,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.07637,0.0,14.0532,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.07578,0.0,14.9471,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.073,0.0,15.0226,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0754,0.0,14.5334,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.07193,0.0,14.3978,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.073,0.0,15.07,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0721,0.0,14.9177,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.07214,0.0,15.3366,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.07174,0.0,15.1736,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.07253,0.0,16.6371,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.076,0.0,17.6655,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.08131,0.0,17.0333,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.08039,0.0,18.0724,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.07721,0.0,17.8088,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.07361,0.0,17.388,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.0546837577875423,1319261.2137203165,0.0758,-5772.505556036598,17.3235,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.2465304153469368,0.0,0.07661,0.0,18.1166,200000,203509.57257337918,3509.572573379177,1.017547862866896
2020-01-22,0,-0.8549751635687511,0.0,0.07815,0.0,17.8344,200000,203509.57257337918,3509.572573379177,1.017547862866896
2020-01-23,0,0.8376700317364965,0.0,0.08656,0.0,17.0524,200000,203509.57257337918,3509.572573379177,1.017547862866896
2020-01-24,0,0.7530384078767134,0.0,0.08515,0.0,17.1148,200000,203509.57257337918,3509.572573379177,1.017547862866896
