date,statusList,zscore,ZRXUSDT_position,ZRXUSDT_price,IOTAUSDT_position,IOTAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1825,0.0,0.1606,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1752,0.0,0.1584,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1821,0.0,0.1664,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1864,0.0,0.1734,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1861,0.0,0.1718,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1958,0.0,0.1826,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1878,0.0,0.1857,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2133,0.0,0.1811,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.2058,0.0,0.177,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.2026,0.0,0.1902,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.2064,0.0,0.1918,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.2182,0.0,0.1913,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.2102,0.0,0.1884,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.238,0.0,0.2105,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2459,0.0,0.2335,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2474,0.0,0.2279,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2547,0.0,0.2383,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2455,0.0,0.2461,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2312,0.0,0.2462,200000,200000.0,0.0,1.0
2020-01-20,-2,-2.3356781578790153,0.0,0.2316,0.0,0.2523,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.4549935508120297,0.0,0.2415,0.0,0.2503,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.1925317735705052,412371.13402061857,0.2425,-401606.4257028112,0.249,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.1998865627489697,412371.13402061857,0.2283,-401606.4257028112,0.2369,200000,189284.8921459032,-10715.107854096801,0.946424460729516
2020-01-24,-1,-1.1335941628528685,412371.13402061857,0.2275,-401606.4257028112,0.237,200000,188995.15588125697,-11004.844118743029,0.9449757794062849
2020-01-25,-1,-1.0671406400788648,412371.13402061857,0.2242,-401606.4257028112,0.2344,200000,186590.15443216165,-13409.845567838347,0.9329507721608082
2020-01-26,-1,-1.1707944453723285,412371.13402061857,0.2305,-401606.4257028112,0.2457,200000,193726.24518693332,-6273.754813066684,0.9686312259346666
2020-01-27,-2,-1.292907831981395,0.0,0.2316,0.0,0.2522,200000,205779.98592307372,5779.98592307372,1.0288999296153687
2020-01-28,-2,-2.1908777496995158,0.0,0.2316,0.0,0.2863,200000,205779.98592307372,5779.98592307372,1.0288999296153687
2020-01-29,-2,-2.4030126115257757,0.0,0.2255,0.0,0.3041,200000,205779.98592307372,5779.98592307372,1.0288999296153687
2020-01-30,-2,-1.6596002560477783,0.0,0.2331,0.0,0.294,200000,205779.98592307372,5779.98592307372,1.0288999296153687
2020-01-31,-2,-1.5874207007697005,0.0,0.2284,0.0,0.2942,200000,205779.98592307372,5779.98592307372,1.0288999296153687
