date,statusList,zscore,ADAUSDT_position,ADAUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03348,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03269,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03417,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.03434,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0346,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03732,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.037,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03631,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.03616,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03693,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03678,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03792,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.03682,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.04161,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04275,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.04168,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0449,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04489,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.042,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,2,2.034621453729032,0.0,0.04378,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,2,2.0743982651135537,0.0,0.04602,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,2,1.3788270387554722,0.0,0.04575,0.0,0.03952,200000,200000.0,0.0,1.0
2020-01-23,1,1.134125139629028,-2315886.9847151455,0.04318,2649006.622516556,0.03775,200000,199999.99999999997,-2.9103830456733704e-11,0.9999999999999999
2020-01-24,1,1.160186864943839,-2315886.9847151455,0.04495,2649006.622516556,0.03893,200000,207224.94777751534,7224.9477775153355,1.0361247388875767
2020-01-25,1,0.2946385189705794,-2315886.9847151455,0.04314,2649006.622516556,0.03989,200000,205576.2386927968,5576.238692796789,1.027881193463984
2020-01-26,1,1.002500604546283,-2315886.9847151455,0.04477,2649006.622516556,0.03889,200000,206702.12785536592,6702.127855365921,1.0335106392768296
2020-01-27,2,1.7019288186285126,0.0,0.04796,0.0,0.03892,200000,207970.602038594,7970.602038593992,1.03985301019297
2020-01-28,2,2.6896700735850754,0.0,0.0529,0.0,0.03767,200000,207970.602038594,7970.602038593992,1.03985301019297
2020-01-29,2,2.404623345069712,0.0,0.05329,0.0,0.03698,200000,207970.602038594,7970.602038593992,1.03985301019297
2020-01-30,2,2.1318973975133284,0.0,0.05614,0.0,0.0383,200000,207970.602038594,7970.602038593992,1.03985301019297
2020-01-31,2,1.4291100081427148,0.0,0.0539,0.0,0.0389,200000,207970.602038594,7970.602038593992,1.03985301019297
2020-02-01,2,1.6587802757713352,0.0,0.0561,0.0,0.03862,200000,207970.602038594,7970.602038593992,1.03985301019297
2020-02-02,2,1.314359580454047,0.0,0.0557,0.0,0.0394,200000,207970.602038594,7970.602038593992,1.03985301019297
2020-02-03,1,1.0193589775147043,-1825584.6386814783,0.05696,2529440.5502139865,0.04111,200000,207970.60203859396,7970.602038593963,1.0398530101929697
2020-02-04,1,0.7687252199722965,-1825584.6386814783,0.05601,2529440.5502139865,0.04117,200000,206388.06306485942,6388.063064859423,1.0319403153242972
2020-02-05,2,1.239592587480891,0.0,0.05933,0.0,0.04095,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-06,0,0.03685884140825742,0.0,0.06008,0.0,0.04684,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-07,0,-0.03590036844974722,0.0,0.05987,0.0,0.04669,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-08,0,0.32189642458325185,0.0,0.06002,0.0,0.04483,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-09,0,-0.4153303607471038,0.0,0.06188,0.0,0.04946,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-10,0,-0.5040213443317645,0.0,0.06029,0.0,0.04853,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-11,0,-0.6039134010408371,0.0,0.06335,0.0,0.05124,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-12,0,-0.2578114690880494,0.0,0.06817,0.0,0.05301,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-13,0,-0.5264140656877508,0.0,0.06867,0.0,0.05431,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-14,0,-0.3042591575926026,0.0,0.07074,0.0,0.05425,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-15,0,-0.6052003970797014,0.0,0.06426,0.0,0.04983,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-16,0,-0.2751091319222297,0.0,0.06146,0.0,0.0465,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-17,0,-0.3192723789131227,0.0,0.06019,0.0,0.0458,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-18,0,-0.2949098458694635,0.0,0.06274,0.0,0.04787,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-19,0,0.5391518103955881,0.0,0.05737,0.0,0.04213,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-20,2,1.3381315533080549,0.0,0.05815,0.0,0.04101,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-21,1,1.0704241858308554,-1817033.5564693606,0.05853,2529155.15006306,0.04205,200000,212701.94812030334,12701.948120303336,1.0635097406015166
2020-02-22,1,1.0454476204044911,-1817033.5564693606,0.05825,2529155.15006306,0.04199,200000,212041.42941548815,12041.42941548815,1.0602071470774408
