date,statusList,zscore,IOSTUSDT_position,IOSTUSDT_price,TRXUSDT_position,TRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.004817,0.0,0.01322,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.004605,0.0,0.01284,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.004819,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.004869,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.004916,0.0,0.01353,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00512,0.0,0.01472,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00496,0.0,0.01434,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.004716,0.0,0.01402,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.004766,0.0,0.01398,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005095,0.0,0.01469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.004983,0.0,0.0146,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005361,0.0,0.01503,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005108,0.0,0.01464,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005758,0.0,0.01677,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.005815,0.0,0.01729,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005884,0.0,0.01734,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006125,0.0,0.01758,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.005849,0.0,0.01766,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005483,0.0,0.01665,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.9617145291068632,0.0,0.005363,0.0,0.01661,200000,200000.0,0.0,1.0
2020-01-21,-2,-2.3530947882229443,0.0,0.005409,0.0,0.01732,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.940795187742437,0.0,0.005462,0.0,0.01743,200000,200000.0,0.0,1.0
