date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,TRXUSDT_position,TRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,0.01322,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.01284,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.01353,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.01472,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.01434,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.01402,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.01398,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.01469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.0146,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.01503,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.01464,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.01677,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.01729,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.01734,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.01758,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.01766,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.01665,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.3019605045738956,0.0,0.0006756,0.0,0.01661,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.6780956339490847,0.0,0.0006651,0.0,0.01732,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.4870261537424554,0.0,0.0006688,0.0,0.01743,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.2408683052793366,0.0,0.0006333,0.0,0.01628,200000,200000.0,0.0,1.0
2020-01-24,-1,-1.188201584167739,157579577.6867318,0.0006346,-6101281.269066504,0.01639,200000,200000.0,0.0,1.0
2020-01-25,-1,-1.148594770081001,157579577.6867318,0.000621,-6101281.269066504,0.01613,200000,196270.58461350316,-3729.4153864968393,0.9813529230675158
2020-01-26,-2,-1.243344879153667,0.0,0.0006347,0.0,0.01684,200000,202729.81861331128,2729.818613311276,1.0136490930665565
2020-01-27,-1,-1.0421086708686347,155443811.23547867,0.0006521,-5917391.086202898,0.01713,200000,202729.81861331128,2729.818613311276,1.0136490930665565
2020-01-28,-2,-1.7646019142414608,0.0,0.000648,0.0,0.0186,200000,212065.70313609496,12065.703136094962,1.060328515680475
2020-01-29,-2,-1.5998646324128523,0.0,0.0006531,0.0,0.01866,200000,212065.70313609496,12065.703136094962,1.060328515680475
2020-01-30,-2,-2.015820957562458,0.0,0.000638,0.0,0.0195,200000,212065.70313609496,12065.703136094962,1.060328515680475
2020-01-31,-2,-1.541190650722857,0.0,0.0006329,0.0,0.01867,200000,212065.70313609496,12065.703136094962,1.060328515680475
2020-02-01,-2,-1.4522029677780182,0.0,0.0006448,0.0,0.01907,200000,212065.70313609496,12065.703136094962,1.060328515680475
2020-02-02,0,-0.9956633827565204,0.0,0.0006719,0.0,0.01909,200000,212065.70313609496,12065.703136094962,1.060328515680475
2020-02-03,-1,-1.1400118781112338,160194669.2371166,0.0006619,-5522544.352502474,0.0192,200000,212065.70313609496,12065.703136094962,1.060328515680475
2020-02-04,-1,-0.4840337843224718,160194669.2371166,0.000695,-5522544.352502474,0.01925,200000,217644.27390546864,17644.27390546864,1.0882213695273433
2020-02-05,-2,-1.297791174703354,0.0,0.0006959,0.0,0.02076,200000,215234.2535719369,15234.25357193689,1.0761712678596844
2020-02-06,-2,-1.4969401364921697,0.0,0.00074,0.0,0.02271,200000,215234.2535719369,15234.25357193689,1.0761712678596844
2020-02-07,0,-0.47743930780740057,0.0,0.0007744,0.0,0.02204,200000,215234.2535719369,15234.25357193689,1.0761712678596844
2020-02-08,0,0.37832936552694696,0.0,0.000808,0.0,0.02179,200000,215234.2535719369,15234.25357193689,1.0761712678596844
2020-02-09,0,0.14776313614304898,0.0,0.0008003,0.0,0.02206,200000,215234.2535719369,15234.25357193689,1.0761712678596844
