date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,LTCUSDT_position,LTCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,41.62,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,39.43,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,42.23,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,42.78,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,43.3,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,45.8,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,46.3,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,45.35,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,44.74,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,49.06,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,49.3,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,51.43,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,49.6,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,58.39,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,58.16,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,57.56,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,61.02,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,59.32,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,57.6,200000,200000.0,0.0,1.0
2020-01-20,2,1.231303255036483,0.0,109.91,0.0,57.19,200000,200000.0,0.0,1.0
2020-01-21,1,1.1072524130876058,-904.9773755656108,110.5,1737.0158068438423,57.57,200000,200000.0,0.0,1.0
2020-01-22,1,0.8421536019956445,-904.9773755656108,107.8,1737.0158068438423,58.33,200000,198876.69309917418,-1123.3069008258171,0.9943834654958709
2020-01-23,1,0.8434908959882522,-904.9773755656108,102.72,1737.0158068438423,54.52,200000,187661.37780722583,-12338.622192774172,0.9383068890361291
