date,statusList,zscore,NULSUSDT_position,NULSUSDT_price,ZILUSDT_position,ZILUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.2308,0.0,0.00454,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.2207,0.0,0.00438,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.2284,0.0,0.00454,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.2337,0.0,0.00461,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.234,0.0,0.00463,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2456,0.0,0.00489,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.23,0.0,0.00481,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2251,0.0,0.00469,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.226,0.0,0.00459,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.2279,0.0,0.00469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.2339,0.0,0.00465,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.2382,0.0,0.00478,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.2348,0.0,0.00467,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.2461,0.0,0.00507,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2584,0.0,0.00523,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2585,0.0,0.00514,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2692,0.0,0.00544,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2754,0.0,0.00528,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2618,0.0,0.00511,200000,200000.0,0.0,1.0
2020-01-20,2,1.4574059457785495,0.0,0.2635,0.0,0.0051,200000,200000.0,0.0,1.0
2020-01-21,2,2.0927331774979887,0.0,0.2704,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-22,2,1.9733985987101805,0.0,0.2757,0.0,0.00519,200000,200000.0,0.0,1.0
2020-01-23,1,1.06163346842351,-388349.51456310676,0.2575,20161290.322580647,0.00496,200000,200000.0,0.0,1.0
2020-01-24,2,2.173103896977155,0.0,0.2683,0.0,0.00494,200000,204597.40056373316,4597.4005637331575,1.0229870028186658
2020-01-25,2,1.3476982009859584,0.0,0.2624,0.0,0.00494,200000,204597.40056373316,4597.4005637331575,1.0229870028186658
2020-01-26,0,0.8942306012875367,0.0,0.2684,0.0,0.00512,200000,204597.40056373316,4597.4005637331575,1.0229870028186658
2020-01-27,1,1.0596998849633923,-378323.59571696224,0.2704,20019315.12365295,0.00511,200000,204597.40056373316,4597.4005637331575,1.0229870028186658
2020-01-28,0,0.18589221872275935,0.0,0.2733,0.0,0.00531,200000,201690.67596658177,1690.6759665817663,1.0084533798329087
2020-01-29,-1,-1.146341122611783,371164.29143647733,0.2717,-18269082.96798748,0.00552,200000,201690.6759665818,1690.6759665817954,1.008453379832909
