date,statusList,zscore,NULSUSDT_position,NULSUSDT_price,ICXUSDT_position,ICXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.2308,0.0,0.1146,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.2207,0.0,0.1096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.2284,0.0,0.1142,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.2337,0.0,0.1139,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.234,0.0,0.1135,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2456,0.0,0.1248,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.23,0.0,0.1201,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2251,0.0,0.1171,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.226,0.0,0.1167,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.2279,0.0,0.1188,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.2339,0.0,0.1202,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.2382,0.0,0.1215,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.2348,0.0,0.1229,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.2461,0.0,0.1394,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2584,0.0,0.143,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2585,0.0,0.1455,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2692,0.0,0.1527,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2754,0.0,0.1532,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2618,0.0,0.1462,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.531760129014639,0.0,0.2635,0.0,0.1511,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.5396702948433019,0.0,0.2704,0.0,0.157,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.0556153712855727,362713.09394269134,0.2757,-639386.189258312,0.1564,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.2899129300175638,0.0,0.2575,0.0,0.1495,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-01-24,0,-0.6820331576332838,0.0,0.2683,0.0,0.1507,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-01-25,-2,-1.4863096003919498,0.0,0.2624,0.0,0.155,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-01-26,-2,-2.4840547235887716,0.0,0.2684,0.0,0.1738,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-01-27,-2,-2.1978831008200777,0.0,0.2704,0.0,0.1775,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-01-28,-2,-2.1824484867166283,0.0,0.2733,0.0,0.186,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-01-29,-2,-2.6724363601685597,0.0,0.2717,0.0,0.2112,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-01-30,-2,-2.5821406082385634,0.0,0.2786,0.0,0.238,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-01-31,-2,-2.396878762753113,0.0,0.2815,0.0,0.2589,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-02-01,-2,-2.1228165196194446,0.0,0.2908,0.0,0.2751,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-02-02,-2,-2.071563795243687,0.0,0.3076,0.0,0.3176,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-02-03,-2,-2.1194811165937497,0.0,0.3054,0.0,0.3705,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-02-04,-2,-2.1720731915314535,0.0,0.3321,0.0,0.5091,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-02-05,-2,-1.5922343640701218,0.0,0.3427,0.0,0.4369,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-02-06,-2,-1.4200862988377245,0.0,0.3579,0.0,0.4574,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-02-07,-1,-1.162634343377538,293198.395597266,0.3448,-245197.2030122176,0.4123,200000,202189.61360387463,2189.6136038746336,1.0109480680193732
2020-02-08,-1,-1.0050810699727701,293198.395597266,0.3482,-245197.2030122176,0.4056,200000,201543.6668887235,1543.6668887234991,1.0077183344436176
2020-02-09,-1,-0.9894732385957892,293198.395597266,0.3609,-245197.2030122176,0.438,200000,213211.67589040461,13211.675890404615,1.066058379452023
2020-02-10,-1,-0.839202152326176,293198.395597266,0.3461,-245197.2030122176,0.4077,200000,201442.86438429487,1442.8643842948659,1.0072143219214744
2020-02-11,-1,-0.6778959841074614,293198.395597266,0.3668,-245197.2030122176,0.4161,200000,209571.7276784609,9571.727678460913,1.0478586383923045
2020-02-12,-1,-0.4426244308159281,293198.395597266,0.3976,-245197.2030122176,0.423,200000,220294.09896364098,20294.09896364098,1.1014704948182048
2020-02-13,0,-0.11711925505568674,0.0,0.391,0.0,0.3843,200000,181778.3260429388,-18221.673957061197,0.908891630214694
2020-02-14,0,0.14477276999069327,0.0,0.4271,0.0,0.4036,200000,181778.3260429388,-18221.673957061197,0.908891630214694
2020-02-15,0,0.1362887155352076,0.0,0.3688,0.0,0.3595,200000,181778.3260429388,-18221.673957061197,0.908891630214694
2020-02-16,0,0.048999892195201185,0.0,0.3419,0.0,0.35,200000,181778.3260429388,-18221.673957061197,0.908891630214694
2020-02-17,0,-0.02295941592662298,0.0,0.3239,0.0,0.3455,200000,181778.3260429388,-18221.673957061197,0.908891630214694
2020-02-18,0,-0.11330182288183187,0.0,0.3473,0.0,0.3826,200000,181778.3260429388,-18221.673957061197,0.908891630214694
2020-02-19,0,-0.32569236609986474,0.0,0.3163,0.0,0.3633,200000,181778.3260429388,-18221.673957061197,0.908891630214694
2020-02-20,0,-0.8106325240941665,0.0,0.3147,0.0,0.3896,200000,181778.3260429388,-18221.673957061197,0.908891630214694
2020-02-21,-1,-1.078606210742613,279745.03853945644,0.3249,-215275.1374265026,0.4222,200000,181778.3260429388,-18221.673957061197,0.908891630214694
2020-02-22,-1,-0.9247231507634295,279745.03853945644,0.3153,-215275.1374265026,0.4067,200000,175756.00904284924,-24243.99095715076,0.8787800452142462
2020-02-23,-1,-0.5652907959247343,279745.03853945644,0.327,-215275.1374265026,0.4033,200000,178297.09052651073,-21702.90947348927,0.8914854526325536
2020-02-24,-1,-0.38777186186926826,279745.03853945644,0.3079,-215275.1374265026,0.365,200000,164708.92252697208,-35291.07747302792,0.8235446126348605
2020-02-25,-1,-0.44289972374628434,279745.03853945644,0.2752,-215275.1374265026,0.3266,200000,147294.69448955415,-52705.30551044585,0.7364734724477708
2020-02-26,-1,-0.34591057919438023,279745.03853945644,0.259,-215275.1374265026,0.3027,200000,137617.74908072158,-62382.25091927842,0.688088745403608
2020-02-27,-1,-0.7098782037651312,279745.03853945644,0.2555,-215275.1374265026,0.3099,200000,138188.62243530428,-61811.37756469572,0.6909431121765214
2020-02-28,-1,-0.7067897066879094,279745.03853945644,0.2516,-215275.1374265026,0.306,200000,136258.04374903702,-63741.956250962976,0.6812902187451851
2020-02-29,-1,-0.7786847885507951,279745.03853945644,0.2395,-215275.1374265026,0.2937,200000,130225.24459236363,-69774.75540763637,0.6511262229618182
2020-03-01,-1,-0.45265298615835997,279745.03853945644,0.2423,-215275.1374265026,0.2875,200000,129673.82484822978,-70326.17515177022,0.6483691242411489
2020-03-02,-1,-0.6287715538287652,279745.03853945644,0.2614,-215275.1374265026,0.3171,200000,141389.0991521579,-58610.9008478421,0.7069454957607895
2020-03-03,-2,-1.329836442895521,0.0,0.255,0.0,0.3399,200000,183615.36042664564,-16384.63957335436,0.9180768021332282
2020-03-04,0,-0.6103253486312022,0.0,0.2631,0.0,0.3257,200000,183615.36042664564,-16384.63957335436,0.9180768021332282
2020-03-05,-2,-2.0712892452302065,0.0,0.268,0.0,0.3958,200000,183615.36042664564,-16384.63957335436,0.9180768021332282
2020-03-06,-2,-1.4899919477944492,0.0,0.2748,0.0,0.3812,200000,183615.36042664564,-16384.63957335436,0.9180768021332282
2020-03-07,0,-0.8483489904120209,0.0,0.2675,0.0,0.351,200000,183615.36042664564,-16384.63957335436,0.9180768021332282
2020-03-08,0,-0.4691495523996628,0.0,0.2266,0.0,0.2903,200000,183615.36042664564,-16384.63957335436,0.9180768021332282
2020-03-09,-2,-1.7147094188981282,0.0,0.2307,0.0,0.3266,200000,183615.36042664564,-16384.63957335436,0.9180768021332282
2020-03-10,-1,-1.1361597540040183,398643.85676649073,0.2303,-291360.4576747789,0.3151,200000,183615.36042664564,-16384.63957335436,0.9180768021332282
2020-03-11,-1,-0.7523369064441342,398643.85676649073,0.2251,-291360.4576747789,0.3014,200000,177550.77410131542,-22449.225898684585,0.8877538705065771
2020-03-12,-2,-1.2426223662552836,0.0,0.1184,0.0,0.1653,200000,184577.81143913412,-15422.188560865878,0.9228890571956706
2020-03-13,-2,-1.3613511995329328,0.0,0.1342,0.0,0.1911,200000,184577.81143913412,-15422.188560865878,0.9228890571956706
2020-03-14,-2,-1.3467409111020556,0.0,0.1262,0.0,0.1819,200000,184577.81143913412,-15422.188560865878,0.9228890571956706
2020-03-15,-1,-1.1448947550572643,700750.9925555584,0.1317,-489596.31681467936,0.1885,200000,184577.81143913412,-15422.188560865878,0.9228890571956706
2020-03-16,-2,-1.3541585132662761,0.0,0.114,0.0,0.1682,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-17,0,-0.7133408129026111,0.0,0.1283,0.0,0.1804,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-18,0,-0.5377381579596864,0.0,0.1306,0.0,0.1822,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-19,0,-0.45012175030580953,0.0,0.1496,0.0,0.2085,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-20,0,0.37653709794487694,0.0,0.1525,0.0,0.2021,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-21,0,0.5545746857020921,0.0,0.1517,0.0,0.201,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-22,0,0.8168753931319349,0.0,0.1391,0.0,0.1837,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-23,0,0.5216664197159686,0.0,0.1487,0.0,0.1991,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-24,0,-0.3973397719238923,0.0,0.1489,0.0,0.2089,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-25,0,-0.6081945933195259,0.0,0.1458,0.0,0.2055,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-26,2,3.8968752088046275,0.0,0.2099,0.0,0.2092,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-27,2,1.9962621162996343,0.0,0.1749,0.0,0.1945,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-28,2,1.639426513182378,0.0,0.1697,0.0,0.1913,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-29,1,1.1471593275338847,-610053.15973917,0.1533,522756.5644942132,0.1789,200000,187042.2987760295,-12957.701223970507,0.9352114938801475
2020-03-30,2,2.270272969200591,0.0,0.2055,0.0,0.2055,200000,204981.7490988681,4981.749098868109,1.0249087454943406
2020-03-31,2,1.544112662393866,0.0,0.2009,0.0,0.2118,200000,204981.7490988681,4981.749098868109,1.0249087454943406
2020-04-01,0,0.5267237663296521,0.0,0.207,0.0,0.2447,200000,204981.7490988681,4981.749098868109,1.0249087454943406
2020-04-02,0,-0.01744125445939219,0.0,0.1985,0.0,0.2505,200000,204981.7490988681,4981.749098868109,1.0249087454943406
2020-04-03,0,0.13832388521046607,0.0,0.197,0.0,0.2419,200000,204981.7490988681,4981.749098868109,1.0249087454943406
