date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,TRXUSDT_position,TRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,0.01322,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,0.01284,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,0.01353,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,0.01472,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,0.01434,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,0.01402,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,0.01398,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,0.01469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,0.0146,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,0.01503,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,0.01464,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,0.01677,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,0.01729,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,0.01734,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,0.01758,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,0.01766,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,0.01665,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.7511094460830148,0.0,0.1043,0.0,0.01661,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.8450449256431405,0.0,0.1062,0.0,0.01732,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.6257148724393382,0.0,0.107,0.0,0.01743,200000,200000.0,0.0,1.0
2020-01-23,0,-0.22581564300027795,0.0,0.1087,0.0,0.01628,200000,200000.0,0.0,1.0
2020-01-24,0,-0.999870739120198,0.0,0.104,0.0,0.01639,200000,200000.0,0.0,1.0
2020-01-25,0,-0.7018794824606008,0.0,0.1037,0.0,0.01613,200000,200000.0,0.0,1.0
2020-01-26,-1,-1.0845708932501976,948766.6034155599,0.1054,-5938242.280285035,0.01684,200000,200000.0,0.0,1.0
2020-01-27,-1,-1.1915718696744717,948766.6034155599,0.1058,-5938242.280285035,0.01713,200000,202101.5969026489,2101.596902648889,1.0105079845132445
2020-01-28,-2,-1.9685597798509722,0.0,0.1083,0.0,0.0186,200000,207699.8832633965,7699.883263396507,1.0384994163169825
2020-01-29,0,-0.8269212374887003,0.0,0.1157,0.0,0.01866,200000,207699.8832633965,7699.883263396507,1.0384994163169825
2020-01-30,0,-0.24010301749724422,0.0,0.1244,0.0,0.0195,200000,207699.8832633965,7699.883263396507,1.0384994163169825
2020-01-31,2,2.9200992430159056,0.0,0.1429,0.0,0.01867,200000,207699.8832633965,7699.883263396507,1.0384994163169825
2020-02-01,2,1.9840604891797036,0.0,0.1404,0.0,0.01907,200000,207699.8832633965,7699.883263396507,1.0384994163169825
2020-02-02,2,1.9435803878777964,0.0,0.1419,0.0,0.01909,200000,207699.8832633965,7699.883263396507,1.0384994163169825
2020-02-03,2,1.8237801385756265,0.0,0.144,0.0,0.0192,200000,207699.8832633965,7699.883263396507,1.0384994163169825
2020-02-04,2,2.1933723342343723,0.0,0.1529,0.0,0.01925,200000,207699.8832633965,7699.883263396507,1.0384994163169825
2020-02-05,2,1.4781627106157855,0.0,0.1584,0.0,0.02076,200000,207699.8832633965,7699.883263396507,1.0384994163169825
2020-02-06,0,0.5787206573318066,0.0,0.1609,0.0,0.02271,200000,207699.8832633965,7699.883263396507,1.0384994163169825
2020-02-07,0,0.863904452070623,0.0,0.1614,0.0,0.02204,200000,207699.8832633965,7699.883263396507,1.0384994163169825
