date,statusList,zscore,BNBUSDT_position,BNBUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,13.7184,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,13.0105,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,13.6474,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,13.8092,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,14.0532,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,14.9471,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,15.0226,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,14.5334,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,14.3978,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,15.07,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,14.9177,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,15.3366,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,15.1736,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,16.6371,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,17.6655,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,17.0333,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,18.0724,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,17.8088,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,17.388,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,2,1.6584915240033271,0.0,17.3235,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,2.107812571389021,0.0,18.1166,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,2,1.5954743334068744,0.0,17.8344,0.0,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,2,1.545914181067878,0.0,17.0524,0.0,0.0006333,200000,200000.0,0.0,1.0
2020-01-24,2,1.423344745216642,0.0,17.1148,0.0,0.0006346,200000,200000.0,0.0,1.0
2020-01-25,2,1.4256051918120316,0.0,16.9555,0.0,0.000621,200000,200000.0,0.0,1.0
2020-01-26,2,1.400582076045085,0.0,17.499,0.0,0.0006347,200000,200000.0,0.0,1.0
2020-01-27,1,1.070458222531926,-5659.309564233163,17.67,153350713.08081582,0.0006521,200000,200000.0,0.0,1.0
2020-01-28,2,1.3091000911541997,0.0,18.0662,0.0,0.000648,200000,202870.9563729805,2870.956372980494,1.0143547818649026
2020-01-29,1,1.0144153349268061,-5662.54748883463,17.9134,155313854.2129693,0.0006531,200000,202870.9563729805,2870.956372980494,1.0143547818649026
2020-01-30,2,1.679961981990085,0.0,18.5555,0.0,0.000638,200000,208852.11731417704,8852.117314177041,1.0442605865708852
2020-01-31,2,1.4474238883737989,0.0,18.2644,0.0,0.0006329,200000,208852.11731417704,8852.117314177041,1.0442605865708852
2020-02-01,1,1.1029237602495827,-5714.085682076722,18.2752,161951083.52526137,0.0006448,200000,208852.11731417704,8852.117314177041,1.0442605865708852
2020-02-02,1,0.5222655593442563,-5714.085682076722,18.4333,161951083.52526137,0.0006719,200000,214144.38862404798,14144.388624047977,1.07072194312024
2020-02-03,1,0.757360838389122,-5714.085682076722,18.46,161951083.52526137,0.0006619,200000,212677.4438765068,12677.44387650679,1.063387219382534
2020-02-04,0,-0.5897403515847822,0.0,18.1778,0.0,0.000695,200000,200165.62097577465,165.62097577465465,1.0008281048788732
2020-02-05,0,0.5130332870192098,0.0,19.262,0.0,0.0006959,200000,200165.62097577465,165.62097577465465,1.0008281048788732
2020-02-06,0,0.6608158025061363,0.0,20.6675,0.0,0.00074,200000,200165.62097577465,165.62097577465465,1.0008281048788732
2020-02-07,1,1.1490844784476089,-4537.771099629904,22.0555,129239166.43580492,0.0007744,200000,200165.62097577465,165.62097577465465,1.0008281048788732
2020-02-08,0,-0.6022500829981775,0.0,21.7888,0.0,0.000808,200000,194612.96143126028,-5387.038568739721,0.9730648071563014
2020-02-09,2,2.816662646608782,0.0,24.38,0.0,0.0008003,200000,194612.96143126028,-5387.038568739721,0.9730648071563014
2020-02-10,2,3.3063869398508783,0.0,25.1465,0.0,0.0007595,200000,194612.96143126028,-5387.038568739721,0.9730648071563014
2020-02-11,2,2.60762999790483,0.0,25.6963,0.0,0.000771,200000,194612.96143126028,-5387.038568739721,0.9730648071563014
2020-02-12,2,1.2870939628523779,0.0,26.4243,0.0,0.0008498,200000,194612.96143126028,-5387.038568739721,0.9730648071563014
2020-02-13,0,0.28273143068625345,0.0,25.4579,0.0,0.0008714,200000,194612.96143126028,-5387.038568739721,0.9730648071563014
2020-02-14,0,0.40702430712308163,0.0,26.3547,0.0,0.0008915,200000,194612.96143126028,-5387.038568739721,0.9730648071563014
2020-02-15,0,-0.1346153854981307,0.0,24.2576,0.0,0.000849,200000,194612.96143126028,-5387.038568739721,0.9730648071563014
2020-02-16,0,-0.346484495434527,0.0,23.3193,0.0,0.0008258,200000,194612.96143126028,-5387.038568739721,0.9730648071563014
2020-02-17,0,0.37074028601910397,0.0,23.4555,0.0,0.0007907,200000,194612.96143126028,-5387.038568739721,0.9730648071563014
