date,statusList,zscore,QTUMUSDT_position,QTUMUSDT_price,THETAUSDT_position,THETAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.603,0.0,0.08656,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,1.533,0.0,0.08443,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,1.629,0.0,0.08771,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,1.642,0.0,0.09394,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,1.631,0.0,0.09421,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,1.747,0.0,0.09987,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,1.735,0.0,0.09608,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,1.683,0.0,0.09873,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,1.634,0.0,0.09294,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,1.734,0.0,0.09509,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,1.74,0.0,0.09437,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,1.754,0.0,0.09589,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,1.701,0.0,0.09703,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,1.915,0.0,0.10598,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,1.974,0.0,0.10438,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,1.932,0.0,0.10368,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,2.092,0.0,0.11193,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,2.035,0.0,0.10876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,1.931,0.0,0.1126,200000,200000.0,0.0,1.0
2020-01-20,0,-0.9140916596122997,0.0,1.923,0.0,0.10998,200000,200000.0,0.0,1.0
2020-01-21,0,-0.7861726610641856,0.0,1.95,0.0,0.11136,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.7866150572254127,0.0,1.994,0.0,0.119,200000,200000.0,0.0,1.0
