date,statusList,zscore,ATOMUSDT_position,ATOMUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-02-05,-2,-1.5668665260969865,0.0,4.33,0.0,0.04095,200000,200000.0,0.0,1.0
2020-02-06,-2,-2.3357998666611812,0.0,4.589,0.0,0.04684,200000,200000.0,0.0,1.0
2020-02-07,-2,-1.3841578421107843,0.0,4.825,0.0,0.04669,200000,200000.0,0.0,1.0
2020-02-08,-2,-1.2534373552101798,0.0,4.629,0.0,0.04483,200000,200000.0,0.0,1.0
2020-02-09,-2,-1.9164196442661157,0.0,4.757,0.0,0.04946,200000,200000.0,0.0,1.0
2020-02-10,-2,-1.4758043427318919,0.0,4.773,0.0,0.04853,200000,200000.0,0.0,1.0
2020-02-11,-1,-1.1829486695041038,19588.638589618018,5.105,-1951600.3122560498,0.05124,200000,200000.0,0.0,1.0
2020-02-12,-2,-1.4270088390151603,0.0,5.109,0.0,0.05301,200000,203375.97799833474,3375.97799833474,1.0168798899916738
2020-02-13,-2,-1.8617411464370208,0.0,4.906,0.0,0.05431,200000,203375.97799833474,3375.97799833474,1.0168798899916738
2020-02-14,-2,-1.2726303306691362,0.0,5.111,0.0,0.05425,200000,203375.97799833474,3375.97799833474,1.0168798899916738
2020-02-15,-2,-1.3115829986437213,0.0,4.608,0.0,0.04983,200000,203375.97799833474,3375.97799833474,1.0168798899916738
2020-02-16,-1,-1.0188842980272368,23205.839570782147,4.382,-2186838.4731003735,0.0465,200000,203375.97799833474,3375.97799833474,1.0168798899916738
2020-02-17,-1,-1.0610220934923786,23205.839570782147,4.27,-2186838.4731003735,0.0458,200000,199246.13703523687,-753.8629647631315,0.9962306851761843
2020-02-18,-1,-1.0525084929652566,23205.839570782147,4.441,-2186838.4731003735,0.04787,200000,207741.0912411584,7741.0912411583995,1.038705456205792
2020-02-19,-1,-0.23657035500555543,23205.839570782147,4.146,-2186838.4731003735,0.04213,200000,188342.91573218151,-11657.084267818485,0.9417145786609076
2020-02-20,0,1.3544421233203068,0.0,4.461,0.0,0.04101,200000,189536.97345492186,-10463.026545078144,0.9476848672746093
2020-02-21,2,2.497556961631967,0.0,4.953,0.0,0.04205,200000,189536.97345492186,-10463.026545078144,0.9476848672746093
2020-02-22,2,2.388617929555641,0.0,5.011,0.0,0.04199,200000,189536.97345492186,-10463.026545078144,0.9476848672746093
2020-02-23,1,1.1762362720988864,-19768.144916032736,4.794,2182599.8785688835,0.04342,200000,189536.97345492186,-10463.026545078144,0.9476848672746093
2020-02-24,1,0.852454804815909,-19768.144916032736,4.393,2182599.8785688835,0.04061,200000,175476.84168481416,-24523.158315185836,0.8773842084240708
2020-02-25,1,0.7785913992018682,-19768.144916032736,4.051,2182599.8785688835,0.03761,200000,162168.33648782433,-37831.66351217567,0.8108416824391217
2020-02-26,1,1.103508020385324,-19768.144916032736,3.641,2182599.8785688835,0.03268,200000,143303.1796709063,-56696.820329093694,0.7165158983545316
2020-02-27,1,1.1467634972194918,-19768.144916032736,3.692,2182599.8785688835,0.03278,200000,144529.61504948087,-55470.38495051913,0.7226480752474043
2020-02-28,1,0.7471550028544657,-19768.144916032736,3.548,2182599.8785688835,0.03242,200000,140897.26622528734,-59102.73377471266,0.7044863311264367
2020-02-29,1,0.43507262416108117,-19768.144916032736,3.443,2182599.8785688835,0.03215,200000,138232.30904189032,-61767.690958109684,0.6911615452094515
2020-03-01,0,0.017498691133541886,0.0,3.347,0.0,0.03232,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-02,0,0.3052970047098305,0.0,3.709,0.0,0.03483,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-03,0,0.2709732736611307,0.0,3.623,0.0,0.03397,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-04,0,-0.2915836734855035,0.0,3.743,0.0,0.03653,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-05,0,-0.2637534524603244,0.0,3.756,0.0,0.03638,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-06,0,-0.29042219309370376,0.0,3.854,0.0,0.03714,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-07,0,-0.5954415206242397,0.0,3.618,0.0,0.03539,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-08,0,-0.6550987041673798,0.0,3.081,0.0,0.02999,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-09,0,-0.3017571752072109,0.0,3.026,0.0,0.02859,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-10,0,-0.3341642125551864,0.0,3.062,0.0,0.02883,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-11,0,-0.3886110766356068,0.0,2.994,0.0,0.0283,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-12,2,3.912839188655707,0.0,1.615,0.0,0.01071,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-13,2,2.5254910727712763,0.0,1.804,0.0,0.01262,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-14,2,2.9120855961745167,0.0,1.837,0.0,0.01116,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-15,2,2.4027724117044826,0.0,1.921,0.0,0.01147,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-16,2,2.0590909676334164,0.0,1.671,0.0,0.00987,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-17,2,1.5470957549188542,0.0,1.763,0.0,0.01088,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-18,2,1.4943832936880281,0.0,1.811,0.0,0.01092,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-19,2,1.2641068314716122,0.0,2.067,0.0,0.01264,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-20,1,1.1868030220650947,-42761.969148622884,2.165,7061759.207228722,0.01311,200000,185159.32641353708,-14840.673586462915,0.9257966320676854
2020-03-21,1,0.9237985266503249,-42761.969148622884,2.168,7061759.207228722,0.01353,200000,188253.55118801905,-11746.448811980954,0.9412677559400953
2020-03-22,1,0.8743082610467013,-42761.969148622884,1.917,7061759.207228722,0.01187,200000,165797.776647715,-34202.223352284986,0.828988883238575
2020-03-23,1,0.634561790546607,-42761.969148622884,2.111,7061759.207228722,0.01348,200000,185463.0309861861,-14536.969013813912,0.9273151549309304
2020-03-24,1,0.5396102009389108,-42761.969148622884,2.143,7061759.207228722,0.01374,200000,188667.47139282146,-11332.528607178538,0.9433373569641073
2020-03-25,0,0.09311515549642224,0.0,2.079,0.0,0.0143,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-03-26,0,0.26878228396901216,0.0,2.173,0.0,0.01429,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-03-27,0,-0.2393766042945754,0.0,1.992,0.0,0.01405,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-03-28,0,-0.18831601680264817,0.0,1.971,0.0,0.01354,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-03-29,0,-0.19905159350100465,0.0,1.85,0.0,0.0125,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-03-30,0,-0.8012443129430572,0.0,1.957,0.0,0.01381,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-03-31,-2,-1.6159585836884192,0.0,1.95,0.0,0.01404,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-04-01,-2,-1.4150218245658843,0.0,1.969,0.0,0.01411,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-04-02,-2,-1.5617909303760065,0.0,1.982,0.0,0.01446,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-04-03,-2,-1.4203237862343505,0.0,1.978,0.0,0.01447,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-04-04,-2,-1.2777443745106953,0.0,2.022,0.0,0.01478,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-04-05,0,-0.5959768376475877,0.0,2.064,0.0,0.01437,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-04-06,0,0.3515813776990094,0.0,2.407,0.0,0.01573,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-04-07,0,0.14287823673212702,0.0,2.346,0.0,0.01564,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-04-08,0,0.7572549848501651,0.0,2.493,0.0,0.01609,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-04-09,0,0.7934538562733509,0.0,2.573,0.0,0.0167,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-04-10,1,1.000834399389734,-37511.552581307624,2.307,5819714.311034075,0.01487,200000,173078.30361015338,-26921.69638984662,0.8653915180507669
2020-04-11,1,1.0410410779656103,-37511.552581307624,2.306,5819714.311034075,0.01492,200000,173331.7777731238,-26668.222226876213,0.8666588888656189
2020-04-12,1,0.8432330683797095,-37511.552581307624,2.299,5819714.311034075,0.01505,200000,173825.75976548903,-26174.240234510973,0.8691287988274452
2020-04-13,1,0.7207956446878014,-37511.552581307624,2.259,5819714.311034075,0.01491,200000,171510.537658692,-28489.46234130801,0.8575526882934599
2020-04-14,2,1.421316256076975,0.0,2.361,0.0,0.015,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-15,2,1.7121120628987287,0.0,2.27,0.0,0.01411,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-16,2,1.6657952559880849,0.0,2.422,0.0,0.01491,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-17,0,0.9802283027352746,0.0,2.367,0.0,0.01502,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-18,2,1.396019677564373,0.0,2.509,0.0,0.01544,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-19,0,0.2928214721819866,0.0,2.382,0.0,0.01555,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-20,0,0.7554494165446515,0.0,2.271,0.0,0.01438,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-21,0,0.6393677237192489,0.0,2.271,0.0,0.01441,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-22,0,0.9212649109800518,0.0,2.388,0.0,0.01489,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-23,0,0.5341520442712872,0.0,2.427,0.0,0.01536,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-24,2,1.3361293923632176,0.0,2.748,0.0,0.01693,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-25,-2,-2.876302300881943,0.0,2.871,0.0,0.02032,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-26,-1,-1.127243115062879,31044.758651906974,2.808,-4651743.985835367,0.01874,200000,174347.36458910955,-25652.63541089045,0.8717368229455478
2020-04-27,-2,-2.759419309379526,0.0,2.767,0.0,0.02023,200000,182551.29823273246,-17448.701767267543,0.9127564911636623
2020-04-28,-2,-2.3064167703877407,0.0,2.793,0.0,0.02055,200000,182551.29823273246,-17448.701767267543,0.9127564911636623
2020-04-29,-2,-1.5894570396097294,0.0,2.929,0.0,0.02094,200000,182551.29823273246,-17448.701767267543,0.9127564911636623
2020-04-30,-2,-1.6835383194057196,0.0,2.734,0.0,0.01997,200000,182551.29823273246,-17448.701767267543,0.9127564911636623
2020-05-01,-2,-1.417411527209843,0.0,2.828,0.0,0.02053,200000,182551.29823273246,-17448.701767267543,0.9127564911636623
2020-05-02,0,-0.9440836610279499,0.0,2.873,0.0,0.02029,200000,182551.29823273246,-17448.701767267543,0.9127564911636623
2020-05-03,-1,-1.1560549388533734,32903.983098906356,2.774,-4552401.452187842,0.02005,200000,182551.29823273246,-17448.701767267543,0.9127564911636623
2020-05-04,-1,-0.36476433457222485,32903.983098906356,2.761,-4552401.452187842,0.0189,200000,176888.28478243068,-23111.71521756932,0.8844414239121534
2020-05-05,-1,-1.0212606450817217,32903.983098906356,2.707,-4552401.452187842,0.01959,200000,178252.62669709933,-21747.37330290067,0.8912631334854967
2020-05-06,-1,-0.6312762557220668,32903.983098906356,2.619,-4552401.452187842,0.01852,200000,170486.00663055456,-29513.993369445438,0.8524300331527728
2020-05-07,0,0.36669723579892494,0.0,2.725,0.0,0.01806,200000,175104.31451472506,-24895.68548527494,0.8755215725736253
2020-05-08,0,0.2114141221417204,0.0,2.806,0.0,0.01889,200000,175104.31451472506,-24895.68548527494,0.8755215725736253
2020-05-09,0,0.0061774554659753894,0.0,2.75,0.0,0.01879,200000,175104.31451472506,-24895.68548527494,0.8755215725736253
2020-05-10,0,-0.3916784072961559,0.0,2.514,0.0,0.01768,200000,175104.31451472506,-24895.68548527494,0.8755215725736253
2020-05-11,0,-0.45032888002655963,0.0,2.394,0.0,0.01697,200000,175104.31451472506,-24895.68548527494,0.8755215725736253
2020-05-12,0,-0.605596112461671,0.0,2.486,0.0,0.01785,200000,175104.31451472506,-24895.68548527494,0.8755215725736253
2020-05-13,0,-0.8495887105215113,0.0,2.54,0.0,0.01853,200000,175104.31451472506,-24895.68548527494,0.8755215725736253
2020-05-14,-2,-2.0992192490162056,0.0,2.528,0.0,0.01944,200000,175104.31451472506,-24895.68548527494,0.8755215725736253
2020-05-15,-2,-2.204666639614461,0.0,2.473,0.0,0.0195,200000,175104.31451472506,-24895.68548527494,0.8755215725736253
2020-05-16,-2,-2.7316861158485235,0.0,2.555,0.0,0.02156,200000,175104.31451472506,-24895.68548527494,0.8755215725736253
2020-05-17,-2,-1.7755799437562998,0.0,2.544,0.0,0.02058,200000,175104.31451472506,-24895.68548527494,0.8755215725736253
2020-05-18,-1,-1.0897289556072598,33673.90663744713,2.6,-4327837.728984801,0.02023,200000,175104.31451472506,-24895.68548527494,0.8755215725736253
2020-05-19,-1,-1.0848640366068387,33673.90663744713,2.617,-4327837.728984801,0.0205,200000,176845.28711438755,-23154.712885612447,0.8842264355719378
2020-05-20,0,0.051542385536010225,0.0,2.705,0.0,0.01967,200000,169144.96518956163,-30855.034810438374,0.8457248259478081
2020-05-21,0,-0.6311319365957743,0.0,2.513,0.0,0.01915,200000,169144.96518956163,-30855.034810438374,0.8457248259478081
2020-05-22,0,-0.6714413339240262,0.0,2.65,0.0,0.02034,200000,169144.96518956163,-30855.034810438374,0.8457248259478081
2020-05-23,0,-0.7116443408511566,0.0,2.592,0.0,0.02003,200000,169144.96518956163,-30855.034810438374,0.8457248259478081
2020-05-24,-1,-1.1124864028745904,33896.786611134594,2.495,-4230739.499488785,0.01999,200000,169144.96518956163,-30855.034810438374,0.8457248259478081
2020-05-25,-2,-1.819990099532448,0.0,2.612,0.0,0.02256,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-05-26,-2,-2.1324137654087014,0.0,2.583,0.0,0.02386,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-05-27,-2,-1.5300271131569114,0.0,2.601,0.0,0.02294,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-05-28,0,-0.7726306346409003,0.0,2.671,0.0,0.02211,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-05-29,0,-0.983378705595019,0.0,2.677,0.0,0.02271,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-05-30,0,-0.08314488730530092,0.0,2.817,0.0,0.02242,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-05-31,0,-0.40142339658831677,0.0,2.728,0.0,0.02233,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-01,0,-0.5119559286212741,0.0,2.862,0.0,0.02372,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-02,0,-0.539725998254711,0.0,2.761,0.0,0.02303,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-03,0,-0.9381826897807285,0.0,2.906,0.0,0.02496,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-04,0,0.5556265325827708,0.0,3.11,0.0,0.02452,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-05,0,0.2023863100324781,0.0,3.093,0.0,0.02481,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-06,-2,-1.763684011152363,0.0,3.056,0.0,0.02799,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-07,-2,-1.4924193402318087,0.0,3.02,0.0,0.02752,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-08,0,-0.5806288320665633,0.0,3.155,0.0,0.02709,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-09,0,-0.931787080476558,0.0,3.117,0.0,0.02752,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-10,-2,-1.7075910490990827,0.0,3.114,0.0,0.02926,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-11,-2,-1.6691167002851297,0.0,2.763,0.0,0.02621,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-12,-2,-1.7019531837589923,0.0,2.862,0.0,0.02755,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-13,-2,-2.2008822264040178,0.0,2.873,0.0,0.02961,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-14,-2,-2.050079562760924,0.0,2.756,0.0,0.02905,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-15,-2,-1.824091855068956,0.0,2.705,0.0,0.02858,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-16,-2,-2.3375201657835345,0.0,2.729,0.0,0.03274,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-17,-2,-1.745977345916492,0.0,2.703,0.0,0.03102,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-18,-2,-1.556306391654264,0.0,2.643,0.0,0.03046,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-19,-2,-1.6081224124290017,0.0,2.597,0.0,0.0312,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-20,-2,-1.3568747544335216,0.0,2.62,0.0,0.03097,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-21,-2,-1.2967380038368213,0.0,2.599,0.0,0.03117,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-22,-1,-1.0183292044433263,32747.775608211505,2.688,-2814131.100859096,0.03128,200000,176052.04166974506,-23947.958330254944,0.8802602083487253
2020-06-23,-1,-0.505334661445087,32747.775608211505,2.774,-2814131.100859096,0.03004,200000,175378.82780698594,-24621.172193014063,0.8768941390349296
2020-06-24,-1,-0.38143591182749537,32747.775608211505,2.685,-2814131.100859096,0.02888,200000,169199.88370085857,-30800.11629914143,0.8459994185042928
2020-06-25,-1,-0.23896160890417642,32747.775608211505,2.624,-2814131.100859096,0.02803,200000,164810.25795302744,-35189.74204697256,0.8240512897651372
2020-06-26,0,0.008489729642667533,0.0,2.622,0.0,0.02742,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-06-27,0,-0.20274867577095804,0.0,2.429,0.0,0.02621,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-06-28,0,0.05935467804105178,0.0,2.504,0.0,0.02662,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-06-29,0,0.6209106979143493,0.0,2.646,0.0,0.02722,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-06-30,0,0.23333104432919652,0.0,2.595,0.0,0.02772,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-01,0,0.6630841145425275,0.0,2.659,0.0,0.02788,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-02,0,0.1708471587250553,0.0,2.659,0.0,0.02895,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-03,0,-0.6136083291606531,0.0,2.69,0.0,0.03069,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-04,0,0.6747297964818519,0.0,2.779,0.0,0.02968,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-05,2,2.451668735277022,0.0,2.93,0.0,0.02799,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-06,0,0.9934344701447914,0.0,3.021,0.0,0.03112,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-07,2,1.5256446049086099,0.0,3.249,0.0,0.03214,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-08,0,0.7898578646720809,0.0,3.554,0.0,0.0365,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-09,2,2.156812130825776,0.0,3.788,0.0,0.03538,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-10,2,2.7397836287960837,0.0,4.053,0.0,0.03504,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-11,0,0.8439944128583324,0.0,3.921,0.0,0.0383,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-12,0,-0.5883834843741457,0.0,4.023,0.0,0.04318,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-13,-2,-1.975499274837075,0.0,3.872,0.0,0.04705,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-14,-2,-1.3194115461748857,0.0,3.959,0.0,0.04591,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-15,-2,-1.5651744144823212,0.0,4.047,0.0,0.04875,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-16,-2,-1.8397598907876218,0.0,4.077,0.0,0.05205,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-17,-2,-1.352579667177148,0.0,4.145,0.0,0.05088,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-18,-2,-1.3560552161902955,0.0,4.36,0.0,0.05448,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-19,-2,-1.430706837945821,0.0,4.202,0.0,0.05423,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-20,-2,-1.8470832752889568,0.0,3.881,0.0,0.0556,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-21,-2,-1.5340691103376423,0.0,4.01,0.0,0.05648,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-22,-2,-1.2324909266103374,0.0,4.012,0.0,0.05486,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-23,-1,-1.0349199976741954,21114.16210075333,3.963,-1575808.369214415,0.0531,200000,167350.8488105709,-32649.151189429103,0.8367542440528545
2020-07-24,-1,-0.7572798645436919,21114.16210075333,3.825,-1575808.369214415,0.04941,200000,158622.36155826575,-41377.63844173425,0.7931118077913287
2020-07-25,-1,-0.6438049920609915,21114.16210075333,3.917,-1575808.369214415,0.05028,200000,161935.81775275158,-38064.18224724842,0.8096790887637579
2020-07-26,-1,-0.9878825328833075,21114.16210075333,3.81,-1575808.369214415,0.05289,200000,163789.4622516206,-36210.5377483794,0.8189473112581029
2020-07-27,-2,-1.8009538965391538,0.0,3.593,0.0,0.06221,200000,189518.70303139294,-10481.296968607057,0.9475935151569648
2020-07-28,-2,-1.9117938391641538,0.0,3.751,0.0,0.07266,200000,189518.70303139294,-10481.296968607057,0.9475935151569648
2020-07-29,-2,-1.6674025371569856,0.0,3.634,0.0,0.06878,200000,189518.70303139294,-10481.296968607057,0.9475935151569648
2020-07-30,-2,-1.9144199294579438,0.0,3.703,0.0,0.07629,200000,189518.70303139294,-10481.296968607057,0.9475935151569648
2020-07-31,-2,-1.6277793927276059,0.0,3.793,0.0,0.07437,200000,189518.70303139294,-10481.296968607057,0.9475935151569648
2020-08-01,-2,-1.2510271349323647,0.0,4.084,0.0,0.07495,200000,189518.70303139294,-10481.296968607057,0.9475935151569648
2020-08-02,-1,-1.1202636921580578,24222.738117509325,3.912,-1322900.3422545926,0.07163,200000,189518.70303139294,-10481.296968607057,0.9475935151569648
2020-08-03,-1,-1.118225885096832,24222.738117509325,3.82,-1322900.3422545926,0.07168,200000,187356.35614169482,-12643.643858305179,0.9367817807084741
2020-08-04,-1,-1.1027974980271058,24222.738117509325,4.021,-1322900.3422545926,0.07713,200000,199434.93336860172,-565.0666313982802,0.9971746668430086
2020-08-05,-2,-1.346317825871217,0.0,4.144,0.0,0.08762,200000,205052.20426078173,5052.2042607817275,1.0252610213039086
2020-08-06,-2,-1.5229906658521326,0.0,4.172,0.0,0.097,200000,205052.20426078173,5052.2042607817275,1.0252610213039086
