date,statusList,zscore,ATOMUSDT_position,ATOMUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.38,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.096,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.237,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.25,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.2,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,4.111,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.075,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,3.995,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,4.245,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,4.27,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,4.264,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,4.253,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,4.245,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,4.53,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,4.573,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,5.097,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,5.015,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,4.625,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,4.516,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,2,1.2401365678633982,0.0,4.505,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,2,1.3326253843076075,0.0,4.64,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,0,0.6433446280464149,0.0,4.657,0.0,0.03952,200000,200000.0,0.0,1.0
2020-01-23,0,0.6315082801161578,0.0,4.463,0.0,0.03775,200000,200000.0,0.0,1.0
2020-01-24,0,0.11685243568693,0.0,4.488,0.0,0.03893,200000,200000.0,0.0,1.0
2020-01-25,0,-0.7272104946000327,0.0,4.39,0.0,0.03989,200000,200000.0,0.0,1.0
2020-01-26,0,-0.00010263124386737853,0.0,4.478,0.0,0.03889,200000,200000.0,0.0,1.0
2020-01-27,0,0.09638006185369728,0.0,4.515,0.0,0.03892,200000,200000.0,0.0,1.0
2020-01-28,0,0.9819010806431926,0.0,4.577,0.0,0.03767,200000,200000.0,0.0,1.0
2020-01-29,0,0.47657424251005115,0.0,4.401,0.0,0.03698,200000,200000.0,0.0,1.0
2020-01-30,0,-0.20377210589201178,0.0,4.41,0.0,0.0383,200000,200000.0,0.0,1.0
2020-01-31,0,-0.5920752448383257,0.0,4.397,0.0,0.0389,200000,200000.0,0.0,1.0
2020-02-01,0,-0.5962366682058127,0.0,4.388,0.0,0.03862,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.212250196297001,0.0,4.403,0.0,0.0394,200000,200000.0,0.0,1.0
2020-02-03,-2,-2.4163627586513075,0.0,4.263,0.0,0.04111,200000,200000.0,0.0,1.0
2020-02-04,-2,-2.181940178912748,0.0,4.22,0.0,0.04117,200000,200000.0,0.0,1.0
