date,statusList,zscore,XRPUSDT_position,XRPUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.19305,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1875,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.19338,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.19305,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.19453,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2231,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.21335,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2075,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.20373,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.21284,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.21121,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.21539,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.21134,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.23464,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.23367,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.229,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.23921,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.24357,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.23558,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,2,1.612855477480061,0.0,0.23314,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,2,1.4390691844709385,0.0,0.23726,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,0,0.8050585801860539,0.0,0.23733,0.0,0.03952,200000,200000.0,0.0,1.0
2020-01-23,0,0.6781316602587645,0.0,0.22586,0.0,0.03775,200000,200000.0,0.0,1.0
2020-01-24,0,-0.1667994707363015,0.0,0.22222,0.0,0.03893,200000,200000.0,0.0,1.0
2020-01-25,0,-0.9794007120870645,0.0,0.21946,0.0,0.03989,200000,200000.0,0.0,1.0
2020-01-26,0,0.510702590944222,0.0,0.23131,0.0,0.03889,200000,200000.0,0.0,1.0
2020-01-27,0,0.4120782727823626,0.0,0.23077,0.0,0.03892,200000,200000.0,0.0,1.0
2020-01-28,2,1.6115504712137072,0.0,0.23906,0.0,0.03767,200000,200000.0,0.0,1.0
2020-01-29,2,1.4973438178017018,0.0,0.23539,0.0,0.03698,200000,200000.0,0.0,1.0
2020-01-30,2,1.3453912689781429,0.0,0.24376,0.0,0.0383,200000,200000.0,0.0,1.0
2020-01-31,0,0.6450734475101406,0.0,0.23946,0.0,0.0389,200000,200000.0,0.0,1.0
2020-02-01,0,0.8559517528441449,0.0,0.24141,0.0,0.03862,200000,200000.0,0.0,1.0
2020-02-02,2,1.2495145651681374,0.0,0.25093,0.0,0.0394,200000,200000.0,0.0,1.0
2020-02-03,0,0.5285066379724319,0.0,0.25453,0.0,0.04111,200000,200000.0,0.0,1.0
2020-02-04,2,1.4904541204124828,0.0,0.26737,0.0,0.04117,200000,200000.0,0.0,1.0
2020-02-05,2,2.119351568257116,0.0,0.27774,0.0,0.04095,200000,200000.0,0.0,1.0
2020-02-06,0,-0.3778053343701593,0.0,0.28325,0.0,0.04684,200000,200000.0,0.0,1.0
2020-02-07,0,-0.6037947399363142,0.0,0.27953,0.0,0.04669,200000,200000.0,0.0,1.0
2020-02-08,0,0.11219100100820789,0.0,0.27735,0.0,0.04483,200000,200000.0,0.0,1.0
2020-02-09,-2,-1.3921362233131633,0.0,0.28257,0.0,0.04946,200000,200000.0,0.0,1.0
2020-02-10,-2,-1.4679058756989474,0.0,0.27338,0.0,0.04853,200000,200000.0,0.0,1.0
2020-02-11,-2,-1.704789421740477,0.0,0.281,0.0,0.05124,200000,200000.0,0.0,1.0
2020-02-12,0,-0.9080038798935607,0.0,0.30427,0.0,0.05301,200000,200000.0,0.0,1.0
2020-02-13,0,-0.15446933889644962,0.0,0.32709,0.0,0.05431,200000,200000.0,0.0,1.0
2020-02-14,0,0.26072453112197586,0.0,0.33594,0.0,0.05425,200000,200000.0,0.0,1.0
2020-02-15,0,0.14568851681844175,0.0,0.30729,0.0,0.04983,200000,200000.0,0.0,1.0
2020-02-16,0,0.46730886707631963,0.0,0.29224,0.0,0.0465,200000,200000.0,0.0,1.0
2020-02-17,0,0.4482329662245809,0.0,0.28736,0.0,0.0458,200000,200000.0,0.0,1.0
2020-02-18,0,0.33404961010114514,0.0,0.29827,0.0,0.04787,200000,200000.0,0.0,1.0
2020-02-19,2,1.2185621962462045,0.0,0.27466,0.0,0.04213,200000,200000.0,0.0,1.0
2020-02-20,2,1.3483648169021702,0.0,0.2709,0.0,0.04101,200000,200000.0,0.0,1.0
2020-02-21,1,1.0215357557792641,-364723.90400466847,0.27418,2378121.284185494,0.04205,200000,200000.0,0.0,1.0
2020-02-22,1,1.0361054870200026,-364723.90400466847,0.27468,2378121.284185494,0.04199,200000,200039.6746749512,39.674674951209454,1.0001983733747561
2020-02-23,1,0.898753627383496,-364723.90400466847,0.28298,2378121.284185494,0.04342,200000,206467.59651457524,6467.596514575242,1.0323379825728762
2020-02-24,2,1.2408155769537452,0.0,0.2704,0.0,0.04061,200000,202045.83829208947,2045.8382920894655,1.0102291914604473
2020-02-25,2,1.3968898886382606,0.0,0.25209,0.0,0.03761,200000,202045.83829208947,2045.8382920894655,1.0102291914604473
2020-02-26,2,1.9076377593812062,0.0,0.22915,0.0,0.03268,200000,202045.83829208947,2045.8382920894655,1.0102291914604473
2020-02-27,2,2.1132544839769842,0.0,0.2385,0.0,0.03278,200000,202045.83829208947,2045.8382920894655,1.0102291914604473
2020-02-28,2,1.8435910992738231,0.0,0.23663,0.0,0.03242,200000,202045.83829208947,2045.8382920894655,1.0102291914604473
2020-02-29,2,1.345151518006938,0.0,0.22892,0.0,0.03215,200000,202045.83829208947,2045.8382920894655,1.0102291914604473
2020-03-01,1,1.0593635043399392,-445113.32017115236,0.22696,3125709.1319939583,0.03232,200000,202045.83829208947,2045.8382920894655,1.0102291914604473
2020-03-02,1,0.7035666248726864,-445113.32017115236,0.23958,3125709.1319939583,0.03483,200000,215508.69831395423,15508.698313954228,1.077543491569771
2020-03-03,1,0.6801206164140187,-445113.32017115236,0.23428,3125709.1319939583,0.03397,200000,210461.48786353233,10461.487863532326,1.0523074393176617
2020-03-04,0,-0.6620585452208821,0.0,0.23453,0.0,0.03653,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-05,0,-0.30442410539521997,0.0,0.23909,0.0,0.03638,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-06,0,-0.3326505303733952,0.0,0.24477,0.0,0.03714,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-07,0,-0.13690251974080744,0.0,0.23622,0.0,0.03539,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-08,0,0.18939297702386668,0.0,0.20385,0.0,0.02999,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-09,2,1.8327364360913403,0.0,0.20952,0.0,0.02859,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-10,2,1.6611393748576708,0.0,0.21185,0.0,0.02883,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-11,2,1.4848494505226255,0.0,0.20813,0.0,0.0283,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-12,2,4.129861595356058,0.0,0.13549,0.0,0.01071,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-13,2,2.8615315347107217,0.0,0.15872,0.0,0.01262,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-14,2,2.439651007480914,0.0,0.14588,0.0,0.01116,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-15,2,2.110144554456173,0.0,0.15308,0.0,0.01147,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-16,2,2.063716238224817,0.0,0.14102,0.0,0.00987,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-17,2,1.563087940347259,0.0,0.14694,0.0,0.01088,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-18,2,1.3921052071464801,0.0,0.1476,0.0,0.01092,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-19,1,1.113600806067502,-584010.0567438959,0.1646,7605067.669307377,0.01264,200000,192256.1106800905,-7743.889319909504,0.9612805534004525
2020-03-20,1,0.7110664961846681,-584010.0567438959,0.15695,7605067.669307377,0.01311,200000,191362.81555057416,-8637.18444942584,0.9568140777528708
2020-03-21,1,0.552198348322128,-584010.0567438959,0.15797,7605067.669307377,0.01353,200000,195152.63422956204,-4847.365770437958,0.9757631711478102
2020-03-22,1,0.7164233961411354,-584010.0567438959,0.14776,7605067.669307377,0.01187,200000,176565.4792191566,-23434.52078084339,0.8828273960957831
2020-03-23,1,0.4309369869476101,-584010.0567438959,0.15854,7605067.669307377,0.01348,200000,195105.2665784407,-4894.7334215593,0.9755263328922035
2020-03-24,1,0.37535806526280796,-584010.0567438959,0.16225,7605067.669307377,0.01374,200000,199249.26148298048,-750.7385170195193,0.9962463074149024
2020-03-25,0,0.12900108171161834,0.0,0.16168,0.0,0.0143,200000,177926.3889833481,-22073.611016651907,0.8896319449167405
2020-03-26,0,0.4194271243290993,0.0,0.17593,0.0,0.01429,200000,177926.3889833481,-22073.611016651907,0.8896319449167405
2020-03-27,0,0.33144316770924076,0.0,0.17269,0.0,0.01405,200000,177926.3889833481,-22073.611016651907,0.8896319449167405
2020-03-28,0,0.5470836142929192,0.0,0.17543,0.0,0.01354,200000,177926.3889833481,-22073.611016651907,0.8896319449167405
2020-03-29,0,0.5101520245269473,0.0,0.16278,0.0,0.0125,200000,177926.3889833481,-22073.611016651907,0.8896319449167405
