date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,1,1.1558329393822802,-909.835319807115,109.91,38774718.88328809,0.002579,200000,200000.0,0.0,1.0
2020-01-21,1,1.1503050544517588,-909.835319807115,110.5,38774718.88328809,0.002514,200000,198016.44611127247,-1983.5538887275325,0.9900822305563624
2020-01-22,1,0.9561946082659427,-909.835319807115,107.8,38774718.88328809,0.002515,200000,195598.66546667652,-4401.334533323476,0.9779933273333826
2020-01-23,1,0.7286417557086252,-909.835319807115,102.72,38774718.88328809,0.002492,200000,190084.88350774077,-9915.116492259229,0.9504244175387039
2020-01-24,1,0.6207771776600616,-909.835319807115,100.11,38774718.88328809,0.002449,200000,186042.90041106282,-13957.099588937184,0.9302145020553141
2020-01-25,1,0.5308673586604001,-909.835319807115,101.31,38774718.88328809,0.002489,200000,188685.69155016288,-11314.308449837117,0.9434284577508144
2020-01-26,1,0.8108469606560169,-909.835319807115,111.01,38774718.88328809,0.0025,200000,197937.61606000806,-2062.383939991938,0.9896880803000403
2020-01-27,1,0.6728504798887477,-909.835319807115,112.78,38774718.88328809,0.002574,200000,202417.35377343,2417.35377342999,1.01208676886715
2020-01-28,1,0.6810472226037421,-909.835319807115,115.91,38774718.88328809,0.0026,200000,206273.28101539172,6273.2810153917235,1.0313664050769586
2020-01-29,1,1.1426989003415724,-909.835319807115,121.97,38774718.88328809,0.002481,200000,207172.6915063116,7172.6915063115885,1.035863457531558
2020-01-30,1,1.0404133136847529,-909.835319807115,121.9,38774718.88328809,0.002498,200000,207768.17325494095,7768.17325494095,1.0388408662747048
2020-01-31,1,0.683730102845665,-909.835319807115,115.85,38774718.88328809,0.002482,200000,201643.2740679753,1643.2740679752897,1.0082163703398765
2020-02-01,1,0.6482001244628066,-909.835319807115,116.7,38774718.88328809,0.002496,200000,202959.4801541774,2959.480154177407,1.014797400770887
2020-02-02,1,0.26616498148117257,-909.835319807115,114.29,38774718.88328809,0.002528,200000,202007.56803770748,2007.568037707475,1.0100378401885375
2020-02-03,0,0.15309150615578343,0.0,115.34,0.0,0.002553,200000,205948.54847751814,5948.548477518139,1.0297427423875907
2020-02-04,-2,-1.2843635395388997,0.0,110.87,0.0,0.002754,200000,205948.54847751814,5948.548477518139,1.0297427423875907
2020-02-05,0,-0.3954365214348232,0.0,122.98,0.0,0.002882,200000,205948.54847751814,5948.548477518139,1.0297427423875907
2020-02-06,-2,-1.3189753117942855,0.0,120.32,0.0,0.003024,200000,205948.54847751814,5948.548477518139,1.0297427423875907
2020-02-07,-2,-2.090675540405944,0.0,118.68,0.0,0.0032,200000,205948.54847751814,5948.548477518139,1.0297427423875907
2020-02-08,0,-0.5691745719272729,0.0,126.29,0.0,0.003031,200000,205948.54847751814,5948.548477518139,1.0297427423875907
2020-02-09,-2,-1.4296874291145831,0.0,128.51,0.0,0.003333,200000,205948.54847751814,5948.548477518139,1.0297427423875907
2020-02-10,-2,-1.701110272737948,0.0,127.58,0.0,0.003465,200000,205948.54847751814,5948.548477518139,1.0297427423875907
