date,statusList,zscore,LTCUSDT_position,LTCUSDT_price,LINKUSDT_position,LINKUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.62,0.0,1.8111,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,39.43,0.0,1.7366,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,42.23,0.0,1.804,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,42.78,0.0,1.8242,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,43.3,0.0,1.7957,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,45.8,0.0,1.9374,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,46.3,0.0,2.1033,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,45.35,0.0,2.1892,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,44.74,0.0,2.1886,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,49.06,0.0,2.2257,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,49.3,0.0,2.2734,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,51.43,0.0,2.2383,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,49.6,0.0,2.1901,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,58.39,0.0,2.3751,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,58.16,0.0,2.3953,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,57.56,0.0,2.4925,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.02,0.0,2.7006,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,59.32,0.0,2.7709,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,57.6,0.0,2.6212,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.1483925167143285,1748.5574401119077,57.19,-37202.38095238095,2.688,200000,200000.0,0.0,1.0
2020-01-21,-1,-0.8359163223917477,1748.5574401119077,57.57,-37202.38095238095,2.6716,200000,200054.33277962345,54.33277962345164,1.0002716638981173
2020-01-22,-1,-0.36145462818609037,1748.5574401119077,58.33,-37202.38095238095,2.6426,200000,200304.36738648947,304.3673864894663,1.0015218369324472
2020-01-23,-1,-0.30768507536379447,1748.5574401119077,54.52,-37202.38095238095,2.4698,200000,187213.79211109166,-12786.207888908335,0.9360689605554583
2020-01-24,-1,-0.5368725806390159,1748.5574401119077,54.38,-37202.38095238095,2.5024,200000,188181.79168852363,-11818.208311476366,0.9409089584426181
2020-01-25,-1,-0.43383602114962905,1748.5574401119077,53.25,-37202.38095238095,2.4468,200000,184137.4694002448,-15862.530599755206,0.920687347001224
2020-01-26,-1,-0.3021784624053826,1748.5574401119077,56.24,-37202.38095238095,2.5764,200000,194187.08471760797,-5812.91528239203,0.9709354235880399
2020-01-27,0,0.3036174357794496,0.0,58.55,0.0,2.6055,200000,194552.76545287637,-5447.234547123633,0.9727638272643818
2020-01-28,0,0.5375214717409629,0.0,60.52,0.0,2.6558,200000,194552.76545287637,-5447.234547123633,0.9727638272643818
2020-01-29,0,-0.880527999521176,0.0,59.8,0.0,2.7773,200000,194552.76545287637,-5447.234547123633,0.9727638272643818
2020-01-30,1,1.0166537387475292,-1430.9559094798203,67.98,33364.10437866586,2.9156,200000,194552.7654528764,-5447.234547123604,0.9727638272643819
2020-01-31,2,1.6012524497103948,0.0,68.0,0.0,2.8259,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-01,2,2.0874799441374794,0.0,70.72,0.0,2.8378,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-02,2,1.6809478282924684,0.0,69.93,0.0,2.8267,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-03,2,1.9062160032701976,0.0,69.65,0.0,2.771,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-04,2,1.60193794765569,0.0,68.07,0.0,2.7395,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-05,2,1.856484600307852,0.0,72.59,0.0,2.839,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-06,2,1.5693345500816336,0.0,73.6,0.0,2.89,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-07,0,-0.4047680588395204,0.0,74.3,0.0,3.3072,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-08,0,-0.4634897470366024,0.0,76.56,0.0,3.4171,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-09,0,-0.7552883120635927,0.0,77.0,0.0,3.4945,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-10,0,-0.8957684694000988,0.0,74.02,0.0,3.3862,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-11,-2,-2.2862601404046754,0.0,76.46,0.0,3.9931,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-12,-2,-1.4605964572055123,0.0,81.17,0.0,3.9953,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-13,-1,-1.1450827661554632,1226.4068574415414,80.55,-25483.573421105677,3.8765,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-14,-2,-1.9374263615460152,0.0,83.14,0.0,4.426,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-15,-2,-2.065960816196778,0.0,76.7,0.0,4.3241,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-16,-2,-2.067860776287989,0.0,74.67,0.0,4.4566,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-17,-2,-1.7022193564571761,0.0,73.41,0.0,4.3108,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-18,-2,-1.5339433142665126,0.0,77.25,0.0,4.5523,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-19,-2,-1.588545251479984,0.0,70.61,0.0,4.3873,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-20,-2,-1.3668196251679512,0.0,69.4,0.0,4.2644,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-21,-1,-1.0148306774953508,1422.5322496106232,73.25,-24358.42893168875,4.2778,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-22,-1,-0.6187674221688129,1422.5322496106232,74.79,-24358.42893168875,4.1066,200000,206421.51119925157,6421.511199251574,1.0321075559962578
2020-02-23,-1,-0.3749386381314319,1422.5322496106232,79.52,-24358.42893168875,4.2365,200000,216314.24865813617,16314.248658136174,1.0815712432906808
2020-02-24,0,-0.12044237364817356,0.0,75.59,0.0,3.9148,200000,196230.13940166443,-3769.8605983355665,0.9811506970083221
2020-02-25,0,0.3727463835931975,0.0,70.98,0.0,3.4905,200000,196230.13940166443,-3769.8605983355665,0.9811506970083221
2020-02-26,0,-0.9317048776090819,0.0,60.53,0.0,3.5648,200000,196230.13940166443,-3769.8605983355665,0.9811506970083221
2020-02-27,-2,-1.4417553745412282,0.0,61.77,0.0,3.9579,200000,196230.13940166443,-3769.8605983355665,0.9811506970083221
2020-02-28,-2,-1.8251377981110621,0.0,59.89,0.0,4.1609,200000,196230.13940166443,-3769.8605983355665,0.9811506970083221
2020-02-29,-2,-1.7048296642551708,0.0,58.05,0.0,4.0579,200000,196230.13940166443,-3769.8605983355665,0.9811506970083221
2020-03-01,-2,-1.310986964026732,0.0,57.7,0.0,3.859,200000,196230.13940166443,-3769.8605983355665,0.9811506970083221
2020-03-02,-2,-1.3849009623809663,0.0,61.42,0.0,4.2423,200000,196230.13940166443,-3769.8605983355665,0.9811506970083221
2020-03-03,-2,-1.7499067431125517,0.0,61.01,0.0,4.5846,200000,196230.13940166443,-3769.8605983355665,0.9811506970083221
2020-03-04,-2,-1.7355187540066594,0.0,60.38,0.0,4.6406,200000,196230.13940166443,-3769.8605983355665,0.9811506970083221
2020-03-05,-2,-1.4790136973919221,0.0,62.06,0.0,4.7151,200000,196230.13940166443,-3769.8605983355665,0.9811506970083221
