date,statusList,zscore,FETUSDT_position,FETUSDT_price,WAVESUSDT_position,WAVESUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03832,0.0,1.0446,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03642,0.0,0.9459,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03906,0.0,0.9526,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.04027,0.0,0.9458,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.03847,0.0,0.8872,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03949,0.0,0.8949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0372,0.0,0.8853,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03686,0.0,0.851,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0374,0.0,0.8231,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03619,0.0,0.8244,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03779,0.0,0.8561,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03987,0.0,0.8447,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.04063,0.0,0.86,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.03899,0.0,0.8637,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04001,0.0,0.896,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.03962,0.0,0.8809,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0422,0.0,0.9,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04109,0.0,0.8783,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.03771,0.0,0.8889,200000,200000.0,0.0,1.0
2020-01-20,0,-0.2259507879452951,0.0,0.03734,0.0,0.8673,200000,200000.0,0.0,1.0
2020-01-21,0,-0.19668390611724706,0.0,0.03802,0.0,0.8723,200000,200000.0,0.0,1.0
2020-01-22,0,0.1547477702494151,0.0,0.03952,0.0,0.8862,200000,200000.0,0.0,1.0
2020-01-23,0,-0.7291205595330662,0.0,0.03775,0.0,0.8726,200000,200000.0,0.0,1.0
2020-01-24,0,0.601033173957881,0.0,0.03893,0.0,0.8552,200000,200000.0,0.0,1.0
2020-01-25,2,1.3041859459630776,0.0,0.03989,0.0,0.8512,200000,200000.0,0.0,1.0
2020-01-26,0,-0.10683438774963633,0.0,0.03889,0.0,0.8718,200000,200000.0,0.0,1.0
2020-01-27,0,-0.05637901825239124,0.0,0.03892,0.0,0.868,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.5378387627461745,0.0,0.03767,0.0,0.8856,200000,200000.0,0.0,1.0
2020-01-29,-2,-1.3841352623287821,0.0,0.03698,0.0,0.8699,200000,200000.0,0.0,1.0
2020-01-30,0,-0.4365643465861637,0.0,0.0383,0.0,0.8696,200000,200000.0,0.0,1.0
2020-01-31,0,-0.4088599214414206,0.0,0.0389,0.0,0.8824,200000,200000.0,0.0,1.0
2020-02-01,-2,-1.338333720749336,0.0,0.03862,0.0,0.9111,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.932386984314754,0.0,0.0394,0.0,0.9594,200000,200000.0,0.0,1.0
2020-02-03,-2,-1.2637272586021153,0.0,0.04111,0.0,0.9809,200000,200000.0,0.0,1.0
2020-02-04,0,-0.7298077740310015,0.0,0.04117,0.0,0.9643,200000,200000.0,0.0,1.0
2020-02-05,-2,-1.347276251463941,0.0,0.04095,0.0,0.9899,200000,200000.0,0.0,1.0
2020-02-06,0,0.9277367897077394,0.0,0.04684,0.0,1.0364,200000,200000.0,0.0,1.0
2020-02-07,0,-0.47753084598305684,0.0,0.04669,0.0,1.092,200000,200000.0,0.0,1.0
2020-02-08,0,-0.7335727974333326,0.0,0.04483,0.0,1.058,200000,200000.0,0.0,1.0
2020-02-09,0,0.6792665584560765,0.0,0.04946,0.0,1.11,200000,200000.0,0.0,1.0
2020-02-10,-2,-3.5014851644437988,0.0,0.04853,0.0,1.4376,200000,200000.0,0.0,1.0
2020-02-11,-2,-2.0967842375824883,0.0,0.05124,0.0,1.4117,200000,200000.0,0.0,1.0
2020-02-12,-2,-1.6260233045527106,0.0,0.05301,0.0,1.4324,200000,200000.0,0.0,1.0
2020-02-13,-1,-1.0055982029934873,1841281.5319462346,0.05431,-71235.21869212139,1.4038,200000,200000.0,0.0,1.0
2020-02-14,-2,-1.8861985892338322,0.0,0.05425,0.0,1.5529,200000,210731.64799891209,10731.647998912085,1.0536582399945604
2020-02-15,-2,-1.865084602671567,0.0,0.04983,0.0,1.4686,200000,210731.64799891209,10731.647998912085,1.0536582399945604
2020-02-16,-2,-1.69146384593441,0.0,0.0465,0.0,1.3809,200000,210731.64799891209,10731.647998912085,1.0536582399945604
2020-02-17,-2,-1.3702152396653104,0.0,0.0458,0.0,1.3366,200000,210731.64799891209,10731.647998912085,1.0536582399945604
2020-02-18,-2,-1.5624228883400222,0.0,0.04787,0.0,1.4693,200000,210731.64799891209,10731.647998912085,1.0536582399945604
2020-02-19,-2,-1.7341983158995509,0.0,0.04213,0.0,1.3717,200000,210731.64799891209,10731.647998912085,1.0536582399945604
2020-02-20,-2,-2.0345686522931876,0.0,0.04101,0.0,1.4854,200000,210731.64799891209,10731.647998912085,1.0536582399945604
