date,statusList,zscore,VETUSDT_position,VETUSDT_price,QTUMUSDT_position,QTUMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.005358,0.0,1.603,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.005094,0.0,1.533,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.005327,0.0,1.629,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00562,0.0,1.642,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.005465,0.0,1.631,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00573,0.0,1.747,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.005578,0.0,1.735,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.005492,0.0,1.683,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.005319,0.0,1.634,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005454,0.0,1.734,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.005526,0.0,1.74,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005523,0.0,1.754,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005407,0.0,1.701,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005994,0.0,1.915,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.006003,0.0,1.974,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005885,0.0,1.932,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006392,0.0,2.092,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.006239,0.0,2.035,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005862,0.0,1.931,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.3565800756057744,0.0,0.005814,0.0,1.923,200000,200000.0,0.0,1.0
2020-01-21,0,-0.970578754379399,0.0,0.005964,0.0,1.95,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.7219896608409557,0.0,0.005863,0.0,1.994,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.349354266119443,0.0,0.005607,0.0,1.89,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.4092230113948934,0.0,0.00558,0.0,1.89,200000,200000.0,0.0,1.0
2020-01-25,0,-0.8385529223086657,0.0,0.005623,0.0,1.867,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.2255241908053967,0.0,0.00573,0.0,1.935,200000,200000.0,0.0,1.0
2020-01-27,-2,-1.7989448848497054,0.0,0.005748,0.0,1.997,200000,200000.0,0.0,1.0
2020-01-28,-2,-2.0390544934912,0.0,0.0058,0.0,2.052,200000,200000.0,0.0,1.0
2020-01-29,-2,-2.2114448229169743,0.0,0.005733,0.0,2.066,200000,200000.0,0.0,1.0
2020-01-30,-2,-2.7238576280145717,0.0,0.005687,0.0,2.176,200000,200000.0,0.0,1.0
2020-01-31,-2,-1.7620979782223698,0.0,0.005766,0.0,2.125,200000,200000.0,0.0,1.0
2020-02-01,-2,-1.4476952861196302,0.0,0.005997,0.0,2.193,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.2093378642533954,0.0,0.006229,0.0,2.262,200000,200000.0,0.0,1.0
2020-02-03,-1,-1.0784710606748034,15862944.162436549,0.006304,-43744.53193350831,2.286,200000,200000.0,0.0,1.0
2020-02-04,-1,-0.49292951684527253,15862944.162436549,0.006532,-43744.53193350831,2.307,200000,204535.3864396392,4535.386439639202,1.022676932198196
2020-02-05,-2,-1.5808202891044876,0.0,0.006472,0.0,2.442,200000,204159.17236233794,4159.172362337937,1.0207958618116897
2020-02-06,-2,-1.285615351413676,0.0,0.0068,0.0,2.544,200000,204159.17236233794,4159.172362337937,1.0207958618116897
2020-02-07,-2,-1.30725119326848,0.0,0.006817,0.0,2.572,200000,204159.17236233794,4159.172362337937,1.0207958618116897
2020-02-08,-2,-1.678739140714241,0.0,0.006669,0.0,2.6,200000,204159.17236233794,4159.172362337937,1.0207958618116897
2020-02-09,-2,-1.6910244944824602,0.0,0.006825,0.0,2.697,200000,204159.17236233794,4159.172362337937,1.0207958618116897
2020-02-10,-2,-1.6754021455877075,0.0,0.00651,0.0,2.597,200000,204159.17236233794,4159.172362337937,1.0207958618116897
2020-02-11,0,0.048908206105392045,0.0,0.007485,0.0,2.709,200000,204159.17236233794,4159.172362337937,1.0207958618116897
2020-02-12,0,-0.5498794536202413,0.0,0.00747,0.0,2.805,200000,204159.17236233794,4159.172362337937,1.0207958618116897
2020-02-13,0,0.7056882133716896,0.0,0.008059,0.0,2.849,200000,204159.17236233794,4159.172362337937,1.0207958618116897
2020-02-14,0,0.14652988050071908,0.0,0.008301,0.0,3.032,200000,204159.17236233794,4159.172362337937,1.0207958618116897
