date,statusList,zscore,MITHUSDT_position,MITHUSDT_price,ZECUSDT_position,ZECUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00757,0.0,28.07,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.00699,0.0,27.02,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00739,0.0,28.41,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00728,0.0,29.91,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00734,0.0,30.81,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00741,0.0,32.86,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00705,0.0,32.24,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00678,0.0,30.88,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00664,0.0,30.83,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00655,0.0,33.69,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00669,0.0,34.88,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00671,0.0,35.52,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00669,0.0,38.32,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00679,0.0,43.83,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00715,0.0,54.97,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00716,0.0,50.8,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00723,0.0,61.54,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00732,0.0,51.16,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00704,0.0,51.56,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.290804510019686,0.0,0.00692,0.0,53.68,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.0444723446824224,13755158.184319118,0.00727,-1877.581674802854,53.26,200000,200000.0,0.0,1.0
2020-01-22,-1,-0.745919990810844,13755158.184319118,0.00767,-1877.581674802854,52.21,200000,203530.60251518464,3530.6025151846407,1.017653012575923
2020-01-23,-1,-0.6495767530479294,13755158.184319118,0.00734,-1877.581674802854,49.6,200000,194090.9121431239,-5909.087856876111,0.9704545607156194
2020-01-24,-1,-0.547189837103252,13755158.184319118,0.00728,-1877.581674802854,48.82,200000,191801.0889457185,-8198.911054281489,0.9590054447285925
2020-01-25,-1,-0.385512672155116,13755158.184319118,0.00742,-1877.581674802854,48.72,200000,193539.05292404292,-6460.947075957083,0.9676952646202146
2020-01-26,-1,-0.32821311378448315,13755158.184319118,0.00813,-1877.581674802854,53.65,200000,212561.69289168753,12561.692891687533,1.0628084644584377
2020-01-27,-1,-0.5690876250881538,13755158.184319118,0.00781,-1877.581674802854,55.18,200000,211032.7422351538,11032.742235153797,1.055163711175769
2020-01-28,-1,-0.6718849094252727,13755158.184319118,0.00776,-1877.581674802854,56.74,200000,213274.0117386303,13274.011738630303,1.0663700586931515
2020-01-29,-1,-1.1656239021236752,13755158.184319118,0.00764,-1877.581674802854,61.74,200000,221011.3011305263,21011.30113052629,1.1050565056526314
2020-01-30,-2,-1.6015620241171966,0.0,0.00742,0.0,66.3,200000,222420.39131178134,22420.391311781335,1.1121019565589068
2020-01-31,-2,-1.2054159546232255,0.0,0.00794,0.0,66.51,200000,222420.39131178134,22420.391311781335,1.1121019565589068
2020-02-01,-1,-1.1880848494345222,14041691.370693266,0.00792,-1684.2374020277248,66.03,200000,222420.39131178134,22420.391311781335,1.1121019565589068
2020-02-02,-1,-1.1391255139202348,14041691.370693266,0.00799,-1684.2374020277248,66.36,200000,223959.10805039902,23959.108050399023,1.119795540251995
2020-02-03,-1,-1.0088513762847255,14041691.370693266,0.00792,-1684.2374020277248,65.52,200000,221561.4302367472,21561.430236747197,1.107807151183736
2020-02-04,-1,-0.28960410524902336,14041691.370693266,0.00837,-1684.2374020277248,64.34,200000,225892.79121916648,25892.79121916648,1.1294639560958324
2020-02-05,-1,-1.123667628812769,14041691.370693266,0.00839,-1684.2374020277248,71.19,200000,237710.65125047026,37710.651250470255,1.1885532562523513
2020-02-06,0,0.29901127424987545,0.0,0.00964,0.0,70.14,200000,205190.89787652285,5190.897876522853,1.0259544893826142
2020-02-07,0,0.8444247998024416,0.0,0.00988,0.0,68.38,200000,205190.89787652285,5190.897876522853,1.0259544893826142
2020-02-08,0,-0.10866227294279113,0.0,0.00925,0.0,70.02,200000,205190.89787652285,5190.897876522853,1.0259544893826142
2020-02-09,0,0.2000166573847579,0.0,0.00973,0.0,71.33,200000,205190.89787652285,5190.897876522853,1.0259544893826142
2020-02-10,0,0.3418814031173562,0.0,0.00965,0.0,69.77,200000,205190.89787652285,5190.897876522853,1.0259544893826142
2020-02-11,0,-0.1545247024313749,0.0,0.00954,0.0,72.68,200000,205190.89787652285,5190.897876522853,1.0259544893826142
2020-02-12,1,1.1958238666036687,-9482019.310375363,0.01082,1403.110625523269,73.12,200000,205190.89787652285,5190.897876522853,1.0259544893826142
2020-02-13,2,2.002847255598637,0.0,0.01156,0.0,72.01,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-14,2,1.682911836545891,0.0,0.01146,0.0,72.92,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-15,2,1.6120126128718872,0.0,0.01013,0.0,64.46,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-16,2,1.4814776020178175,0.0,0.00944,0.0,60.0,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-17,0,0.3873430891893345,0.0,0.00906,0.0,64.2,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-18,0,0.4329064159132122,0.0,0.00938,0.0,65.74,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-19,0,-0.06526555940294085,0.0,0.00848,0.0,62.1,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-20,0,-0.2541205552765681,0.0,0.0082,0.0,60.79,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-21,0,-0.19700011799150532,0.0,0.00841,0.0,61.56,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-22,0,-0.14110970605177844,0.0,0.0084,0.0,60.73,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-23,0,-0.6572540209819026,0.0,0.00845,0.0,63.32,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-24,0,-0.6966143351012174,0.0,0.00809,0.0,60.7,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-25,-1,-1.1576363618062795,14385265.475136707,0.00743,-1873.1602257319616,57.06,200000,213765.04496053146,13765.044960531464,1.0688252248026573
2020-02-26,-2,-1.4140646459343293,0.0,0.00649,0.0,51.33,200000,216553.98641371581,16553.986413715815,1.082769932068579
2020-02-27,-2,-1.3093278279346645,0.0,0.00667,0.0,52.96,200000,216553.98641371581,16553.986413715815,1.082769932068579
2020-02-28,0,-0.956937793666443,0.0,0.00658,0.0,50.83,200000,216553.98641371581,16553.986413715815,1.082769932068579
2020-02-29,0,-0.8684912278622694,0.0,0.00636,0.0,48.96,200000,216553.98641371581,16553.986413715815,1.082769932068579
2020-03-01,-1,-1.041427752503487,17352082.244688768,0.00624,-2205.2340775327475,49.1,200000,216553.98641371581,16553.986413715815,1.082769932068579
2020-03-02,-1,-0.9923623293090268,17352082.244688768,0.00666,-2205.2340775327475,52.33,200000,230964.76702691586,30964.767026915855,1.1548238351345792
2020-03-03,-1,-0.6022573936656256,17352082.244688768,0.00665,-2205.2340775327475,50.78,200000,227373.13338429324,27373.133384293236,1.1368656669214663
2020-03-04,-1,-0.21493602550241936,17352082.244688768,0.00674,-2205.2340775327475,50.17,200000,227589.62799902025,27589.627999020246,1.1379481399951012
2020-03-05,0,0.02031113066272834,0.0,0.00703,0.0,51.84,200000,208888.1828128514,8888.182812851388,1.044440914064257
2020-03-06,0,0.5712914043859826,0.0,0.00739,0.0,53.3,200000,208888.1828128514,8888.182812851388,1.044440914064257
2020-03-07,0,0.8899358979107098,0.0,0.00698,0.0,50.59,200000,208888.1828128514,8888.182812851388,1.044440914064257
2020-03-08,0,0.6487776531473233,0.0,0.00584,0.0,42.83,200000,208888.1828128514,8888.182812851388,1.044440914064257
2020-03-09,2,2.2456297146806357,0.0,0.00609,0.0,42.18,200000,208888.1828128514,8888.182812851388,1.044440914064257
2020-03-10,2,2.4035491302479763,0.0,0.00613,0.0,41.4,200000,208888.1828128514,8888.182812851388,1.044440914064257
2020-03-11,2,2.129509345388276,0.0,0.006,0.0,40.24,200000,208888.1828128514,8888.182812851388,1.044440914064257
2020-03-12,-2,-2.677333752010279,0.0,0.0028,0.0,25.45,200000,208888.1828128514,8888.182812851388,1.044440914064257
2020-03-13,-2,-1.9020085637109378,0.0,0.00311,0.0,27.34,200000,208888.1828128514,8888.182812851388,1.044440914064257
2020-03-14,-2,-1.2260127209400051,0.0,0.00297,0.0,24.95,200000,208888.1828128514,8888.182812851388,1.044440914064257
2020-03-15,-1,-1.1056191930414183,34132056.015171796,0.00306,-4067.137515826546,25.68,200000,208888.1828128514,8888.182812851388,1.044440914064257
2020-03-16,-2,-1.444304192121141,0.0,0.00281,0.0,24.68,200000,213354.05930081778,13354.059300817782,1.0667702965040888
2020-03-17,-2,-1.3317742498013474,0.0,0.00285,0.0,25.06,200000,213354.05930081778,13354.059300817782,1.0667702965040888
2020-03-18,-2,-2.27155740613889,0.0,0.00287,0.0,29.73,200000,213354.05930081778,13354.059300817782,1.0667702965040888
2020-03-19,-1,-1.1250204280389762,30134754.138533585,0.00354,-3338.8741674619373,31.95,200000,213354.05930081778,13354.059300817782,1.0667702965040888
2020-03-20,-2,-1.6702383845498041,0.0,0.00329,0.0,33.08,200000,224660.6756446832,24660.675644683186,1.1233033782234159
2020-03-21,-2,-1.505105879349891,0.0,0.00327,0.0,33.03,200000,224660.6756446832,24660.675644683186,1.1233033782234159
2020-03-22,-2,-1.2969173051845562,0.0,0.00295,0.0,29.49,200000,224660.6756446832,24660.675644683186,1.1233033782234159
2020-03-23,-1,-1.1933669049389524,35213272.044621184,0.00319,-3504.8467339264153,32.05,200000,224660.6756446832,24660.675644683186,1.1233033782234159
2020-03-24,-1,-1.1122602168421696,35213272.044621184,0.00324,-3504.8467339264153,32.79,200000,229014.92583001978,29014.925830019783,1.1450746291500988
2020-03-25,-1,-0.7304286580844263,35213272.044621184,0.00336,-3504.8467339264153,32.2,200000,231172.65890235777,31172.65890235777,1.1558632945117888
2020-03-26,-1,-0.5837556340201263,35213272.044621184,0.00343,-3504.8467339264153,32.46,200000,234548.8480963021,34548.8480963021,1.1727442404815105
2020-03-27,-1,-0.45209018655261934,35213272.044621184,0.00331,-3504.8467339264153,31.01,200000,225241.22768675425,25241.227686754253,1.1262061384337714
2020-03-28,-1,-0.5574124300901414,35213272.044621184,0.00315,-3504.8467339264153,30.38,200000,217399.05071724125,17399.050717241247,1.0869952535862062
2020-03-29,-1,-0.38273803425121955,35213272.044621184,0.00297,-3504.8467339264153,28.22,200000,203490.19280392834,3490.1928039283375,1.0174509640196416
2020-03-30,-1,-0.4896845871943537,35213272.044621184,0.00314,-3504.8467339264153,30.54,200000,217607.69347422326,17607.693474223255,1.0880384673711163
2020-03-31,0,0.2744126424962673,0.0,0.00335,0.0,30.9,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-01,0,0.4830804385604363,0.0,0.00344,0.0,31.32,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-02,0,0.3935575814958276,0.0,0.00351,0.0,32.23,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-03,0,-0.23987485717268425,0.0,0.0034,0.0,32.66,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-04,0,0.21660476656799718,0.0,0.0035,0.0,33.03,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-05,0,0.4128620504687925,0.0,0.00346,0.0,32.52,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-06,0,-0.16749429750776407,0.0,0.00388,0.0,37.56,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-07,0,-0.869228417620113,0.0,0.00368,0.0,36.45,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-08,0,0.20788191692331137,0.0,0.00396,0.0,37.86,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-09,-2,-2.301775928867139,0.0,0.00386,0.0,40.71,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-10,-2,-1.9671600410504713,0.0,0.00349,0.0,36.62,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-11,-2,-1.7214744437433314,0.0,0.00346,0.0,36.2,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-12,-2,-1.376245814438128,0.0,0.00352,0.0,36.38,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-13,0,0.616454186626438,0.0,0.0038,0.0,35.75,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-14,1,1.116634879888395,-27777258.18779437,0.00387,3027.2596222687757,35.51,200000,214995.97837352843,14995.978373528429,1.074979891867642
2020-04-15,0,-1.0344952615517256,0.0,0.00345,0.0,35.08,200000,204631.25157223037,4631.251572230365,1.0231562578611517
2020-04-16,-2,-1.8008643342579276,0.0,0.00361,0.0,38.74,200000,204631.25157223037,4631.251572230365,1.0231562578611517
2020-04-17,-2,-2.115009293269962,0.0,0.0036,0.0,40.4,200000,204631.25157223037,4631.251572230365,1.0231562578611517
2020-04-18,-2,-1.6195715434226403,0.0,0.00382,0.0,42.13,200000,204631.25157223037,4631.251572230365,1.0231562578611517
2020-04-19,-2,-2.603087130665612,0.0,0.00365,0.0,46.44,200000,204631.25157223037,4631.251572230365,1.0231562578611517
2020-04-20,-2,-2.0053239084125747,0.0,0.00337,0.0,41.89,200000,204631.25157223037,4631.251572230365,1.0231562578611517
2020-04-21,-2,-1.7471669769845934,0.0,0.00339,0.0,42.09,200000,204631.25157223037,4631.251572230365,1.0231562578611517
2020-04-22,-2,-1.7640547783239822,0.0,0.00355,0.0,45.53,200000,204631.25157223037,4631.251572230365,1.0231562578611517
