date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,IOSTUSDT_position,IOSTUSDT_price,init,total_asset,pnl,return
2020-04-30,-2,-1.7080425577053464,0.0,80.74,0.0,0.00366,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-05-01,-2,-1.6641315815112308,0.0,82.95,0.0,0.003791,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-05-02,-2,-2.024764813971093,0.0,83.26,0.0,0.003933,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-05-03,-2,-1.668087398211587,0.0,81.07,0.0,0.003804,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-05-04,-2,-1.5844366949818565,0.0,79.54,0.0,0.003754,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-05-05,-2,-1.2360476250457793,0.0,79.37,0.0,0.003699,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-05-06,-1,-1.0334267444426481,1283.0526969596638,77.11,-27713219.45729963,0.00357,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-05-07,-1,-1.1430217591632779,1283.0526969596638,78.76,-27713219.45729963,0.003699,200000,203564.42918509446,3564.4291850944574,1.0178221459254724
2020-05-08,-1,-0.9987915974721908,1283.0526969596638,81.8,-27713219.45729963,0.003831,200000,211123.05435221537,11123.054352215375,1.055615271761077
2020-05-09,-1,-0.9295130553156926,1283.0526969596638,79.59,-27713219.45729963,0.003734,200000,205599.32560457647,5599.325604576472,1.0279966280228823
2020-05-10,-1,-0.7098263385934981,1283.0526969596638,72.1,-27713219.45729963,0.003352,200000,185402.8110716601,-14597.188928339892,0.9270140553583005
2020-05-11,-1,-0.7570028076415148,1283.0526969596638,69.73,-27713219.45729963,0.003268,200000,180034.06574545254,-19965.934254547465,0.9001703287272627
2020-05-12,-1,-0.5000391194131317,1283.0526969596638,73.31,-27713219.45729963,0.003396,200000,188174.6864911025,-11825.313508897496,0.9408734324555125
2020-05-13,-1,-1.1552406410759128,1283.0526969596638,73.81,-27713219.45729963,0.003544,200000,192917.76931926265,-7082.230680737353,0.9645888465963133
2020-05-14,-1,-0.8817048974362994,1283.0526969596638,74.56,-27713219.45729963,0.00355,200000,194046.33815872623,-5953.6618412737735,0.9702316907936311
2020-05-15,-1,-1.021760623323634,1283.0526969596638,72.44,-27713219.45729963,0.003472,200000,189164.63532350236,-10835.364676497644,0.9458231766175118
2020-05-16,-1,-0.6897000577927035,1283.0526969596638,73.71,-27713219.45729963,0.003495,200000,191431.516296159,-8568.48370384099,0.9571575814807951
2020-05-17,0,-0.08187160928706996,0.0,75.03,0.0,0.003502,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-18,-2,-1.244673818402566,0.0,76.2,0.0,0.003639,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-19,0,0.4919907636979071,0.0,77.15,0.0,0.00359,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-20,2,1.8869550400114057,0.0,78.35,0.0,0.00358,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-21,-2,-2.3716744061181356,0.0,73.09,0.0,0.003566,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-22,-2,-3.903440293264215,0.0,74.77,0.0,0.00417,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-23,-2,-2.3002132221286105,0.0,73.87,0.0,0.003939,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-24,-2,-1.762960450228858,0.0,71.67,0.0,0.003773,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-25,-2,-3.047474282327706,0.0,73.6,0.0,0.004598,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-26,-2,-2.29121238930015,0.0,72.61,0.0,0.004459,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-27,-2,-1.7698917583246374,0.0,73.6,0.0,0.00441,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-28,-2,-1.641383814078157,0.0,75.06,0.0,0.004558,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-29,-2,-1.4462817064443176,0.0,74.16,0.0,0.004499,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-30,-2,-1.2388371357116448,0.0,79.01,0.0,0.004752,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-05-31,-2,-1.281016533499439,0.0,76.33,0.0,0.00471,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-06-01,-2,-1.3420490616586551,0.0,80.06,0.0,0.005093,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-06-02,-1,-1.1106056065855352,1269.2092870668225,78.26,-20275223.271249138,0.004899,200000,198656.63761169906,-1343.3623883009423,0.9932831880584952
2020-06-03,-1,-1.144340757357917,1269.2092870668225,78.2,-20275223.271249138,0.00501,200000,200831.0348375837,831.0348375836911,1.0041551741879184
2020-06-04,-1,-0.9346472815490736,1269.2092870668225,78.6,-20275223.271249138,0.004952,200000,200162.755602678,162.755602677993,1.0008137780133899
2020-06-05,-1,-1.1433263879397055,1269.2092870668225,77.81,-20275223.271249138,0.005146,200000,203093.47358051754,3093.473580517544,1.0154673679025876
2020-06-06,-2,-1.2204964592953464,0.0,78.3,0.0,0.005327,200000,207283.66480031103,7283.664800311031,1.0364183240015552
2020-06-07,0,-0.9546290342676772,0.0,77.99,0.0,0.005165,200000,207283.66480031103,7283.664800311031,1.0364183240015552
2020-06-08,-1,-1.0568182120739225,1332.6711122560823,77.77,-19677583.520059906,0.005267,200000,207283.66480031103,7283.664800311031,1.0364183240015552
2020-06-09,-2,-1.3684656173877001,0.0,77.42,0.0,0.005431,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-10,-2,-1.667786433580664,0.0,78.21,0.0,0.005658,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-11,-2,-1.2573524152634679,0.0,72.24,0.0,0.005085,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-12,-2,-1.9988635403339976,0.0,73.27,0.0,0.00564,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-13,-2,-2.4117593137383397,0.0,74.18,0.0,0.006057,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-14,-2,-1.6185287833566078,0.0,72.56,0.0,0.005607,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-15,-2,-1.3997904899244682,0.0,71.77,0.0,0.00552,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-16,-2,-1.6885731854990893,0.0,72.63,0.0,0.005911,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-17,-2,-1.2830323294546837,0.0,72.42,0.0,0.005715,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-18,-2,-1.2643991086260649,0.0,71.46,0.0,0.005711,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-19,-2,-1.5109050673911235,0.0,70.1,0.0,0.00587,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-20,-2,-1.5112367255604835,0.0,71.01,0.0,0.006064,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-21,-2,-1.3401393519725593,0.0,70.14,0.0,0.00597,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-22,-2,-1.8426314573564075,0.0,72.33,0.0,0.006767,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-23,-2,-1.2989032662212205,0.0,74.01,0.0,0.006545,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-24,-1,-1.1544657690097664,1456.6226414449768,72.42,-16607149.196071353,0.006352,200000,210977.22338689046,10977.223386890459,1.0548861169344523
2020-06-25,-1,-0.9488850888421414,1456.6226414449768,71.11,-16607149.196071353,0.006149,200000,205697.79643979506,5697.796439795056,1.0284889821989753
2020-06-26,-1,-0.8781499586647205,1456.6226414449768,70.68,-16607149.196071353,0.006122,200000,204623.0556756798,4623.055675679789,1.023115278378399
2020-06-27,-1,-0.33391256997448915,1456.6226414449768,66.92,-16607149.196071353,0.005522,200000,189181.86502620386,-10818.134973796143,0.9459093251310193
2020-06-28,-1,-0.3260038818774335,1456.6226414449768,67.7,-16607149.196071353,0.005625,200000,192028.5670537263,-7971.432946273708,0.9601428352686314
2020-06-29,0,0.03414499108650081,0.0,68.93,0.0,0.005613,200000,203788.15314963667,3788.153149636666,1.0189407657481833
2020-06-30,0,0.21534092360405957,0.0,68.11,0.0,0.005518,200000,203788.15314963667,3788.153149636666,1.0189407657481833
2020-07-01,0,-0.035900497410224844,0.0,68.31,0.0,0.00567,200000,203788.15314963667,3788.153149636666,1.0189407657481833
2020-07-02,0,0.3666925398514178,0.0,66.62,0.0,0.005443,200000,203788.15314963667,3788.153149636666,1.0189407657481833
2020-07-03,0,0.1507528002884552,0.0,66.46,0.0,0.005488,200000,203788.15314963667,3788.153149636666,1.0189407657481833
2020-07-04,0,0.17805837223696425,0.0,67.63,0.0,0.005601,200000,203788.15314963667,3788.153149636666,1.0189407657481833
2020-07-05,-2,-3.046241204674905,0.0,67.24,0.0,0.006866,200000,203788.15314963667,3788.153149636666,1.0189407657481833
2020-07-06,-1,-1.1606113332461165,1450.243048317938,70.26,-15898592.069717325,0.006409,200000,203788.15314963667,3788.153149636666,1.0189407657481833
2020-07-07,-2,-1.2882691145970413,0.0,69.92,0.0,0.006483,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-08,0,-0.9151406098929302,0.0,72.7,0.0,0.006624,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-09,0,-0.5189420538219658,0.0,71.86,0.0,0.006415,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-10,0,-0.512279780975537,0.0,71.75,0.0,0.006419,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-11,0,-0.34096471191511485,0.0,72.68,0.0,0.00645,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-12,0,-0.3314118704216677,0.0,72.05,0.0,0.006368,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-13,0,0.5941282661784925,0.0,71.84,0.0,0.006015,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-14,0,0.12361788378694916,0.0,71.82,0.0,0.006164,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-15,0,0.33164340126210806,0.0,71.12,0.0,0.006028,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-16,0,0.4022676754872496,0.0,69.28,0.0,0.005841,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-17,0,0.19618504406005313,0.0,69.58,0.0,0.005945,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-18,0,0.34878599271033744,0.0,69.2,0.0,0.005871,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-19,0,0.18806129886678558,0.0,70.35,0.0,0.006039,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-20,0,0.18393020314453545,0.0,68.86,0.0,0.005934,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-21,0,0.4092393712040386,0.0,71.09,0.0,0.006069,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-22,0,0.4009187805335196,0.0,73.38,0.0,0.006288,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-23,0,0.6460909945131463,0.0,73.35,0.0,0.006229,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-24,1,1.1433249972582902,-1427.9797859273274,71.94,17181613.279747773,0.005979,200000,205457.73159922386,5457.731599223858,1.0272886579961193
2020-07-25,2,1.820143841117747,0.0,74.65,0.0,0.006084,200000,207523.48742471344,7523.487424713443,1.0376174371235671
2020-07-26,2,2.221960297835555,0.0,75.3,0.0,0.00598,200000,207523.48742471344,7523.487424713443,1.0376174371235671
2020-07-27,2,3.420957108158712,0.0,77.55,0.0,0.005545,200000,207523.48742471344,7523.487424713443,1.0376174371235671
2020-07-28,2,2.3943700870535167,0.0,79.82,0.0,0.005826,200000,207523.48742471344,7523.487424713443,1.0376174371235671
2020-07-29,2,2.4789566862117707,0.0,81.38,0.0,0.0057,200000,207523.48742471344,7523.487424713443,1.0376174371235671
2020-07-30,2,1.9502128163623114,0.0,81.15,0.0,0.005749,200000,207523.48742471344,7523.487424713443,1.0376174371235671
