date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,IOSTUSDT_position,IOSTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,0.004817,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.004605,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.004819,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.004869,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.004916,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.00496,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.004716,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.004766,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.005095,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.004983,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.005361,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.005108,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.005758,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.005815,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.005884,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.006125,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.005849,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.005483,200000,200000.0,0.0,1.0
2020-01-20,0,-0.6309979372933249,0.0,0.0006756,0.0,0.005363,200000,200000.0,0.0,1.0
2020-01-21,0,-0.9449306945371241,0.0,0.0006651,0.0,0.005409,200000,200000.0,0.0,1.0
2020-01-22,0,-0.9323684140839396,0.0,0.0006688,0.0,0.005462,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.0697806681897337,157903047.5288173,0.0006333,-19018638.26550019,0.005258,200000,200000.0,0.0,1.0
2020-01-24,-1,-0.7775481417825649,157903047.5288173,0.0006346,-19018638.26550019,0.005196,200000,199026.11838932644,-973.8816106735612,0.9951305919466322
2020-01-25,-1,-1.0116547766606188,157903047.5288173,0.000621,-19018638.26550019,0.005198,200000,196916.67421946555,-3083.3257805344474,0.9845833710973277
2020-01-26,-1,-1.1031472800309514,157903047.5288173,0.0006347,-19018638.26550019,0.005384,200000,202617.41268799338,2617.4126879933756,1.013087063439967
2020-01-27,-1,-0.7317379659989238,157903047.5288173,0.0006521,-19018638.26550019,0.005428,200000,206201.7457986768,6201.745798676799,1.031008728993384
2020-01-28,-2,-1.5131754142893343,0.0,0.000648,0.0,0.005681,200000,205723.70918763298,5723.70918763298,1.028618545938165
2020-01-29,-1,-1.1531237001441395,157497863.41114146,0.0006531,-18345256.749387637,0.005607,200000,205723.70918763295,5723.7091876329505,1.0286185459381647
2020-01-30,-2,-1.5310104491788836,0.0,0.000638,0.0,0.005599,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-01-31,-2,-1.9303388097242171,0.0,0.0006329,0.0,0.005674,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-01,-2,-2.104665158349503,0.0,0.0006448,0.0,0.005922,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-02,-2,-1.763403684874556,0.0,0.0006719,0.0,0.00609,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-03,-2,-1.9081692897425522,0.0,0.0006619,0.0,0.006128,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-04,-2,-2.136979421115214,0.0,0.000695,0.0,0.006656,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-05,-2,-1.8561266882743834,0.0,0.0006959,0.0,0.006681,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-06,-2,-1.6331449887182345,0.0,0.00074,0.0,0.007113,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-07,-2,-1.2075554371483197,0.0,0.0007744,0.0,0.007299,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-08,0,-0.029734836022197165,0.0,0.000808,0.0,0.007077,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-09,-2,-1.2009059055064726,0.0,0.0008003,0.0,0.007598,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-10,-2,-1.573036185991943,0.0,0.0007595,0.0,0.007472,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-11,-2,-1.4438367216942358,0.0,0.000771,0.0,0.007594,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-12,0,-0.5627882184931814,0.0,0.0008498,0.0,0.007946,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-13,0,0.33905585653393094,0.0,0.0008714,0.0,0.007778,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-14,0,-0.47310460459512793,0.0,0.0008915,0.0,0.008343,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-15,1,1.0954335065633207,-122470650.6897209,0.000849,14085286.160332302,0.007382,200000,207955.1648711461,7955.1648711460875,1.0397758243557305
2020-02-16,2,2.5029176280742145,0.0,0.0008258,0.0,0.006682,200000,214973.54608737718,14973.54608737718,1.0748677304368859
2020-02-17,2,1.831524217728954,0.0,0.0007907,0.0,0.006532,200000,214973.54608737718,14973.54608737718,1.0748677304368859
2020-02-18,1,1.1985915566396934,-135101524.69040796,0.0007956,15841823.58786862,0.006785,200000,214973.54608737718,14973.54608737718,1.0748677304368859
2020-02-19,1,1.160790909838416,-135101524.69040796,0.0007284,15841823.58786862,0.006205,200000,196706.46594721795,-3293.5340527820517,0.9835323297360897
2020-02-20,1,1.0133453551587448,-135101524.69040796,0.0007235,15841823.58786862,0.006189,200000,195790.99929882906,-4209.000701170939,0.9789549964941453
