date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,BNBUSDT_position,BNBUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,13.7184,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,13.0105,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,13.6474,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,13.8092,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,14.0532,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,14.9471,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,15.0226,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,14.5334,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,14.3978,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,15.07,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,14.9177,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,15.3366,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,15.1736,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,16.6371,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,17.6655,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,17.0333,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,18.0724,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,17.8088,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,17.388,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.5692375926380522,0.0,0.0006756,0.0,17.3235,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.9022285635223268,0.0,0.0006651,0.0,18.1166,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.4917444595821074,0.0,0.0006688,0.0,17.8344,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.4485616427971129,0.0,0.0006333,0.0,17.0524,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.3485974579773066,0.0,0.0006346,0.0,17.1148,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.339695637385129,0.0,0.000621,0.0,16.9555,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.308848981276929,0.0,0.0006347,0.0,17.499,200000,200000.0,0.0,1.0
2020-01-27,-1,-1.0294476067610752,153350713.08081582,0.0006521,-5659.309564233163,17.67,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.2090825719510419,0.0,0.000648,0.0,18.0662,200000,202870.9563729805,2870.956372980494,1.0143547818649026
2020-01-29,0,-0.969457600547048,0.0,0.0006531,0.0,17.9134,200000,202870.9563729805,2870.956372980494,1.0143547818649026
2020-01-30,-2,-1.495718437756378,0.0,0.000638,0.0,18.5555,200000,202870.9563729805,2870.956372980494,1.0143547818649026
2020-01-31,-2,-1.3208085231204474,0.0,0.0006329,0.0,18.2644,200000,202870.9563729805,2870.956372980494,1.0143547818649026
2020-02-01,-1,-1.0453989856119732,157313086.5175097,0.0006448,-5550.444218749466,18.2752,200000,202870.9563729805,2870.956372980494,1.0143547818649026
2020-02-02,-1,-0.5473886277708315,157313086.5175097,0.0006719,-5550.444218749466,18.4333,200000,208011.6662485893,8011.666248589288,1.0400583312429466
