date,statusList,zscore,TFUELUSDT_position,TFUELUSDT_price,VETUSDT_position,VETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.002383,0.0,0.005358,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.002297,0.0,0.005094,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.002403,0.0,0.005327,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.002429,0.0,0.00562,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.002412,0.0,0.005465,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.002461,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.002382,0.0,0.005578,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.002511,0.0,0.005492,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.002395,0.0,0.005319,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.002402,0.0,0.005454,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.002403,0.0,0.005526,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.002452,0.0,0.005523,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.002456,0.0,0.005407,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.002572,0.0,0.005994,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.002567,0.0,0.006003,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.002584,0.0,0.005885,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.002598,0.0,0.006392,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.002591,0.0,0.006239,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00246,0.0,0.005862,200000,200000.0,0.0,1.0
2020-01-20,0,0.49038052420775363,0.0,0.002579,0.0,0.005814,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.0273778301870637,39777247.41447891,0.002514,-16767270.28839705,0.005964,200000,200000.0,0.0,1.0
2020-01-22,-1,-0.4240973140350051,39777247.41447891,0.002515,-16767270.28839705,0.005863,200000,198346.28294828636,-1653.71705171364,0.9917314147414318
2020-01-23,0,0.7710648860684549,0.0,0.002492,0.0,0.005607,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-24,0,0.3210977937845358,0.0,0.002449,0.0,0.00558,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-25,0,0.6004689736824754,0.0,0.002489,0.0,0.005623,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-26,0,0.0933416442892136,0.0,0.0025,0.0,0.00573,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-27,0,0.881122686343998,0.0,0.002574,0.0,0.005748,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-28,0,0.9959075883468697,0.0,0.0026,0.0,0.0058,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-29,0,-0.16680283936220974,0.0,0.002481,0.0,0.005733,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-30,0,0.3709469044516422,0.0,0.002498,0.0,0.005687,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-31,0,-0.3325601983105365,0.0,0.002482,0.0,0.005766,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-02-01,-2,-1.3379070929511152,0.0,0.002496,0.0,0.005997,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-02-02,-2,-1.9098519443608193,0.0,0.002528,0.0,0.006229,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-02-03,-2,-1.7224857354992957,0.0,0.002553,0.0,0.006304,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-02-04,0,-0.5288898786051621,0.0,0.002754,0.0,0.006532,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-02-05,1,1.079345677212412,-33811447.597182654,0.002882,15056333.741514277,0.006472,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-02-06,1,0.9526952254215142,-33811447.597182654,0.003024,15056333.741514277,0.0068,200000,204628.88697617743,4628.886976177426,1.0231444348808871
2020-02-07,2,2.2365262420544116,0.0,0.0032,0.0,0.006817,200000,200446.78914524248,446.789145242481,1.0022339457262124
2020-02-08,1,1.1625422895833513,-33066115.002514433,0.003031,15028249.298638664,0.006669,200000,200446.78914524248,446.789145242481,1.0022339457262124
2020-02-09,2,2.5342302033476716,0.0,0.003333,0.0,0.006825,200000,208088.3489854142,8088.348985414195,1.040441744927071
2020-02-10,2,3.1081089288312356,0.0,0.003465,0.0,0.00651,200000,208088.3489854142,8088.348985414195,1.040441744927071
2020-02-11,1,1.0291503400335542,-29201283.887933508,0.003563,13900357.313654922,0.007485,200000,208088.3489854142,8088.348985414195,1.040441744927071
2020-02-12,2,1.570991023586189,0.0,0.00372,0.0,0.00747,200000,212881.45591552457,12881.455915524566,1.064407279577623
2020-02-13,1,1.0847429281823393,-27167107.697233867,0.003918,13207684.322839346,0.008059,200000,212881.45591552457,12881.455915524566,1.064407279577623
2020-02-14,1,0.31160423567090473,-27167107.697233867,0.003836,13207684.322839346,0.008301,200000,213850.01269047853,13850.012690478528,1.0692500634523927
2020-02-15,1,0.2966037328613128,-27167107.697233867,0.003458,13207684.322839346,0.00747,200000,192605.26030864462,-7394.739691355382,0.9630263015432231
2020-02-16,1,0.25661775430146916,-27167107.697233867,0.003274,13207684.322839346,0.007081,200000,182468.7232907691,-17531.276709230908,0.9123436164538454
2020-02-17,2,1.2708743093021344,0.0,0.003369,0.0,0.006743,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-02-18,0,0.6467146783871057,0.0,0.003394,0.0,0.007058,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-02-19,0,0.4566323613045583,0.0,0.003088,0.0,0.006484,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-02-20,0,0.5626403795308333,0.0,0.003129,0.0,0.00649,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-02-21,0,0.19812072643311107,0.0,0.003134,0.0,0.006633,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-02-22,0,0.30344908943477755,0.0,0.003154,0.0,0.006593,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-02-23,0,-0.26922911414704254,0.0,0.003246,0.0,0.006955,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-02-24,0,-0.2996435703187225,0.0,0.003151,0.0,0.006713,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-02-25,0,0.02828108990556251,0.0,0.002966,0.0,0.006211,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-02-26,0,-0.9129847918327981,0.0,0.002565,0.0,0.005554,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-02-27,0,-0.7482157502818991,0.0,0.002696,0.0,0.005806,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-02-28,0,0.1637376269932695,0.0,0.00277,0.0,0.00575,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-02-29,0,0.2253659185186202,0.0,0.002709,0.0,0.005615,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-03-01,2,1.8597476173984142,0.0,0.002713,0.0,0.005427,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-03-02,0,-0.6920762641167801,0.0,0.002732,0.0,0.005837,200000,215348.0263585998,15348.026358599804,1.076740131792999
2020-03-03,1,1.085266399875299,-38141697.90269214,0.002823,18651310.09514982,0.005773,200000,215348.02635859983,15348.026358599833,1.0767401317929992
2020-03-04,1,0.47695907205140076,-38141697.90269214,0.002906,18651310.09514982,0.006035,200000,223400.4305294525,23400.43052945251,1.1170021526472627
2020-03-05,1,1.1782088271721265,-38141697.90269214,0.00301,18651310.09514982,0.006129,200000,229120.3902602766,29120.39026027659,1.1456019513013829
2020-03-06,1,0.6999209186251608,-38141697.90269214,0.002987,18651310.09514982,0.00614,200000,228448.2956195613,28448.295619561308,1.1422414780978065
2020-03-07,2,1.715698294110636,0.0,0.002896,0.0,0.005788,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-08,2,3.1730026534250384,0.0,0.002504,0.0,0.004698,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-09,2,2.731699783349161,0.0,0.002535,0.0,0.004674,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-10,2,1.8314763963532565,0.0,0.002487,0.0,0.004691,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-11,2,1.8317997701311437,0.0,0.002398,0.0,0.004462,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-12,0,-0.10734150268552939,0.0,0.001116,0.0,0.002283,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-13,0,-0.08819026541433077,0.0,0.001383,0.0,0.002823,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-14,2,2.6796412768145483,0.0,0.00148,0.0,0.002545,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-15,2,3.0930744277069167,0.0,0.001626,0.0,0.002524,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-16,2,2.6410272696950288,0.0,0.001501,0.0,0.00226,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-17,2,1.6884307650530617,0.0,0.001541,0.0,0.002467,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-18,0,0.8518434164675028,0.0,0.001476,0.0,0.002544,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-19,0,0.936336442599569,0.0,0.001718,0.0,0.002907,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-20,2,1.4524488834645153,0.0,0.0018,0.0,0.002845,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-21,0,0.8772636850145229,0.0,0.001746,0.0,0.002897,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-22,0,0.8733487337306062,0.0,0.001587,0.0,0.00261,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-23,0,0.5242801825331087,0.0,0.00169,0.0,0.002859,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-24,0,-0.3818173661004061,0.0,0.001657,0.0,0.00306,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-25,0,-0.4662850743501877,0.0,0.001651,0.0,0.003056,200000,217852.6006540691,17852.6006540691,1.0892630032703454
2020-03-26,0,-0.17597301929919112,0.0,0.001725,0.0,0.003079,200000,217852.6006540691,17852.6006540691,1.0892630032703454
