date,statusList,zscore,MITHUSDT_position,MITHUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00757,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.00699,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00739,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00728,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00734,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00741,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00705,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00678,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00664,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00655,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00669,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00671,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00669,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00679,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00715,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00716,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00723,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00732,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00704,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,0,-0.178816580516431,0.0,0.00692,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,1.2369717827289528,0.0,0.00727,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,2,2.369348719869624,0.0,0.00767,0.0,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,2,2.246461715484457,0.0,0.00734,0.0,0.0006333,200000,200000.0,0.0,1.0
2020-01-24,2,1.8050348513405137,0.0,0.00728,0.0,0.0006346,200000,200000.0,0.0,1.0
2020-01-25,2,2.1959850391511733,0.0,0.00742,0.0,0.000621,200000,200000.0,0.0,1.0
2020-01-26,2,2.5916544164276596,0.0,0.00813,0.0,0.0006347,200000,200000.0,0.0,1.0
2020-01-27,2,1.4592435152364513,0.0,0.00781,0.0,0.0006521,200000,200000.0,0.0,1.0
2020-01-28,2,1.3028600468280847,0.0,0.00776,0.0,0.000648,200000,200000.0,0.0,1.0
2020-01-29,0,0.9213906888036305,0.0,0.00764,0.0,0.0006531,200000,200000.0,0.0,1.0
2020-01-30,0,0.7687540389643401,0.0,0.00742,0.0,0.000638,200000,200000.0,0.0,1.0
2020-01-31,2,1.531948345871395,0.0,0.00794,0.0,0.0006329,200000,200000.0,0.0,1.0
2020-02-01,1,1.1473283813325497,-12626262.626262626,0.00792,155086848.63523576,0.0006448,200000,200000.0,0.0,1.0
2020-02-02,1,0.672244835234446,-12626262.626262626,0.00799,155086848.63523576,0.0006719,200000,205086.69198185328,5086.691981853277,1.0254334599092665
2020-02-03,1,0.6756352620095071,-12626262.626262626,0.00792,155086848.63523576,0.0006619,200000,202651.98511166254,2651.985111662536,1.0132599255583128
