date,statusList,zscore,ICXUSDT_position,ICXUSDT_price,DASHUSDT_position,DASHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1146,0.0,41.84,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1096,0.0,40.04,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1142,0.0,43.92,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1139,0.0,46.19,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1135,0.0,51.17,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1248,0.0,56.57,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1201,0.0,54.62,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1171,0.0,52.42,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.1167,0.0,50.54,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.1188,0.0,56.88,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1202,0.0,63.46,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.1215,0.0,66.19,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1229,0.0,69.43,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1394,0.0,89.28,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.143,0.0,133.6,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1455,0.0,127.45,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1527,0.0,113.04,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1532,0.0,101.15,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1462,0.0,104.92,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.0742636605049363,661813.3686300463,0.1511,-909.835319807115,109.91,200000,200000.0,0.0,1.0
2020-01-21,-1,-0.9014447416292679,661813.3686300463,0.157,-909.835319807115,110.5,200000,204441.50171360344,4441.501713603444,1.0222075085680171
2020-01-22,-1,-0.7678211504567418,661813.3686300463,0.1564,-909.835319807115,107.8,200000,201587.85832894623,1587.8583289462258,1.0079392916447312
2020-01-23,-1,-0.6844089289574898,661813.3686300463,0.1495,-909.835319807115,102.72,200000,192399.38266077876,-7600.617339221237,0.9619969133038938
2020-01-24,-1,-0.49217530501009005,661813.3686300463,0.1507,-909.835319807115,100.11,200000,190818.88851843827,-9181.111481561733,0.9540944425921913
2020-01-25,-1,-0.3590561917118499,661813.3686300463,0.155,-909.835319807115,101.31,200000,194756.488387316,-5243.511612684,0.97378244193658
2020-01-26,0,-0.1904671105100708,0.0,0.1738,0.0,111.01,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-01-27,0,-0.08549651320113134,0.0,0.1775,0.0,112.78,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-01-28,0,0.11616600620508868,0.0,0.186,0.0,115.91,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-01-29,0,0.7874613602669527,0.0,0.2112,0.0,121.97,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-01-30,2,1.8446283526014282,0.0,0.238,0.0,121.9,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-01-31,2,2.5824441401976985,0.0,0.2589,0.0,115.85,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-01,2,2.4754716312571925,0.0,0.2751,0.0,116.7,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-02,2,2.7870419697927105,0.0,0.3176,0.0,114.29,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-03,2,2.7640026704933476,0.0,0.3705,0.0,115.34,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-04,2,3.2858818147935667,0.0,0.5091,0.0,110.87,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-05,2,1.7504379458483612,0.0,0.4369,0.0,122.98,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-06,2,1.7521656889016959,0.0,0.4574,0.0,120.32,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-07,2,1.2618516018522605,0.0,0.4123,0.0,118.68,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-08,0,0.9014768484652528,0.0,0.4056,0.0,126.29,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-09,0,0.9950276427328161,0.0,0.438,0.0,128.51,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-10,0,0.7018846292394467,0.0,0.4077,0.0,127.58,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-11,0,0.6508664588128462,0.0,0.4161,0.0,129.2,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-12,0,0.5234676911524745,0.0,0.423,0.0,133.53,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-13,0,0.19784750614607732,0.0,0.3843,0.0,131.18,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-14,0,0.23580667653512705,0.0,0.4036,0.0,133.34,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-15,0,0.09912633847193002,0.0,0.3595,0.0,120.73,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-16,0,0.25239915138557956,0.0,0.35,0.0,110.73,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-17,0,-0.05725781918168471,0.0,0.3455,0.0,114.66,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-18,0,0.32316014618504113,0.0,0.3826,0.0,115.56,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-19,0,0.5260064494268935,0.0,0.3633,0.0,104.87,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-20,0,0.9740364308835909,0.0,0.3896,0.0,104.82,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-21,2,1.3777813295652848,0.0,0.4222,0.0,107.39,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-22,2,1.2257295800037318,0.0,0.4067,0.0,103.79,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-23,0,0.7021769071073769,0.0,0.4033,0.0,108.09,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-24,0,0.45224191439893063,0.0,0.365,0.0,103.41,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-25,0,0.12371171354997933,0.0,0.3266,0.0,95.52,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-26,0,0.7344319079212784,0.0,0.3027,0.0,84.29,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-27,0,0.2635492860267768,0.0,0.3099,0.0,89.88,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-28,0,0.3072554618658201,0.0,0.306,0.0,88.09,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-02-29,0,0.1927014707620139,0.0,0.2937,0.0,85.35,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-03-01,0,0.017503112992877257,0.0,0.2875,0.0,84.59,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-03-02,0,0.3565431494989955,0.0,0.3171,0.0,90.26,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-03-03,2,1.3052522144879257,0.0,0.3399,0.0,88.56,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-03-04,0,0.9317484305074569,0.0,0.3257,0.0,86.88,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-03-05,2,2.5663340558196315,0.0,0.3958,0.0,89.87,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-03-06,2,1.4063148545677355,0.0,0.3812,0.0,93.94,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-03-07,1,1.070748012204582,-264925.43501978036,0.351,1055.2522434401144,88.12,200000,185977.65538388578,-14022.34461611422,0.9298882769194289
2020-03-08,1,0.8701945028791195,-264925.43501978036,0.2903,1055.2522434401144,73.7,200000,154679.94412777867,-45320.05587222133,0.7733997206388934
2020-03-09,2,2.190993212567063,0.0,0.3266,0.0,73.65,200000,194782.9747319816,-5217.025268018391,0.973914873659908
2020-03-10,2,1.3548266139757668,0.0,0.3151,0.0,74.6,200000,194782.9747319816,-5217.025268018391,0.973914873659908
2020-03-11,1,1.0879170141019283,-323130.3495885561,0.3014,1348.1656612124973,72.24,200000,194782.9747319816,-5217.025268018391,0.973914873659908
2020-03-12,0,-0.23013816539154572,0.0,0.1653,0.0,44.4,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
2020-03-13,0,-0.16582913023611956,0.0,0.1911,0.0,51.16,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
2020-03-14,0,0.4663770554697668,0.0,0.1819,0.0,45.97,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
2020-03-15,0,0.4863750583761178,0.0,0.1885,0.0,47.31,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
2020-03-16,0,0.1660922919470271,0.0,0.1682,0.0,43.12,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
2020-03-17,0,0.29662725549843927,0.0,0.1804,0.0,45.57,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
2020-03-18,-2,-2.5393860712939693,0.0,0.1822,0.0,62.64,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
2020-03-19,-2,-1.6555533069843658,0.0,0.2085,0.0,65.47,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
2020-03-20,-2,-2.2180118548325725,0.0,0.2021,0.0,71.78,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
2020-03-21,-2,-1.9534451969457867,0.0,0.201,0.0,71.37,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
2020-03-22,-2,-1.5365259985117032,0.0,0.1837,0.0,62.44,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
2020-03-23,-2,-1.574686352644634,0.0,0.1991,0.0,70.87,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
2020-03-24,-1,-1.1166328219115498,450784.74428227625,0.2089,-1354.364059838451,69.53,200000,188337.86616113503,-11662.133838864975,0.9416893308056751
